Outlet Name,Tab,Source,Item Code,Item Name,Category Name,Super Category Name,Rate,Item Qty,Constituent Qty,Total Qty,Amount,Discount,Net Amount,Total Tax,Gross Amount,% Contribution,
"MSFT Hyd","DINE IN","POS","335","Regular - Milk -120g Default","Choice of Milk","ADDON",0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","151","Oat Milk @50","Choice of Milk","ADDON",50.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","188","Cinnamon & Jaggery Tea Cake","Desserts","Desserts",147.34,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","152","Skimmed Milk @50","Choice of Milk","ADDON",50.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","221","Chipotle Paneer Bhurji & Broccomole Toastie","Puff & Toastie","Quick Bites",314.29,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","138","Master Blend @0","Choice of Beans","ADDON",0.00,0.00,13.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","234","Master Blend - (Default)","Choice of Beans","ADDON",0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","94","Flat White","Hot Brews","Hot Beverages",170.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","212","French Butter Croissant","Croissant Cookie & Muffin","Quick Bites",104.46,0.00,7.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","218","Herb Infused Roasted Chicken Toastie","Puff & Toastie","Quick Bites",257.14,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","187","Nolen Gur Banofee Jar","Desserts","Desserts",295.24,0.00,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","220","Herb Chicken Open Puff","Puff & Toastie","Quick Bites",147.34,0.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","213","Sea Salt Caramel Brookie","Croissant Cookie & Muffin","Quick Bites",147.34,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","DINE IN","POS","186","Belgian Chocolate Fudge Brownie","Desserts","Desserts",104.46,0.00,12.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","174","Garlic Mushroom & Caramelized Onion Melt","Hand Made Sandwiches","Main Course",241.28,11.00,0.00,11.00,2654.08,0.00,2654.08,132.66,2786.74,0.50,
"MSFT Hyd","TAKEAWAY","POS","150","Almond Milk @50","Choice of Milk","ADDON",50.00,29.00,0.00,29.00,1450.00,0.00,1450.00,72.50,1522.50,0.27,
"MSFT Hyd","TAKEAWAY","POS","414","Regular - Milk -80g Default","Choice of Milk","ADDON",0.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","30","Classic Iced Chocolate-Med","Iced Chocolate","Cold Beverages",161.90,3.00,0.00,3.00,485.70,0.00,485.70,24.30,510.00,0.09,
"MSFT Hyd","TAKEAWAY","POS","144","Ethiopia Blend 15g @0","Choice of Beans","ADDON",0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","70","Iced Classic Lemon Tea-Med","Refresh","Cold Beverages",123.81,7.00,0.00,7.00,866.67,0.00,866.67,43.33,910.00,0.16,
"MSFT Hyd","TAKEAWAY","POS","44","Mocha Espressione Cold-Lrg","Island Special-Cold","Cold Beverages",200.00,13.00,0.00,13.00,2600.00,0.00,2600.00,130.00,2730.00,0.49,
"MSFT Hyd","TAKEAWAY","POS","217","Korean Garlic Mushroom Puff","Puff & Toastie","Quick Bites",99.48,36.00,0.00,36.00,3581.30,0.00,3581.30,178.94,3760.24,0.68,
"MSFT Hyd","TAKEAWAY","POS","235","Volcano Blend (Default)","Choice of Beans","ADDON",0.00,1357.00,0.00,1357.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","338","Regular - Milk -150g Default","Choice of Milk","ADDON",0.00,198.00,0.00,198.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","10","Islander Cold Coffee-Lrg","Cold Brews","Cold Beverages",180.95,419.00,0.00,419.00,75818.06,0.00,75818.06,3791.94,79610.00,14.34,
"MSFT Hyd","TAKEAWAY","POS","216","White Chocolate & Pistachio Flat Croissant","Croissant Cookie & Muffin","Quick Bites",140.33,29.00,0.00,29.00,4069.57,0.00,4069.57,203.58,4273.15,0.77,
"MSFT Hyd","TAKEAWAY","POS","50","Iced Vietneamese Shakerato","Island Special-Cold","Cold Beverages",209.52,50.00,0.00,50.00,10476.01,0.00,10476.01,523.99,11000.00,1.98,
"MSFT Hyd","TAKEAWAY","POS","63","Cookie & Cream Proffee (Protein + Coffee)","Proffees (Protein + Coffee)","Cold Beverages",209.52,45.00,0.00,45.00,9428.40,0.00,9428.40,471.60,9900.00,1.78,
"MSFT Hyd","TAKEAWAY","POS","339","Regular - Milk -160g Default","Choice of Milk","ADDON",0.00,87.00,0.00,87.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","14","Iced Americano-Lrg","Cold Brews","Cold Beverages",171.43,30.00,0.00,30.00,5142.90,0.00,5142.90,257.10,5400.00,0.97,
"MSFT Hyd","TAKEAWAY","POS","130","Indian Masala Tea","Hot Tea","Hot Beverages",161.90,1.00,0.00,1.00,161.90,0.00,161.90,8.10,170.00,0.03,
"MSFT Hyd","TAKEAWAY","POS","136","Spanish Bombon (Small)","Island Special-Hot","Hot Beverages",209.52,5.00,0.00,5.00,1047.60,0.00,1047.60,52.40,1100.00,0.20,
"MSFT Hyd","TAKEAWAY","POS","38","Dreamy Hazelnut Iced Chocolate-Lrg","Iced Chocolate","Cold Beverages",180.95,40.00,0.00,40.00,7238.00,0.00,7238.00,362.00,7600.00,1.37,
"MSFT Hyd","TAKEAWAY","POS","209","Dark Chocolate SSC Single Scoop","Gelato","Desserts",94.29,38.00,0.00,38.00,3583.02,0.00,3583.02,178.98,3762.00,0.68,
"MSFT Hyd","TAKEAWAY","POS","211","Double Choco Chunk Cookie","Croissant Cookie & Muffin","Quick Bites",99.48,43.00,0.00,43.00,4277.67,0.00,4277.67,213.74,4491.41,0.81,
"MSFT Hyd","TAKEAWAY","POS","56","Berry Burst Paradise Milkshake-Med","Milk Shake","Cold Beverages",180.95,8.00,0.00,8.00,1447.60,0.00,1447.60,72.40,1520.00,0.27,
"MSFT Hyd","TAKEAWAY","POS","94","Flat White","Hot Brews","Hot Beverages",161.90,21.00,0.00,21.00,3399.90,0.00,3399.90,170.10,3570.00,0.64,
"MSFT Hyd","TAKEAWAY","POS","415","Regular - Milk -60g Default","Choice of Milk","ADDON",0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","335","Regular - Milk -120g Default","Choice of Milk","ADDON",0.00,196.00,0.00,196.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","142","Ethiopia Single Estate @50","Choice of Beans","ADDON",50.00,2.00,0.00,2.00,100.00,0.00,100.00,5.00,105.00,0.02,
"MSFT Hyd","TAKEAWAY","POS","341","Regular - Milk -180g Default","Choice of Milk","ADDON",0.00,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","146","Ethiopia Single Estate 15g@0","Choice of Beans","ADDON",0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","39","Dreamy Hazelnut Iced Chocolate-Med","Iced Chocolate","Cold Beverages",161.90,12.00,0.00,12.00,1942.80,0.00,1942.80,97.20,2040.00,0.37,
"MSFT Hyd","TAKEAWAY","POS","17","Slushed Pineapple Mango Sunshine Granita-Med","Granita","Cold Beverages",161.90,3.00,0.00,3.00,485.70,0.00,485.70,24.30,510.00,0.09,
"MSFT Hyd","TAKEAWAY","POS","125","Hazelnut Indulgent Hot Chocolate-Med","Hot Chocolate","Hot Beverages",180.95,51.00,0.00,51.00,9228.45,0.00,9228.45,461.55,9690.00,1.74,
"MSFT Hyd","TAKEAWAY","POS","170","Roasted Tomato & Bocconcini Croissant","Hand Made Sandwiches","Main Course",241.28,18.00,0.00,18.00,4343.04,0.00,4343.04,217.08,4560.12,0.82,
"MSFT Hyd","TAKEAWAY","POS","36","Classic Strawberry Iced Chocolate-Med","Iced Chocolate","Cold Beverages",161.90,6.00,0.00,6.00,971.40,0.00,971.40,48.60,1020.00,0.18,
"MSFT Hyd","TAKEAWAY","POS","52","Double Chocolate Indulgent Milkshake-Med","Milk Shake","Cold Beverages",180.95,17.00,0.00,17.00,3076.15,0.00,3076.15,153.85,3230.00,0.58,
"MSFT Hyd","TAKEAWAY","POS","65","Caremel Proffee (Protein + Coffee)","Proffees (Protein + Coffee)","Cold Beverages",209.52,11.00,0.00,11.00,2304.72,0.00,2304.72,115.28,2420.00,0.44,
"MSFT Hyd","TAKEAWAY","POS","15","Iced Americano-Med","Cold Brews","Cold Beverages",152.38,33.00,0.00,33.00,5028.54,0.00,5028.54,251.46,5280.00,0.95,
"MSFT Hyd","TAKEAWAY","POS","48","Freddo Cappuccino-Lrg","Island Special-Cold","Cold Beverages",180.95,18.00,0.00,18.00,3257.10,0.00,3257.10,162.90,3420.00,0.62,
"MSFT Hyd","TAKEAWAY","POS","186","Belgian Chocolate Fudge Brownie","Desserts","Desserts",99.48,217.00,0.00,217.00,21587.57,0.00,21587.57,1078.98,22666.55,4.08,
"MSFT Hyd","TAKEAWAY","POS","205","French Vanilla Single Scoop","Gelato","Desserts",94.29,62.00,0.00,62.00,5845.82,0.00,5845.82,292.18,6138.00,1.11,
"MSFT Hyd","TAKEAWAY","POS","81","Iced Apple Green Tea-Med","Refresh","Cold Beverages",123.81,4.00,0.00,4.00,495.24,0.00,495.24,24.76,520.00,0.09,
"MSFT Hyd","TAKEAWAY","POS","333","Regular - Milk -100g Default","Choice of Milk","ADDON",0.00,29.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","61","Overnite Espresso Vietnamese Brew","Overnight Brew","Cold Beverages",209.52,29.00,0.00,29.00,6076.08,0.00,6076.08,303.92,6380.00,1.15,
"MSFT Hyd","TAKEAWAY","POS","332","Regular - Milk -90g Default","Choice of Milk","ADDON",0.00,83.00,0.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","87","Chemex","Alternative Brews","Hot Beverages",200.00,1.00,0.00,1.00,200.00,0.00,200.00,10.00,210.00,0.04,
"MSFT Hyd","TAKEAWAY","POS","96","Hot Latte Signature-Med","Hot Brews","Hot Beverages",171.43,106.00,0.00,106.00,18171.58,0.00,18171.58,908.42,19080.00,3.44,
"MSFT Hyd","TAKEAWAY","POS","342","Regular - Milk -200g Default","Choice of Milk","ADDON",0.00,114.00,0.00,114.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","215","Rocky Road & Pecan Muffin","Croissant Cookie & Muffin","Quick Bites",190.48,11.00,0.00,11.00,2095.28,0.00,2095.28,104.72,2200.00,0.40,
"MSFT Hyd","TAKEAWAY","POS","513","Halloween sprinkle","Halloween addon","Halloween addon",0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","344","Regular - Milk -220g Default","Choice of Milk","ADDON",0.00,141.00,0.00,141.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","62","Overnite Espresso Classic Brew","Overnight Brew","Cold Beverages",209.52,4.00,0.00,4.00,838.08,0.00,838.08,41.92,880.00,0.16,
"MSFT Hyd","TAKEAWAY","POS","156","Peach Popping Boba - 50","Choice of Boba","ADDON",50.00,3.00,0.00,3.00,150.00,0.00,150.00,7.50,157.50,0.03,
"MSFT Hyd","TAKEAWAY","POS","183","Sriracha Chicken & Avocado Wrap","Wholesome Wrap","Main Course",241.28,12.00,0.00,12.00,2895.36,0.00,2895.36,144.72,3040.08,0.55,
"MSFT Hyd","TAKEAWAY","POS","196","Belgian Chocolate Singal Scoop","Gelato","Desserts",94.29,83.00,0.00,83.00,7825.99,0.00,7825.99,391.01,8217.00,1.48,
"MSFT Hyd","TAKEAWAY","POS","405","Kenya Single Estate 15g @0","Choice of Beans","ADDON",0.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","99","Americano-reg","Hot Brews","Hot Beverages",133.33,66.00,0.00,66.00,8799.81,0.00,8799.81,440.19,9240.00,1.66,
"MSFT Hyd","TAKEAWAY","POS","210","Parker House Cream Pie Croissant","Croissant Cookie & Muffin","Quick Bites",140.33,31.00,0.00,31.00,4350.23,0.00,4350.23,217.62,4567.85,0.82,
"MSFT Hyd","TAKEAWAY","POS","188","Cinnamon & Jaggery Tea Cake","Desserts","Desserts",140.33,34.00,0.00,34.00,4771.22,0.00,4771.22,238.68,5009.90,0.90,
"MSFT Hyd","TAKEAWAY","POS","8","Gelato Affagato","Cold Brews","Cold Beverages",200.00,5.00,0.00,5.00,1000.00,0.00,1000.00,50.00,1050.00,0.19,
"MSFT Hyd","TAKEAWAY","POS","3","Iced Latte Signature-Lrg","Cold Brews","Cold Beverages",142.86,68.00,0.00,68.00,9714.48,0.00,9714.48,485.52,10200.00,1.84,
"MSFT Hyd","TAKEAWAY","POS","90","Cortardo (Small)","Hot Brews","Hot Beverages",152.38,11.00,0.00,11.00,1676.18,0.00,1676.18,83.82,1760.00,0.32,
"MSFT Hyd","TAKEAWAY","POS","134","Mocha Espressione Hot-Med","Island Special-Hot","Hot Beverages",200.00,15.00,0.00,15.00,3000.00,0.00,3000.00,150.00,3150.00,0.57,
"MSFT Hyd","TAKEAWAY","POS","105","Cappuccino-Med","Hot Brews","Hot Beverages",171.43,91.00,0.00,91.00,15600.13,0.00,15600.13,779.87,16380.00,2.95,
"MSFT Hyd","TAKEAWAY","POS","340","Regular - Milk -170g Default","Choice of Milk","ADDON",0.00,86.00,0.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","124","Hazelnut Indulgent Hot Chocolate-Reg","Hot Chocolate","Hot Beverages",161.90,31.00,0.00,31.00,5018.90,0.00,5018.90,251.10,5270.00,0.95,
"MSFT Hyd","TAKEAWAY","POS","33","Guilt-Free Iced Chocolate-Med","Iced Chocolate","Cold Beverages",161.90,11.00,0.00,11.00,1780.90,0.00,1780.90,89.10,1870.00,0.34,
"MSFT Hyd","TAKEAWAY","POS","219","Peri Peri Cheese Toastie","Puff & Toastie","Quick Bites",190.48,23.00,0.00,23.00,4381.04,0.00,4381.04,218.96,4600.00,0.83,
"MSFT Hyd","TAKEAWAY","POS","32","Guilt-Free Iced Chocolate-Lrg","Iced Chocolate","Cold Beverages",180.95,15.00,0.00,15.00,2714.25,0.00,2714.25,135.75,2850.00,0.51,
"MSFT Hyd","TAKEAWAY","POS","336","Regular - Milk -130g Default","Choice of Milk","ADDON",0.00,173.00,0.00,173.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","237","Salted Caramel Crema - 0  (Default)","Choice of Crema","ADDON",0.00,86.00,0.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","41","Freddo Espresso Ristretto-Lrg","Island Special-Cold","Cold Beverages",200.00,2.00,0.00,2.00,400.00,0.00,400.00,20.00,420.00,0.08,
"MSFT Hyd","TAKEAWAY","POS","139","Kenya Blend @25","Choice of Beans","ADDON",25.00,2.00,0.00,2.00,50.00,0.00,50.00,2.50,52.50,0.01,
"MSFT Hyd","TAKEAWAY","POS","92","Espresso (Single)","Hot Brews","Hot Beverages",123.81,14.00,0.00,14.00,1733.34,0.00,1733.34,86.66,1820.00,0.33,
"MSFT Hyd","TAKEAWAY","POS","110","Machiato (Single)","Hot Brews","Hot Beverages",133.33,7.00,0.00,7.00,933.31,0.00,933.31,46.69,980.00,0.18,
"MSFT Hyd","TAKEAWAY","POS","152","Skimmed Milk @50","Choice of Milk","ADDON",50.00,2.00,0.00,2.00,100.00,0.00,100.00,5.00,105.00,0.02,
"MSFT Hyd","TAKEAWAY","POS","88","Aero Press","Alternative Brews","Hot Beverages",200.00,2.00,0.00,2.00,400.00,0.00,400.00,20.00,420.00,0.08,
"MSFT Hyd","TAKEAWAY","POS","68","Bobastic Raw Mango Refresh Tea-Lrg","Refresh","Cold Beverages",200.00,7.00,0.00,7.00,1400.00,0.00,1400.00,70.00,1470.00,0.26,
"MSFT Hyd","TAKEAWAY","POS","200","Mango Sorbet Singal Scoop","Gelato","Desserts",94.29,22.00,0.00,22.00,2074.37,0.00,2074.37,103.63,2178.00,0.39,
"MSFT Hyd","TAKEAWAY","POS","12","Fizzy Espressione (Gingerale)","Cold Brews","Cold Beverages",200.00,8.00,0.00,8.00,1600.00,0.00,1600.00,80.00,1680.00,0.30,
"MSFT Hyd","TAKEAWAY","POS","240","Extra Shot - Volcano Blend","Choice of Extra Shot - 50","Cold Beverages",50.00,6.00,0.00,6.00,300.00,0.00,300.00,15.00,315.00,0.06,
"MSFT Hyd","TAKEAWAY","POS","80","Iced Apple Green Tea-Lrg","Refresh","Cold Beverages",142.86,8.00,0.00,8.00,1142.88,0.00,1142.88,57.12,1200.00,0.22,
"MSFT Hyd","TAKEAWAY","POS","4","Fizzy Espressione (Tonic Water)","Cold Brews","Cold Beverages",209.52,6.00,0.00,6.00,1257.12,0.00,1257.12,62.88,1320.00,0.24,
"MSFT Hyd","TAKEAWAY","POS","45","Mocha Espressione Cold-Med","Island Special-Cold","Cold Beverages",180.95,27.00,0.00,27.00,4885.65,0.00,4885.65,244.35,5130.00,0.92,
"MSFT Hyd","TAKEAWAY","POS","220","Herb Chicken Open Puff","Puff & Toastie","Quick Bites",140.33,9.00,0.00,9.00,1262.97,0.00,1262.97,63.18,1326.15,0.24,
"MSFT Hyd","TAKEAWAY","POS","24","Slushed Peach Paradise Granita-Lrg","Granita","Cold Beverages",180.95,1.00,0.00,1.00,180.95,0.00,180.95,9.05,190.00,0.03,
