Deployment Name,StoreKitchen Name,Item Code ,Item Name,Category Name ,Super Category Name ,Average Price ,Opening Date ,Opening Qty ,Unit ,Amt ,Purchase Qty ,Amt ,Indent Receive Qty ,Amt ,Indent Dispatch Qty ,Amt ,InternalIndent Receive Qty ,Amt ,InternalIndent Dispatch Qty ,Amt ,Stock In Qty ,Amt ,Consumption Qty ,Amt ,Yield Wastage ,Amt ,Stock Out Qty ,Amt ,Total (Stock Out + Consumption Qty) ,Amt ,Wastage Qty ,Amt ,Reuse Qty ,Amt ,Return Qty ,Amt ,Closing Date ,Closing Qty ,Amt ,Latest Physical Qty ,Amt ,PhysicalGain/Loss Qty ,Amt ,Ideal Closing Qty ,Amt,Physical Adjusted Closing Qty ,Amt
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000071,Cable Manager,CCTV CAMERA & NETWORKING,CAPEX,400,01-02-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-02-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000072,Radiowalla Music Devices,OTHER ELECTRONIC & ELECTRICAL ITEMS,CAPEX,0,01-02-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-02-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000073,Electronic Weighing Scale (0.001 To 10 Kg),BOH OTHER EQUIPMENT,CAPEX,0,01-02-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-02-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000074,Vitamix Jar 48 Oz/1.4L Adv Tr/Bld/Lid/Plug,BOH BEVERAGE EQUIPMENT,CAPEX,0,01-02-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-02-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000075,Rinse O Matic Jar Cleaning Rinser,BOH BEVERAGE EQUIPMENT,CAPEX,0,01-02-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-02-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000076,Water Boiler- 2 Gallon - 111202,BOH OTHER EQUIPMENT,CAPEX,0,01-02-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-02-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000077,Vfd Panel - 2.2Kw,OTHER ELECTRONIC & ELECTRICAL ITEMS,CAPEX,0,01-02-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-02-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000078,Pagers,OTHER ELECTRONIC & ELECTRICAL ITEMS,CAPEX,0,01-02-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-02-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000079,Transmitter + Charger,OTHER ELECTRONIC & ELECTRICAL ITEMS,CAPEX,0,01-02-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-02-2026,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000080,Roller Blinds(Ft),BOH DEAD FABRICATION EQUIPMENT,CAPEX,0,01-02-2026,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-02-2026,0,0,NA,NA,0,0,0,0,0,0,
