Deployment Name ,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source ,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000118,Grated Parmesan Cheese,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2,PKT(100GM),0,299.53,-,599.06,0,18,107.83,-,-,-,-,107.83,0,706.89,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000126,Aop Veggie Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,1,PKT(250GM),0,137.05,-,137.05,0,18,24.67,-,-,-,-,24.67,0,161.72,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000120,Aop Spice Mix,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,1,PKT(100GM),0,70.31,-,70.31,0,18,12.66,-,-,-,-,12.66,0,82.97,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000134,Spaghetti Pasta Blanched,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2,PKT(500GM),0,150.79,-,301.58,0,18,54.28,-,-,-,-,54.28,0,355.86,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000089,Arabica Cold Brew Tiramisu,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,6,PCS..,0,146.6,-,879.6,0,18,158.33,-,-,-,-,158.33,0,1037.93,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000098,Sea Salt Caramel Brookie,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,7,PCS..,0,55.81,-,390.67,0,18,70.32,-,-,-,-,70.32,0,460.99,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000137,Blanched Marconi Pasta,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2,PKT(500GM),0,151.01,-,302.02,0,18,54.36,-,-,-,-,54.36,0,356.38,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000138,Mac & Cheese Sauce,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,2,PKT(500GM),0,149.74,-,299.48,0,18,53.91,-,-,-,-,53.91,0,353.39,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000119,Blanched Broccoli Floret,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,-,1,PKT(100GM),0,40.38,-,40.38,0,18,7.27,-,-,-,-,7.27,0,47.65,,
Coffee Island GK II,Coffee Island GK Main  Store,Neeraj Singh,Compass India Food Services Private Limited,28-11-2025,SE-243,28112025,-,-,CIGKII-PO-267,28-11-2025,RAW0000080,Roasted Chicken Mac & Cheese,RM FOOD - NON VEG INGREDIENTS,RAW MATERIAL,-,1,PKT(100GM),0,67.07,-,67.07,0,18,12.07,-,-,-,-,12.07,0,79.14,,
