Deployment Name,Coffee Island Eros Churchgate - Mumbai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-09-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,30-09-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,29-12-2025, 05:21:06 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,CNC0000008,,Cup And Saucer Set - 08Oz,CT_15,CROCKERY,-,CROCKERY & CUTLERY,PCS..,298,-,298,30,1072.8,8940,10012.8,-,27-09-2025,30,1072.8,8940,10012.8,-,147,27-09-2025,30,1072.8,8940,10012.8,-,No,-,-,0,0,30,17880,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,CNC0000009,,Cup And Saucer Set - 12Oz,CT_15,CROCKERY,-,CROCKERY & CUTLERY,PCS..,312,-,312,15,561.6,4680,5241.6,-,27-09-2025,15,561.6,4680,5241.6,-,147,27-09-2025,15,561.6,4680,5241.6,-,No,-,-,0,0,15,9360,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,CNC0000018,,Demitasse Spoon,CT_16,CUTLERY,-,CROCKERY & CUTLERY,PCS..,31.47,-,31.47,15,84.97,472.05,557.02,-,27-09-2025,15,84.97,472.05,557.02,-,147,27-09-2025,15,84.97,472.05,557.02,-,No,-,-,0,0,15,944.1,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,CNC0000016,,Dinner Fork,CT_16,CUTLERY,-,CROCKERY & CUTLERY,PCS..,38.75,-,38.75,30,209.25,1162.5,1371.75,-,27-09-2025,30,209.25,1162.5,1371.75,-,147,27-09-2025,30,209.25,1162.5,1371.75,-,No,-,-,0,0,30,2325,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,CNC0000014,,Dinner Knife,CT_16,CUTLERY,-,CROCKERY & CUTLERY,PCS..,67.92,-,67.92,30,366.77,2037.6,2404.37,-,27-09-2025,30,366.77,2037.6,2404.37,-,147,27-09-2025,30,366.77,2037.6,2404.37,-,No,-,-,0,0,30,4075.2,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,CNC0000007,,Dinner Plate,CT_15,CROCKERY,-,CROCKERY & CUTLERY,PCS..,278,-,278,24,800.64,6672,7472.64,-,27-09-2025,24,800.64,6672,7472.64,-,147,27-09-2025,24,800.64,6672,7472.64,-,No,-,-,0,0,24,13344,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,CNC0000015,,Dinner Spoon,CT_16,CUTLERY,-,CROCKERY & CUTLERY,PCS..,38.75,-,38.75,30,209.25,1162.5,1371.75,-,27-09-2025,30,209.25,1162.5,1371.75,-,147,27-09-2025,30,209.25,1162.5,1371.75,-,No,-,-,0,0,30,2325,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,CNC0000010,,Dip Bowl,CT_15,CROCKERY,-,CROCKERY & CUTLERY,PCS..,117,-,117,12,168.48,1404,1572.48,-,27-09-2025,12,168.48,1404,1572.48,-,147,27-09-2025,12,168.48,1404,1572.48,-,No,-,-,0,0,12,2808,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000009,,Disposable - Cup Holder,CT_22,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.8,-,1.8,1500,486.01,2700.04,3186.05,-,27-09-2025,1500,486.01,2700.040907,3186.05,-,147,27-09-2025,1500,486.01,2700.04,3186.05,-,No,-,-,0,0,1500,5400.08,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000001,,Disposable - Cutlery Sleeve,CT_18,DISPOSABLE CUTLERY - CUTLERY POUCH,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,200,39.6,220,259.6,-,27-09-2025,200,39.6,220,259.6,-,147,27-09-2025,200,39.6,220,259.6,-,No,-,-,0,0,200,440,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,KIA0000010,,Disposable - Dip Container,CT_34,DISPENSING ACCESSORIES,-,KITCHEN ACCESSORIES,PCS,1.96,-,1.96,100,23.52,196,219.52,-,27-09-2025,100,23.52,196,219.52,-,147,27-09-2025,100,23.52,196,219.52,-,No,-,-,0,0,100,392,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000016,,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.15,-,3.15,300,170.1,945,1115.1,-,27-09-2025,300,170.1,945,1115.1,-,147,27-09-2025,300,170.1,945,1115.1,-,No,-,-,0,0,300,1890,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000018,,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.3,-,2.3,1250,517.5,2875,3392.5,-,27-09-2025,1250,517.5,2875,3392.5,-,147,27-09-2025,1250,517.5,2875,3392.5,-,No,-,-,0,0,1250,5750,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000017,,Disposable - Lid (Hot) 12Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.95,-,3.95,1250,888.75,4937.5,5826.25,-,27-09-2025,1250,888.75,4937.5,5826.25,-,147,27-09-2025,1250,888.75,4937.5,5826.25,-,No,-,-,0,0,1250,9875,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000029,,Disposable - Paper Bowl (1000Ml),CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.5,-,7.5,700,945,5250,6195,-,27-09-2025,700,945,5250,6195,-,147,27-09-2025,700,945,5250,6195,-,No,-,-,0,0,700,10500,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000012,,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.7,-,4.7,800,676.8,3760,4436.8,-,27-09-2025,800,676.8,3760,4436.8,-,147,27-09-2025,800,676.8,3760,4436.8,-,No,-,-,0,0,800,7520,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.97,-,4.97,1000,894.6,4970,5864.6,-,27-09-2025,1000,894.6,4970,5864.6,-,147,27-09-2025,1000,894.6,4970,5864.6,-,No,-,-,0,0,1000,9940,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000014,,Disposable - Paper Cup 16Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,5.95,-,5.95,800,856.8,4760,5616.8,-,27-09-2025,800,856.8,4760,5616.8,-,147,27-09-2025,800,856.8,4760,5616.8,-,No,-,-,0,0,800,9520,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000025,,Disposable - Rectangular Box,CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,6.45,-,6.45,500,387,3225.02,3612.02,-,27-09-2025,500,387,3225.020935,3612.02,-,147,27-09-2025,500,387,3225.02,3612.02,-,No,-,-,0,0,500,6450.04,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000011,,Disposable - Sealing Foil,CT_24,DISPOSABLE PACKAGING - BEVERAGES - CUP SEALING FOIL,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,1.1,-,1.1,2000,396,2199.98,2595.98,-,27-09-2025,2000,396,2199.980002,2595.98,-,147,27-09-2025,2000,396,2199.98,2595.98,-,No,-,-,0,0,2000,4399.96,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000027,,Disposable - Sleeve For Wrap,CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.03,-,4.03,300,217.62,1209,1426.62,-,27-09-2025,300,217.62,1209,1426.62,-,147,27-09-2025,300,217.62,1209,1426.62,-,No,-,-,0,0,300,2418,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000026,,Disposable - Square Box,CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.3,-,7.3,400,350.4,2919.98,3270.38,-,27-09-2025,400,350.4,2919.982742,3270.38,-,147,27-09-2025,400,350.4,2919.98,3270.38,-,No,-,-,0,0,400,5839.97,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000023,,Disposable - Stirrer,CT_27,DISPOSABLE PACKAGING - BEVERAGES - WOODEN STIRRER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,0.11,-,0.11,2000,39.6,220,259.6,-,27-09-2025,2000,39.6,220,259.6,-,147,27-09-2025,2000,39.6,220,259.6,-,No,-,-,0,0,2000,440,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000020,,Disposable - Straw - 08Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.63,-,0.63,5000,562.62,3125.66,3688.28,-,27-09-2025,5000,562.62,3125.663843,3688.28,-,147,27-09-2025,5000,562.62,3125.66,3688.28,-,No,-,-,0,0,5000,6251.33,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000021,,Disposable - Straw - 12Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.89,-,0.89,2100,336.43,1869.03,2205.46,-,27-09-2025,2100,336.43,1869.029285,2205.46,-,147,27-09-2025,2100,336.43,1869.03,2205.46,-,No,-,-,0,0,2100,3738.06,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,5000,351,1950,2301,-,27-09-2025,5000,351,1950,2301,-,147,27-09-2025,5000,351,1950,2301,-,No,-,-,0,0,5000,3900,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000002,,Disposable - Wooden Fork,CT_19,DISPOSABLE CUTLERY - WOODEN FORK,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,1000,78,650,728,-,27-09-2025,1000,78,650,728,-,147,27-09-2025,1000,78,650,728,-,No,-,-,0,0,1000,1300,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000004,,Disposable - Wooden Spoon,CT_20,DISPOSABLE CUTLERY - WOODEN SPOON,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,1000,78,650,728,-,27-09-2025,1000,78,650,728,-,147,27-09-2025,1000,78,650,728,-,No,-,-,0,0,1000,1300,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000024,,Food Wrapping Paper - Ci,CT_28,DISPOSABLE PACKAGING - BUTTER WRAPPING SHEETS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,1000,132,1100,1232,-,27-09-2025,1000,132,1100,1232,-,147,27-09-2025,1000,132,1100,1232,-,No,-,-,0,0,1000,2200,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,RAW0000035,,Iced Tea Powder - Green Apple,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,378,-,378,2,136.08,756,892.08,-,27-09-2025,2,136.08,756,892.08,-,147,27-09-2025,2,136.08,756,892.08,-,No,-,-,0,0,2,1512,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,RAW0000145,,J1 Matcha Powder,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,PCS(20GM),157.17,-,157.17,30,235.75,4715.1,4950.85,-,27-09-2025,30,235.75,4715.1,4950.85,-,147,27-09-2025,30,235.75,4715.1,4950.85,-,No,-,-,0,0,30,9430.2,0,0,Returned
Warehouse NCR,Coffee Island Eros Churchgate - Mumbai,-,27-09-2025,29-09-2025,IN2,Return Processed,PKG0000031,,Kitchen Roll 1 Kg,CT_30,DISPOSABLE PACKAGING - KITCHEN ROLL,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,115,-,115,12,248.4,1380,1628.4,-,27-09-2025,12,248.4,1380,1628.4,-,147,27-09-2025,12,248.4,1380,1628.4,-,No,-,-,0,0,12,2760,0,0,Returned
