Deployment Name,Coffee Island AIPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-08-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,31-08-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,29-12-2025, 05:14:09 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
Warehouse NCR,Coffee Island AIPL,-,27-08-2025,28-08-2025,IN13,Received,PKG0000009,,Disposable - Cup Holder,CT_22,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.25,-,2.25,1000,405,2250,2655,-,29-08-2025,1500,607.5,3375,3982.5,-,103,31-08-2025,1500,607.5,3375,3982.5,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,27-08-2025,28-08-2025,IN13,Received,PKG0000020,,Disposable - Straw - 08Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.63,-,0.63,2000,225.05,1250.27,1475.32,-,29-08-2025,2000,225.05,1250.265537,1475.32,-,103,31-08-2025,2000,225.05,1250.27,1475.32,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,27-08-2025,28-08-2025,IN13,Received,PKG0000021,,Disposable - Straw - 12Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.89,-,0.89,1000,160.2,890.01,1050.21,-,29-08-2025,400,64.08,356.005578,420.09,-,103,31-08-2025,400,64.08,356.01,420.09,short received,No,-,-,0,0,0,534.01,0,0,Suspicious Resolved By Supplier
Warehouse NCR,Coffee Island AIPL,-,27-08-2025,28-08-2025,IN13,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,10000,702,3900,4602,-,29-08-2025,10000,702,3900,4602,-,103,31-08-2025,10000,702,3900,4602,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,27-08-2025,28-08-2025,IN13,Received,PKG0000024,,Food Wrapping Paper - Ci,CT_28,DISPOSABLE PACKAGING - BUTTER WRAPPING SHEETS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,700,92.4,770,862.4,-,29-08-2025,700,92.4,770,862.4,-,103,31-08-2025,700,92.4,770,862.4,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,27-08-2025,28-08-2025,IN13,Received,PKG0000030,,Lid For 1000 Ml Container,CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.75,-,2.75,150,74.25,412.5,486.75,-,29-08-2025,150,74.25,412.5,486.75,-,103,31-08-2025,150,74.25,412.5,486.75,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,27-08-2025,28-08-2025,IN13,Received,PKG0000015,,Plastic Transparent Bowl,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.41,-,7.41,500,666.9,3705,4371.9,-,29-08-2025,500,666.9,3705,4371.9,-,103,31-08-2025,500,666.9,3705,4371.9,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,27-08-2025,28-08-2025,IN13,Received,UNI0000019,,Royal Blue Shirt F/S With Chinese Colour CI- Mens XL,CT_82,UNIFORM - SHIRT/T SHIRT,-,UNIFORM,PCS..,440,-,440,2,44,880,924,-,29-08-2025,2,44,880,924,-,103,31-08-2025,2,44,880,924,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island AIPL,-,27-08-2025,28-08-2025,IN13,Received,PKG0000007,,Yellow Carry Bag Medium - Ci,CT_21,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,8.61,-,8.61,1000,1549.8,8610,10159.8,-,29-08-2025,1000,1549.8,8610,10159.8,-,103,31-08-2025,1000,1549.8,8610,10159.8,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island HQ-27,Coffee Island AIPL,-,29-08-2025,-,DD10,Received,RET0000022,,Cold Brew - Whiskey Barrel,CT_63,RTD COLD BREW - BOTTLE/CAN,-,RETAIL,PCS,141.13,-,141.13,0,-,0,0,-,29-08-2025,5,127.02,705.65,832.67,-,10,31-08-2025,5,127.02,705.65,832.67,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island HQ-27,Coffee Island AIPL,-,29-08-2025,-,DD10,Received,PKG0000009,,Disposable - Cup Holder,CT_22,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.07,-,2.07,0,-,0,0,-,29-08-2025,200,74.6,414.4201538,489.02,-,10,31-08-2025,200,74.6,414.42,489.02,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island HQ-27,Coffee Island AIPL,-,29-08-2025,-,DD10,Received,RET0000026,,Ice Tea - Lavender,CT_65,RTD ICE TEAS - BOTTLE/CAN,-,RETAIL,PCS,67.8,-,67.8,0,-,0,0,-,29-08-2025,5,61.02,339,400.02,-,10,31-08-2025,5,61.02,339,400.02,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island HQ-27,Coffee Island AIPL,-,29-08-2025,-,DD10,Received,RET0000025,,Ice Tea - Peach,CT_65,RTD ICE TEAS - BOTTLE/CAN,-,RETAIL,PCS,74.36,-,74.36,0,-,0,0,-,29-08-2025,5,66.93,371.8101266,438.74,-,10,31-08-2025,5,66.93,371.81,438.74,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island HQ-27,Coffee Island AIPL,-,29-08-2025,-,DD10,Received,RAW0000015,,Milk - Oat,CT_47,RM BEVERAGES - MILK PRODUCTS,-,RAW MATERIAL,GM,0.27,-,0.27,0,-,0,0,-,29-08-2025,3000,143.48,797.1342391,940.61,-,10,31-08-2025,3000,143.48,797.13,940.61,-,No,-,-,0,0,0,0,0,0,Received
,,,,,,,,,,,,,,,,,,Grand Total,13359.13,119671.79,133030.92,,,,12720.88,117358.78,130079.66,,,,,12720.88,117358.78,130079.66,,,,,,0,,0,,0,
