Deployment Name,Coffee Island - Tribeca Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,31-10-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,29-12-2025, 05:11:39 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,PKG0000031,,Kitchen Roll 1 Kg,CT_30,DISPOSABLE PACKAGING - KITCHEN ROLL,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,115,-,115,10,207,1150,1357,-,24-10-2025,10,207,1150,1357,-,185,03-11-2025,10,207,1150,1357,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,PKG0000015,,Plastic Transparent Bowl,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.41,-,7.41,300,400.14,2223,2623.14,-,24-10-2025,300,400.14,2223,2623.14,-,185,03-11-2025,300,400.14,2223,2623.14,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,UNI0000015,,Polo T-Shirt With Ci Logo - Large,CT_82,UNIFORM - SHIRT/T SHIRT,-,UNIFORM,PCS,340,-,340,2,34,680,714,-,24-10-2025,2,34,680,714,-,185,03-11-2025,2,34,680,714,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,UNI0000007,,Polo T-Shirt With Ci Logo - Medium,CT_82,UNIFORM - SHIRT/T SHIRT,-,UNIFORM,PCS..,340,-,340,5,85,1700,1785,-,24-10-2025,5,85,1700,1785,-,185,03-11-2025,5,85,1700,1785,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,UNI0000017,,Polo T-Shirt With Ci Logo - XXL,CT_82,UNIFORM - SHIRT/T SHIRT,-,UNIFORM,PCS,340,-,340,3,51,1020,1071,-,24-10-2025,0,-,0,0,-,,03-11-2025,0,-,0,0,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,UNI0000018,,Royal Blue Shirt F/S With Chinese Colour CI- Mens Large,CT_82,UNIFORM - SHIRT/T SHIRT,-,UNIFORM,PCS..,440,-,440,1,22,440,462,-,24-10-2025,1,22,440,462,-,185,03-11-2025,1,22,440,462,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,UNI0000010,,Royal Blue Shirt F/S With Chinese Colour CI- Mens Medium,CT_82,UNIFORM - SHIRT/T SHIRT,-,UNIFORM,PCS..,440,-,440,1,22,440,462,-,24-10-2025,1,22,440,462,-,185,03-11-2025,1,22,440,462,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,RAW0000045,,Sauce - Chocolate,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(1L/1300GM),170,-,170,6,51,1020,1071,-,24-10-2025,6,51,1020,1071,-,185,03-11-2025,6,51,1020,1071,-,No,-,-,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Tribeca Pune,-,22-10-2025,25-10-2025,IN13,Received,UNI0000005,,Team Member Ci Cap - Blue,CT_81,UNIFORM - CAP/HEAD GEARS,-,UNIFORM,PCS..,200,-,200,4,40,800,840,-,24-10-2025,4,40,800,840,-,185,03-11-2025,4,40,800,840,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island - Amanora Mall,Coffee Island - Tribeca Pune,-,26-10-2025,-,DD7,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,GM,0.77,-,0.77,0,-,0,0,-,26-10-2025,3000,115.25,2304.99,2420.24,-,7,27-10-2025,3000,115.25,2304.99,2420.24,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island - Amanora Mall,Coffee Island - Tribeca Pune,-,28-10-2025,-,DD8,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,GM,0.77,-,0.77,0,-,0,0,-,28-10-2025,3000,115.25,2304.99,2420.24,-,8,28-10-2025,3000,115.25,2304.99,2420.24,-,No,-,-,0,0,0,0,0,0,Received
Coffee Island - Amanora Mall,Coffee Island - Tribeca Pune,-,28-10-2025,29-10-2025,IN14,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,GM,0.77,-,0.77,1500,57.62,1152.5,1210.11,-,28-10-2025,1500,57.62,1152.495,1210.11,-,9,28-10-2025,1500,57.62,1152.5,1210.11,-,No,-,-,0,0,0,0,0,0,Received
,,,,,,,,,,,,,,,,,,Grand Total,4722.84,52257.63,56980.47,,,,4113.13,51271.94,55385.07,,,,,4113.13,51271.94,55385.07,,,,,,0,,0,,0,
