Deployment Name,Coffee Island Phoenix Market City - Mumbai
Start Date,01-10-2025
End Date,31-10-2025
Report Generation Date&Time,31/12/2025, 01:11:41 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000009,,Disposable - Cup Holder,CT_22,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.8,-,1.8,1500,486.01,2700.04,3186.05,-,11-10-2025,1500,486.01,2700.0409066117204,3186.05,-,167,16-10-2025,1500,486.01,2700.04,3186.05,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000001,,Disposable - Cutlery Sleeve,CT_18,DISPOSABLE CUTLERY - CUTLERY POUCH,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,200,39.6,220,259.6,-,11-10-2025,200,39.6,219.99999999999997,259.6,-,167,16-10-2025,200,39.6,220,259.6,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,KIA0000010,,Disposable - Dip Container,CT_34,DISPENSING ACCESSORIES,-,KITCHEN ACCESSORIES,PCS,1.96,-,1.96,100,23.52,196,219.52,-,11-10-2025,100,23.52,196,219.52,-,167,16-10-2025,100,23.52,196,219.52,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000016,,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.15,-,3.15,200,113.4,630,743.4,-,11-10-2025,200,113.4,630,743.4,-,167,16-10-2025,200,113.4,630,743.4,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000018,,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.3,-,2.3,1250,517.5,2875,3392.5,-,11-10-2025,1250,517.5,2875,3392.5,-,167,16-10-2025,1250,517.5,2875,3392.5,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000029,,Disposable - Paper Bowl (1000Ml),CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.5,-,7.5,850,1147.5,6375,7522.5,-,11-10-2025,850,1147.5,6375,7522.5,-,167,16-10-2025,850,1147.5,6375,7522.5,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000012,,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.7,-,4.7,800,676.8,3760,4436.8,-,11-10-2025,800,676.8,3760,4436.8,-,167,16-10-2025,800,676.8,3760,4436.8,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.97,-,4.97,400,357.84,1988,2345.84,-,11-10-2025,400,357.84,1988,2345.84,-,167,16-10-2025,400,357.84,1988,2345.84,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000025,,Disposable - Rectangular Box,CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,6.45,-,6.45,500,387,3225.02,3612.02,-,11-10-2025,500,387,3225.0209349293136,3612.02,-,167,16-10-2025,500,387,3225.02,3612.02,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000011,,Disposable - Sealing Foil,CT_24,DISPOSABLE PACKAGING - BEVERAGES - CUP SEALING FOIL,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,1.1,-,1.1,1000,198,1099.99,1297.99,-,11-10-2025,1000,198,1099.9900009999,1297.99,-,167,16-10-2025,1000,198,1099.99,1297.99,-,No,-,-,0,0.00,0,0,0,0,Received,
