Deployment Name,Coffee Island NSP - New Delhi
Start Date,01-12-2025
End Date,30-12-2025
Report Generation Date&Time,31/12/2025, 01:08:56 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,
Coffee Island HQ-27,Coffee Island NSP - New Delhi,-,24-12-2025,-,DD40,Received,RET0000045,,Hazelnut Chocolate Shots - 40 Gms,CT_68,RTE - SNACKS,-,RETAIL,PCS..,48.99,-,48.99,0,-,0,0,-,24-12-2025,4,35.27,195.96,231.23,-,40,26-12-2025,4,35.27,195.96,231.23,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island HQ-27,Coffee Island NSP - New Delhi,-,24-12-2025,-,DD40,Received,RET0000041,,The Ultimate Trail Mix - 70 Gms,CT_68,RTE - SNACKS,-,RETAIL,PCS..,95.06,-,95.06,0,-,0,0,-,24-12-2025,5,57.04,475.32375,532.36,-,40,26-12-2025,5,57.04,475.32,532.36,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island HQ-27,Coffee Island NSP - New Delhi,-,24-12-2025,-,DD41,Received,RET0000027,,Juice - Valencia Orange,CT_66,RTD JUICES - BOTTLE/CAN,-,RETAIL,PCS,103.93,-,103.93,0,-,0,0,-,24-12-2025,10,239.03,1039.2804839223177,1278.31,-,41,26-12-2025,10,239.03,1039.28,1278.31,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,26-12-2025,27-12-2025,IN15,Received,RAW0000001,,Beans - Master Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,798.33,-,798.33,10,399.17,7983.3,8382.47,-,26-12-2025,10,399.17,7983.3,8382.47,-,266,27-12-2025,10,399.17,7983.3,8382.47,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,26-12-2025,27-12-2025,IN15,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,812.4,-,812.4,25,1015.5,20310,21325.5,-,26-12-2025,25,1015.5,20309.999999999996,21325.5,-,266,27-12-2025,25,1015.5,20310,21325.5,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,26-12-2025,27-12-2025,IN15,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,10,392.5,7850,8242.5,-,26-12-2025,10,392.5,7850,8242.5,-,266,27-12-2025,10,392.5,7850,8242.5,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,26-12-2025,27-12-2025,IN15,Received,PKG0000001,,Disposable - Cutlery Sleeve,CT_18,DISPOSABLE CUTLERY - CUTLERY POUCH,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,500,99,550,649,-,26-12-2025,500,99,549.9999999999999,649,-,266,27-12-2025,500,99,550,649,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,26-12-2025,27-12-2025,IN15,Received,PKG0000016,,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.14,-,2.14,200,76.9,427.21,504.11,-,26-12-2025,200,76.9,427.20506987325314,504.11,-,266,27-12-2025,200,76.9,427.21,504.11,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,26-12-2025,27-12-2025,IN15,Received,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.65,-,4.65,500,418.5,2325,2743.5,-,26-12-2025,500,418.5,2325,2743.5,-,266,27-12-2025,500,418.5,2325,2743.5,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,26-12-2025,27-12-2025,IN15,Received,PKG0000023,,Disposable - Stirrer,CT_27,DISPOSABLE PACKAGING - BEVERAGES - WOODEN STIRRER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,0.11,-,0.11,1000,19.8,110,129.8,-,26-12-2025,1000,19.8,109.99999999999999,129.8,-,266,27-12-2025,1000,19.8,110,129.8,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,26-12-2025,27-12-2025,IN15,Received,PKG0000004,,Disposable - Wooden Spoon,CT_20,DISPOSABLE CUTLERY - WOODEN SPOON,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,1000,78,650,728,-,26-12-2025,1000,78,650,728,-,266,27-12-2025,1000,78,650,728,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island HQ-27,Coffee Island NSP - New Delhi,-,27-12-2025,-,DD43,Received,RAW0000087,,Peri Peri Cheese Toastie,CT_55,RM FOOD - VEG INGREDIENTS,-,RAW MATERIAL,PCS,65.28,-,65.28,0,-,0,0,-,27-12-2025,3,35.25,195.85194444444448,231.1,-,43,27-12-2025,3,35.25,195.85,231.1,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island HQ-27,Coffee Island NSP - New Delhi,-,27-12-2025,-,DD43,Received,RAW0000092,,Sriracha Chicken & Avocado Wrap,CT_55,RM FOOD - VEG INGREDIENTS,-,RAW MATERIAL,PCS,117.84,-,117.84,0,-,0,0,-,27-12-2025,2,42.42,235.68382284382284,278.1,-,43,27-12-2025,2,42.42,235.68,278.1,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island Beyond GK II,Coffee Island NSP - New Delhi,-,28-12-2025,-,DD13,Received,RET0000007,,Instant Classic Coffee Jar - 50Gm,CT_59,INSTANT COFFEE - DRY,-,RETAIL,PCS..,136.56,-,136.56,0,-,0,0,-,28-12-2025,4,98.32,546.24,644.56,-,13,28-12-2025,4,98.32,546.24,644.56,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island Beyond GK II,Coffee Island NSP - New Delhi,-,28-12-2025,-,DD13,Received,PPD0000029,,Standup Global Blend Ethiopia - Empty Pouch 75 Gms,CT_42,POUCHES/SACHETS,-,PACKAGING FOR PRODUCT DEVELOPMENT,PCS,25.4,-,25.4,0,-,0,0,-,28-12-2025,5,22.86,127.00000000000001,149.86,-,13,28-12-2025,5,22.86,127,149.86,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island Beyond GK II,Coffee Island NSP - New Delhi,-,28-12-2025,-,DD13,Received,PPD0000030,,Standup Global Blend Kenya - Empty Pouch 75 Gms,CT_42,POUCHES/SACHETS,-,PACKAGING FOR PRODUCT DEVELOPMENT,PCS,25.4,-,25.4,0,-,0,0,-,28-12-2025,5,22.86,127.00000000000001,149.86,-,13,28-12-2025,5,22.86,127,149.86,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island Beyond GK II,Coffee Island NSP - New Delhi,-,28-12-2025,-,DD13,Received,PPD0000028,,Standup Single Estate Ethiopia - Empty Pouch 75 Gms,CT_42,POUCHES/SACHETS,-,PACKAGING FOR PRODUCT DEVELOPMENT,PCS,25.4,-,25.4,0,-,0,0,-,28-12-2025,5,22.86,127,149.86,-,13,28-12-2025,5,22.86,127,149.86,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island Beyond GK II,Coffee Island NSP - New Delhi,-,28-12-2025,-,DD13,Received,PPD0000026,,Standup Single Estate Kenya - Empty Pouch 75 Gms,CT_42,POUCHES/SACHETS,-,PACKAGING FOR PRODUCT DEVELOPMENT,PCS,25.4,-,25.4,0,-,0,0,-,28-12-2025,5,22.86,127,149.86,-,13,28-12-2025,5,22.86,127,149.86,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island Beyond GK II,Coffee Island NSP - New Delhi,-,28-12-2025,-,DD13,Received,PPD0000027,,Standup Volcano Blend - Empty Pouch 75 Gms,CT_42,POUCHES/SACHETS,-,PACKAGING FOR PRODUCT DEVELOPMENT,PCS,25.4,-,25.4,0,-,0,0,-,28-12-2025,5,22.86,127,149.86,-,13,28-12-2025,5,22.86,127,149.86,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island NSP - New Delhi,-,30-12-2025,31-12-2025,IN16,Supplied,PKG0000018,39239020,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.4,-,2.4,600,259.2,1440,1699.2,-,30-12-2025,600,259.2,1440,1699.2,-,271,-,0,-,0.00,0,-,No,-,-,0,0.00,0,0,0,0,Supplied,
Warehouse NCR,Coffee Island NSP - New Delhi,-,30-12-2025,31-12-2025,IN16,Supplied,PKG0000012,48236900,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.88,-,2.88,800,414.72,2304,2718.72,-,30-12-2025,800,414.72,2304,2718.72,-,271,-,0,-,0.00,0,-,No,-,-,0,0.00,0,0,0,0,Supplied,
Warehouse NCR,Coffee Island NSP - New Delhi,-,30-12-2025,31-12-2025,IN16,Supplied,PKG0000020,39269099,Disposable - Straw - 08Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.63,-,0.63,600,68.29,379.41,447.7,-,30-12-2025,600,68.29,379.4070692677268,447.7,-,271,-,0,-,0.00,0,-,No,-,-,0,0.00,0,0,0,0,Supplied,
,,,,,,,,,,,,,,,,,,Grand Total,7315.93,88616.83,95932.76,,,,8152.57,91693.2,99845.77,,,,,7410.36,87569.79,94980.15,,,,,,0,,0,,0,
