Deployment Name,Coffee Island HQ-27
Start Date,01-12-2025
End Date,30-12-2025
Report Generation Date&Time,31/12/2025, 01:06:31 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,
Warehouse NCR,Coffee Island HQ-27,-,08-12-2025,09-12-2025,IN42,Received,PKG0000001,,Disposable - Cutlery Sleeve,CT_18,DISPOSABLE CUTLERY - CUTLERY POUCH,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,2000,396,2200,2596,-,09-12-2025,2000,396,2199.9999999999995,2596,-,245,09-12-2025,2000,396,2200,2596,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,08-12-2025,09-12-2025,IN42,Received,PKG0000018,,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.23,-,2.23,200,80.1,445,525.1,-,09-12-2025,200,80.1,445.0007499625019,525.1,-,245,09-12-2025,200,80.1,445,525.1,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,08-12-2025,09-12-2025,IN42,Received,PKG0000012,,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.7,-,4.7,200,169.2,940,1109.2,-,09-12-2025,50,42.3,235,277.3,-,245,09-12-2025,50,42.3,235,277.3,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,08-12-2025,09-12-2025,IN42,Received,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.65,-,4.65,400,334.8,1860,2194.8,-,09-12-2025,400,334.8,1860.0000000000002,2194.8,-,245,09-12-2025,400,334.8,1860,2194.8,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,08-12-2025,09-12-2025,IN42,Received,PKG0000026,,Disposable - Square Box,CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.3,-,7.3,100,87.6,730,817.6,-,09-12-2025,400,350.4,2919.9827419927924,3270.38,-,245,09-12-2025,400,350.4,2919.98,3270.38,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,08-12-2025,09-12-2025,IN42,Received,PKG0000020,,Disposable - Straw - 08Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.63,-,0.63,600,68.29,379.41,447.7,-,09-12-2025,600,68.29,379.4070692677268,447.7,-,245,09-12-2025,600,68.29,379.41,447.7,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,08-12-2025,09-12-2025,IN42,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,1500,105.3,585,690.3,-,09-12-2025,1500,105.3,585,690.3,-,245,09-12-2025,1500,105.3,585,690.3,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,08-12-2025,09-12-2025,IN42,Received,UNI0000017,,Polo T-Shirt With Ci Logo - XXL,CT_82,UNIFORM - SHIRT/T SHIRT,-,UNIFORM,PCS,340,-,340,2,34,680,714,-,09-12-2025,0,-,0,0,-,,09-12-2025,0,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,08-12-2025,09-12-2025,IN42,Received,CNC0000034,,Saucer for Spanish Bom Bom Cup,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,60.6,-,60.6,6,65.45,363.6,429.05,-,09-12-2025,0,-,0,0,-,,09-12-2025,0,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,10-12-2025,-,DD28,Received,RAW0000084,,Butter Croissant,CT_55,RM FOOD - VEG INGREDIENTS,-,RAW MATERIAL,PCS,20.2,-,20.2,0,-,0,0,-,10-12-2025,5,18.18,101,119.18,-,29,10-12-2025,5,18.18,101,119.18,-,No,-,-,0,0.00,0,0,0,0,Received,
