Deployment Name,StoreKitchen Name,Item Code ,Item Name,Category Name ,Super Category Name ,Average Price ,Opening Date ,Opening Qty ,Unit ,Amt ,Purchase Qty ,Amt ,Indent Receive Qty ,Amt ,Indent Dispatch Qty ,Amt ,InternalIndent Receive Qty ,Amt ,InternalIndent Dispatch Qty ,Amt ,Stock In Qty ,Amt ,Consumption Qty ,Amt ,Yield Wastage ,Amt ,Stock Out Qty ,Amt ,Total (Stock Out + Consumption Qty) ,Amt ,Wastage Qty ,Amt ,Reuse Qty ,Amt ,Return Qty ,Amt ,Closing Date ,Closing Qty ,Amt ,Latest Physical Qty ,Amt ,PhysicalGain/Loss Qty ,Amt ,Ideal Closing Qty ,Amt,Physical Adjusted Closing Qty ,Amt
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000145,Jar Rinser (Vitamix Or Hamilton),BOH BEVERAGE EQUIPMENT,CAPEX,19824,01-10-2025,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-12-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000153,SS DUSTBIN,BOH DEAD FABRICATION EQUIPMENT,CAPEX,12980,01-10-2025,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-12-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000098,Air Curtain (900Mm),OTHER ELECTRONIC & ELECTRICAL ITEMS,CAPEX,11564,01-10-2025,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-12-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000102,Hario V60-02 Ceramic Dripper White,SMALLWARE,CAPEX,818.92,01-10-2025,0,PCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-12-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000106,Whipped Cream Dispenser 500 Ml,SMALLWARE,CAPEX,4720,01-10-2025,0,PCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-12-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000109,Measuring Spoon - 5 Pcs,SMALLWARE,CAPEX,70.8,01-10-2025,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-12-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000110,Strainer Bar Strainer,SMALLWARE,CAPEX,88.5,01-10-2025,0,PCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-12-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000111,Bar Spoon,SMALLWARE,CAPEX,47.2,01-10-2025,0,PCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-12-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000112,Weighing Machine Up To 3 Kg,SMALLWARE,CAPEX,2455.58,01-10-2025,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-12-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000113,Digital Food Thermometer,SMALLWARE,CAPEX,2088.6,01-10-2025,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-12-2025,0,0,NA,NA,0,0,0,0,0,0,
