Deployment Name,StoreKitchen Name,Item Code ,Item Name,Category Name ,Super Category Name ,Average Price ,Opening Date ,Opening Qty ,Unit ,Amt ,Purchase Qty ,Amt ,Indent Receive Qty ,Amt ,Indent Dispatch Qty ,Amt ,InternalIndent Receive Qty ,Amt ,InternalIndent Dispatch Qty ,Amt ,Stock In Qty ,Amt ,Consumption Qty ,Amt ,Yield Wastage ,Amt ,Stock Out Qty ,Amt ,Total (Stock Out + Consumption Qty) ,Amt ,Wastage Qty ,Amt ,Reuse Qty ,Amt ,Return Qty ,Amt ,Closing Date ,Closing Qty ,Amt ,Latest Physical Qty ,Amt ,PhysicalGain/Loss Qty ,Amt ,Ideal Closing Qty ,Amt,Physical Adjusted Closing Qty ,Amt
Coffee Island AIPL,Coffee Island AIPL Main Store,RAW0000100,Roasted Tomato & Bocconcini Croissant,RM FOOD - VEG INGREDIENTS,RAW MATERIAL,170.07,01-04-2025,0,PCS,0,35,5952.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5952.57,35,5952.57,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000006,Instant Classic Coffee Jar - 100Gm,INSTANT COFFEE - DRY,RETAIL,302.49,01-04-2025,0,PCS,0,24,7259.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7259.83,24,7259.83,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000007,Instant Classic Coffee Jar - 50Gm,INSTANT COFFEE - DRY,RETAIL,161.14,01-04-2025,0,PCS,0,48,7734.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,7734.76,48,7734.76,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000008,Pourover Assorted Box Of 5 Sachets,INSTANT COFFEE - DRY,RETAIL,217.62,01-04-2025,0,PCS,0,20,4352.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4352.31,20,4352.31,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000009,Pack Of 30 Sachets Flavoured Instant Coffee,INSTANT COFFEE - DRY,RETAIL,171.5,01-04-2025,0,PCS,0,20,3430.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3430.02,20,3430.02,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000010,Pack Of 30 Sachets Instant Coffee Classic,INSTANT COFFEE - DRY,RETAIL,189.35,01-04-2025,0,PCS,0,27,5112.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5112.57,27,5112.57,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000011,Cork Diary,LIFESTYLE ACCESSORIES,RETAIL,224.2,01-04-2025,0,PCS,0,10,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2242,10,2242,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000013,Comfy Cup - Celeste - Light Green,MUGS/CUPS,RETAIL,91.57,01-04-2025,0,PCS,0,24,2197.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2197.63,24,2197.63,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000014,Comfy Cup - Coffee,MUGS/CUPS,RETAIL,91.57,01-04-2025,0,PCS,0,10,915.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,915.68,10,915.68,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000015,Comfy Cup - Innocent - Light Pink,MUGS/CUPS,RETAIL,91.57,01-04-2025,0,PCS,0,36,3296.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3296.45,36,3296.45,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000016,Coffee Mug - Classic - Celeste - Light Green,MUGS/CUPS,RETAIL,113.16,01-04-2025,0,PCS,0,10,1131.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1131.62,10,1131.62,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000017,Coffee Mug - Classic - Coffee,MUGS/CUPS,RETAIL,113.16,01-04-2025,0,PCS,0,20,2263.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2263.24,20,2263.24,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
