Deployment Name,StoreKitchen Name,Item Code ,Item Name,Category Name ,Super Category Name ,Average Price ,Opening Date ,Opening Qty ,Unit ,Amt ,Purchase Qty ,Amt ,Indent Receive Qty ,Amt ,Indent Dispatch Qty ,Amt ,InternalIndent Receive Qty ,Amt ,InternalIndent Dispatch Qty ,Amt ,Stock In Qty ,Amt ,Consumption Qty ,Amt ,Yield Wastage ,Amt ,Stock Out Qty ,Amt ,Total (Stock Out + Consumption Qty) ,Amt ,Wastage Qty ,Amt ,Reuse Qty ,Amt ,Return Qty ,Amt ,Closing Date ,Closing Qty ,Amt ,Latest Physical Qty ,Amt ,PhysicalGain/Loss Qty ,Amt ,Ideal Closing Qty ,Amt,Physical Adjusted Closing Qty ,Amt
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000274,Water Jug,SMALLWARE,CAPEX,212.4,01-07-2025,0,PCS..,0,2,424.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,424.8,2,424.8,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000276,Milk Frothing Jug 600 Ml,SMALLWARE,CAPEX,336,01-07-2025,0,PCS..,0,1,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336,1,336,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000245,Ice Cube Machine Scotsman ACL 86 AS (Capacity 36 KG),BOH BEVERAGE EQUIPMENT,CAPEX,159536,01-07-2025,0,PCS..,0,1,159536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,159536,1,159536,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000277,Milk Frothing Jug 950 Ml,SMALLWARE,CAPEX,392,01-07-2025,0,PCS..,0,1,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,392,1,392,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000111,Bar Spoon,SMALLWARE,CAPEX,47.2,01-07-2025,0,PCS,0,1,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.2,1,47.2,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,TKT-145361,Cream Charger,COOKING ACCESSORIES,KITCHEN ACCESSORIES,37.76,01-07-2025,0,PCS,0,100,3776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3776,100,3776,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000278,Silkomart SFT 326,SMALLWARE,CAPEX,1132.8,01-07-2025,0,PCS..,0,2,2265.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2265.6,2,2265.6,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000283,GLASS TMZ 300 ML,SMALLWARE,CAPEX,87.32,01-07-2025,0,PCS..,0,12,1047.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1047.84,12,1047.84,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000133,Boston Shaker,SMALLWARE,CAPEX,336,01-07-2025,0,PCS,0,1,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336,1,336,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000281,Measuring JUG 250 ML,SMALLWARE,CAPEX,29.5,01-07-2025,0,PCS..,0,1,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.5,1,29.5,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000282,SS Reserve TAG,SMALLWARE,CAPEX,100.8,01-07-2025,0,PCS..,0,2,201.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,201.6,2,201.6,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000109,Measuring Spoon - 5 Pcs,SMALLWARE,CAPEX,70.8,01-07-2025,0,PCS..,0,2,141.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,141.6,2,141.6,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000284,Non Skid MAT 12*16,SMALLWARE,CAPEX,324.5,01-07-2025,0,PCS..,0,3,973.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,973.5,3,973.5,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000287,Pasta Strainer Wooden Handle,SMALLWARE,CAPEX,392,01-07-2025,0,PCS..,0,1,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,392,1,392,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000285,Boba Stainer,SMALLWARE,CAPEX,78.4,01-07-2025,0,PCS,0,1,78.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78.4,1,78.4,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000288,Stainless Steel Ice Scoop 4.5,SMALLWARE,CAPEX,448,01-07-2025,0,PCS..,0,1,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,448,1,448,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000291,Ice Cream GN Pans (LID),SMALLWARE,CAPEX,302.4,01-07-2025,0,PCS..,0,2,604.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,604.8,2,604.8,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000290,Ice Cream GN Pans,SMALLWARE,CAPEX,1114.4,01-07-2025,0,PCS..,0,2,2228.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2228.8,2,2228.8,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000292,GN Pans (1/3),SMALLWARE,CAPEX,408.8,01-07-2025,0,PCS..,0,2,817.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,817.6,2,817.6,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000295,Knife Magnetic Holder,SMALLWARE,CAPEX,295,01-07-2025,0,PCS..,0,1,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,295,1,295,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000293,GN Pans (1/6) 100 MM,SMALLWARE,CAPEX,235.2,01-07-2025,0,PCS..,0,2,470.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,470.4,2,470.4,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000294,GN Pans (1/9) X 100 MM,SMALLWARE,CAPEX,207.2,01-07-2025,0,PCS..,0,2,414.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,414.4,2,414.4,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000460,Milk Creamer,SMALLWARE,CAPEX,161.28,01-07-2025,0,PCS..,0,6,967.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,967.68,6,967.68,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
