Warehouse,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source 
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,25-11-2025,SE-87,INVGST204202526,-,-,PO-83,25-11-2025,-,-,-,-,-,-,-,0,0,Fright Charges,3500,0,-,-,-,-,-,-,630,0,4130,
Warehouse NCR,Central Store,Ashutosh Kumar,DESTINATION GOURMET,24-11-2025,SE-86,5779,-,-,PO-85,24-11-2025,RAW0000169,Bird Eye Chilli Syrup,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,4,BTL(500ML/560GM),0,360,-,1440,0,5,72,-,-,-,-,72,0,1512,
Warehouse NCR,Central Store,Ashutosh Kumar,DESTINATION GOURMET,24-11-2025,SE-86,5779,-,-,PO-85,24-11-2025,RAW0000168,Orange syrup,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,16,BTL(500ML/560GM),0,360,-,5760,0,5,288,-,-,-,-,288,0,6048,
Warehouse NCR,Central Store,Ashutosh Kumar,RAMDAS GREENPLAS PRIVATE LIMITED,19-11-2025,SE-85,RGPL/25-26/253,-,-,PO-89,19-11-2025,PKG0000020,Disposable - Straw - 08Mm,DISPOSABLE PACKAGING - BEVERAGES - STRAW,DISPOSABLE TAKE AWAY PACKAGING,-,8000,PCS,0,0.65,-,5200,0,18,936,-,-,-,-,936,0,6136,
Warehouse NCR,Central Store,Ashutosh Kumar,RAMDAS GREENPLAS PRIVATE LIMITED,19-11-2025,SE-85,RGPL/25-26/253,-,-,PO-89,19-11-2025,-,-,-,-,-,-,-,0,0,Fright Charges,2000,0,-,-,-,-,-,-,360,0,2360,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,18-11-2025,SE-84,INVGST198202526,-,-,PO-76,17-11-2025,PKG0000018,Disposable - Lid (Hot) 08Oz,DISPOSABLE PACKAGING - BEVERAGES - LIDS,DISPOSABLE TAKE AWAY PACKAGING,-,10000,PCS,0,2.15,-,21500,0,18,3870,-,-,-,-,3870,0,25370,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,18-11-2025,SE-84,INVGST198202526,-,-,PO-76,17-11-2025,-,-,-,-,-,-,-,0,0,Fright Charges,1799.99,0,-,-,-,-,-,-,324,0,2123.99,
Warehouse NCR,Central Store,Ashutosh Kumar,Eezfoil Private Limited,18-11-2025,SE-83,EFL/2526/389,-,-,PO-86,18-11-2025,PKG0000011,Disposable - Sealing Foil,DISPOSABLE PACKAGING - BEVERAGES - CUP SEALING FOIL,DISPOSABLE TAKE AWAY PACKAGING,-,14500,PCS..,0,1.1,-,15950,0,18,2871,-,-,-,-,2871,0,18821,
Warehouse NCR,Central Store,Ashutosh Kumar,Eezfoil Private Limited,18-11-2025,SE-83,EFL/2526/389,-,-,PO-86,18-11-2025,-,-,-,-,-,-,-,0,0,Fright Charges,250,0,-,-,-,-,-,-,45,0,295,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,10-11-2025,SE-82,KA/25-26/009154,-,-,PO-75,10-11-2025,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,118.5,KG,0,798.33,-,94602.11,0,5,4730.11,-,-,-,-,4730.11,0,99332.22,
Warehouse NCR,Central Store,Ashutosh Kumar,PASSION FOODS MARKETING SERVICES,10-11-2025,SE-81,2795/25-26,-,-,PO-81,10-11-2025,RAW0000147,Apple Zest syrup 750 Ml,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,36,BTL(750ML/983GM),0,407.55,-,14671.8,0,5,733.59,-,-,-,-,733.59,0,15405.39,
Warehouse NCR,Central Store,Ashutosh Kumar,PASSION FOODS MARKETING SERVICES,10-11-2025,SE-81,2795/25-26,-,-,PO-81,10-11-2025,RAW0000148,Passion Fruit Syrup 750 Ml,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,36,BTL(750ML/983GM),0,407.55,-,14671.8,0,5,733.59,-,-,-,-,733.59,0,15405.39,
Warehouse NCR,Central Store,Ashutosh Kumar,PASSION FOODS MARKETING SERVICES,10-11-2025,SE-81,2795/25-26,-,-,PO-81,10-11-2025,RAW0000146,Peach Garden Syrup 750ML,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,36,BTL(750ML/983GM),0,407.55,-,14671.8,0,5,733.59,-,-,-,-,733.59,0,15405.39,
Warehouse NCR,Central Store,Ashutosh Kumar,Beeta Machines Pvt Ltd,05-11-2025,SE-80,BMPL2526/1786,-,-,PO-82,05-11-2025,PKG0000032,Disposable - Tissue Paper,DISPOSABLE PACKAGING - TISSUE PAPER,DISPOSABLE TAKE AWAY PACKAGING,-,780,PKT(100PCS),0,39,-,30420,0,18,5475.6,-,-,-,-,5475.6,0,35895.6,
Warehouse NCR,Central Store,Ashutosh Kumar,Nutaste Food And Drink Labs Pvt Ltd,01-11-2025,SE-79,NUFDL/2526/7285,-,-,PO-77,01-11-2025,RAW0000025,Chocolate Powder - Hot,RM BEVERAGES - POWDERS,RAW MATERIAL,-,200,PKT(500GM),0,392.5,-,78500,0,5,3925,-,-,-,-,3925,0,82425,
Warehouse NCR,Central Store,Ashutosh Kumar,DJS PRINTERS PRIVATE LIMITED,01-11-2025,SE-78,DDK/25-26/5569,-,-,PO-46,01-11-2025,PKG0000033,Tray Mat CI DJS,DISPOSABLE PACKAGING - TRAY MATS,DISPOSABLE TAKE AWAY PACKAGING,-,25000,SHT,0,1.35,-,33750,0,5,1687.5,-,-,-,-,1687.5,0,35437.5,
Warehouse NCR,Central Store,Ashutosh Kumar,DJS PRINTERS PRIVATE LIMITED,01-11-2025,SE-78,DDK/25-26/5569,-,-,PO-46,01-11-2025,-,-,-,-,-,-,-,0,0,Fright Charges,8000,0,-,-,-,-,-,-,400,0,8400,
Warehouse NCR,Central Store,Ashutosh Kumar,Ocean Food And Beverages,31-10-2025,SE-77,OFB-4325/25-26,-,-,PO-78,31-10-2025,RAW0000047,Syrup- Roasted Hazelnut,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,30,BTL(1L/1300GM),0,640,-,19200,0,5,960,-,-,-,-,960,0,20160,
Warehouse NCR,Central Store,Ashutosh Kumar,Ocean Food And Beverages,31-10-2025,SE-77,OFB-4325/25-26,-,-,PO-78,31-10-2025,RAW0000050,Syrup - Brown Butter,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,30,BTL(700ML/910GM),0,560,-,16800,0,5,840,-,-,-,-,840,0,17640,
Warehouse NCR,Central Store,Ashutosh Kumar,Ocean Food And Beverages,31-10-2025,SE-77,OFB-4325/25-26,-,-,PO-78,31-10-2025,-,-,-,-,-,-,-,0,0,Fright Charges,1411.99,0,-,-,-,-,-,-,0,0,1411.99,
Warehouse NCR,Central Store,Ashutosh Kumar,LOCAL Vendor,31-10-2025,SE-76,1234,-,-,PO-80,31-10-2025,CNC0000033,CI Whisky Glass for 100 ML Cork Bottle,GLASSWARE,CROCKERY & CUTLERY,-,12,PCS,0,87.61,-,1051.32,0,5,52.57,-,-,-,-,52.57,0,1103.89,
Warehouse NCR,Central Store,Ashutosh Kumar,LOCAL Vendor,31-10-2025,SE-75,123,-,-,PO-79,31-10-2025,CAP0000451,Coffee Whisker,BOH BEVERAGE EQUIPMENT,CAPEX,-,2,PCS,0,225.43,-,450.86,0,5,22.54,-,-,-,-,22.54,0,473.4,
Warehouse NCR,Central Store,Ashutosh Kumar,LOCAL Vendor,31-10-2025,SE-75,123,-,-,PO-79,31-10-2025,CNC0000033,CI Whisky Glass for 100 ML Cork Bottle,GLASSWARE,CROCKERY & CUTLERY,-,60,PCS,0,87.61,-,5256.6,0,5,262.83,-,-,-,-,262.83,0,5519.43,
Warehouse NCR,Central Store,Ashutosh Kumar,LOCAL Vendor,31-10-2025,SE-75,123,-,-,PO-79,31-10-2025,CNC0000034,Saucer for Spanish Bom Bom Cup,GLASSWARE,CROCKERY & CUTLERY,-,30,PCS,0,60.6,-,1818,0,18,327.24,-,-,-,-,327.24,0,2145.24,
Warehouse NCR,Central Store,Ashutosh Kumar,Origami Dripbag Private Limited,31-10-2025,SE-74,IN/25-26/1042,-,-,PO-66,31-10-2025,RAW0000145,J1 Matcha Powder,RM BEVERAGES - POWDERS,RAW MATERIAL,-,400,PCS(20GM),0,126,-,50400,0,5,2520,-,-,-,-,2520,0,52920,
Warehouse NCR,Central Store,Ashutosh Kumar,Origami Dripbag Private Limited,31-10-2025,SE-74,IN/25-26/1042,-,-,PO-66,31-10-2025,-,-,-,-,-,-,-,0,0,Fright Charges,1840,0,-,-,-,-,-,-,331.2,0,2171.2,
Warehouse NCR,Central Store,Ashutosh Kumar,DIAMOND CRYSTAL PVT.LTD,24-10-2025,SE-73,DCPL/2025-26024,-,-,PO-74,24-10-2025,CNC0000035,CI Boba Beverage Glassware 360ML,GLASSWARE,CROCKERY & CUTLERY,-,144,PCS,0,60,-,8640,0,18,1555.2,-,-,-,-,1555.2,0,10195.2,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,19-10-2025,SE-72,INVGST174202526,-,-,PO-63,19-10-2025,PKG0000015,Plastic Transparent Bowl,DISPOSABLE PACKAGING - BEVERAGES - CUPS,DISPOSABLE TAKE AWAY PACKAGING,-,4800,PCS,0,7.41,-,35568,0,18,6402.24,-,-,-,-,6402.24,0,41970.24,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,19-10-2025,SE-72,INVGST174202526,-,-,PO-63,19-10-2025,-,-,-,-,-,-,-,0,0,Fright Charges,1700,0,-,-,-,-,-,-,306,0,2006,
Warehouse NCR,Central Store,Ashutosh Kumar,Beeta Machines Pvt Ltd,16-10-2025,SE-71,BMPL2526/1644,-,-,PO-73,16-10-2025,PKG0000032,Disposable - Tissue Paper,DISPOSABLE PACKAGING - TISSUE PAPER,DISPOSABLE TAKE AWAY PACKAGING,-,420,PKT(100PCS),0,39,-,16380,0,18,2948.4,-,-,-,-,2948.4,0,19328.4,
Warehouse NCR,Central Store,Ashutosh Kumar,Beeta Machines Pvt Ltd,16-10-2025,SE-71,BMPL2526/1644,-,-,PO-73,16-10-2025,-,-,-,-,-,-,-,0,0,Fright Charges,1500,0,-,-,-,-,-,-,270,0,1770,
Warehouse NCR,Central Store,Ashutosh Kumar,Ocean Food And Beverages,15-10-2025,SE-70,OFB-4008/25-26,-,-,PO-72,14-10-2025,RAW0000050,Syrup - Brown Butter,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,12,BTL(700ML/910GM),0,560,-,6720,0,5,336,-,-,-,-,336,0,7056,
Warehouse NCR,Central Store,Ashutosh Kumar,Ocean Food And Beverages,15-10-2025,SE-70,OFB-4008/25-26,-,-,PO-72,14-10-2025,RAW0000047,Syrup- Roasted Hazelnut,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,12,BTL(1L/1300GM),0,640,-,7680,0,5,384,-,-,-,-,384,0,8064,
Warehouse NCR,Central Store,Ashutosh Kumar,Ocean Food And Beverages,15-10-2025,SE-70,OFB-4008/25-26,-,-,PO-72,14-10-2025,-,-,-,-,-,-,-,0,0,Fright Charges,1679,0,-,-,-,-,-,-,0,0,1679,
Warehouse NCR,Central Store,Ashutosh Kumar,VRB CONSUMER PRODUCTS PRIVATE LIMITED,14-10-2025,SE-69,DL-2526-10623,-,-,PO-70,14-10-2025,RAW0000045,Sauce - Chocolate,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,72,BTL(1L/1300GM),0,170,-,12240,0,5,612,-,-,-,-,612,0,12852,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,12-10-2025,SE-68,INVGST170202526,-,-,PO-71,11-10-2025,PKG0000016,Disposable - Lid (Cold) 12Oz And 16Oz - Dome,DISPOSABLE PACKAGING - BEVERAGES - LIDS,DISPOSABLE TAKE AWAY PACKAGING,-,16000,PCS,0,3.09,-,49440,0,18,8899.2,-,-,-,-,8899.2,0,58339.2,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,12-10-2025,SE-68,INVGST170202526,-,-,PO-71,11-10-2025,-,-,-,-,-,-,-,0,0,Fright Charges,3000,0,-,-,-,-,-,-,540,0,3540,
Warehouse NCR,Central Store,Ashutosh Kumar,Oozie Nutri Food,11-10-2025,SE-67,24,-,-,PO-57,11-10-2025,RAW0000024,Protein Powder - Cookie & Cream,RM BEVERAGES - POWDERS,RAW MATERIAL,-,30,KG,0,1460,-,43800,0,18,7884,-,-,-,-,7884,0,51684,
