Warehouse,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source 
Warehouse NCR,Central Store,Ashutosh Kumar,RAMDAS GREENPLAS PRIVATE LIMITED,25-08-2025,SE-49,RGPL/25-26/145,-,-,PO-50,19-08-2025,PKG0000021,Disposable - Straw - 12Mm,DISPOSABLE PACKAGING - BEVERAGES - STRAW,DISPOSABLE TAKE AWAY PACKAGING,-,29400,PCS,0,0.89,-,26166,0,18,4709.88,-,-,-,-,4709.88,0,30875.88,
Warehouse NCR,Central Store,Ashutosh Kumar,RAMDAS GREENPLAS PRIVATE LIMITED,25-08-2025,SE-49,RGPL/25-26/145,-,-,PO-50,19-08-2025,-,-,-,-,-,-,-,0,0,Fright Charges,3300,0,-,-,-,-,-,-,594,0,3894,
Warehouse NCR,Central Store,Ashutosh Kumar,Intella Sourcing Private Limited,15-08-2025,SE-48,2505-SUP-2501,-,-,PO-11,07-08-2025,CNC0000014,Dinner Knife,CUTLERY,CROCKERY & CUTLERY,-,288,PCS..,0,67.92,-,19560.96,0,18,3520.97,-,-,-,-,3520.97,0,23081.93,
Warehouse NCR,Central Store,Ashutosh Kumar,Intella Sourcing Private Limited,15-08-2025,SE-48,2505-SUP-2501,-,-,PO-11,07-08-2025,CNC0000015,Dinner Spoon,CUTLERY,CROCKERY & CUTLERY,-,360,PCS..,0,38.75,-,13950,0,18,2511,-,-,-,-,2511,0,16461,
Warehouse NCR,Central Store,Ashutosh Kumar,Intella Sourcing Private Limited,15-08-2025,SE-48,2505-SUP-2501,-,-,PO-11,07-08-2025,CNC0000016,Dinner Fork,CUTLERY,CROCKERY & CUTLERY,-,360,PCS..,0,38.75,-,13950,0,18,2511,-,-,-,-,2511,0,16461,
Warehouse NCR,Central Store,Ashutosh Kumar,Intella Sourcing Private Limited,15-08-2025,SE-48,2505-SUP-2501,-,-,PO-11,07-08-2025,CNC0000017,Tea Spoon,CUTLERY,CROCKERY & CUTLERY,-,360,PCS..,0,25,-,9000,0,18,1620,-,-,-,-,1620,0,10620,
Warehouse NCR,Central Store,Ashutosh Kumar,Intella Sourcing Private Limited,15-08-2025,SE-48,2505-SUP-2501,-,-,PO-11,07-08-2025,CNC0000007,Dinner Plate,CROCKERY,CROCKERY & CUTLERY,-,298,PCS..,0,278,-,82844,0,12,9941.28,-,-,-,-,9941.28,0,92785.28,
Warehouse NCR,Central Store,Ashutosh Kumar,Intella Sourcing Private Limited,15-08-2025,SE-48,2505-SUP-2501,-,-,PO-11,07-08-2025,CNC0000004,Salad Plate,CROCKERY,CROCKERY & CUTLERY,-,303,PCS..,0,183,-,55449,0,12,6653.88,-,-,-,-,6653.88,0,62102.88,
Warehouse NCR,Central Store,Ashutosh Kumar,Intella Sourcing Private Limited,15-08-2025,SE-48,2505-SUP-2501,-,-,PO-11,07-08-2025,CNC0000005,Pasta Bowl,CROCKERY,CROCKERY & CUTLERY,-,315,PCS..,0,325,-,102375,0,12,12285,-,-,-,-,12285,0,114660,
Warehouse NCR,Central Store,Ashutosh Kumar,Intella Sourcing Private Limited,15-08-2025,SE-48,2505-SUP-2501,-,-,PO-11,07-08-2025,CNC0000006,Cup And Saucer Set - 04Oz,CROCKERY,CROCKERY & CUTLERY,-,342,PCS..,0,255,-,87210,0,12,10465.2,-,-,-,-,10465.2,0,97675.2,
Warehouse NCR,Central Store,Ashutosh Kumar,Intella Sourcing Private Limited,15-08-2025,SE-48,2505-SUP-2501,-,-,PO-11,07-08-2025,CNC0000008,Cup And Saucer Set - 08Oz,CROCKERY,CROCKERY & CUTLERY,-,304,PCS..,0,298,-,90592,0,12,10871.04,-,-,-,-,10871.04,0,101463.04,
Warehouse NCR,Central Store,Ashutosh Kumar,Intella Sourcing Private Limited,15-08-2025,SE-48,2505-SUP-2501,-,-,PO-11,07-08-2025,CNC0000009,Cup And Saucer Set - 12Oz,CROCKERY,CROCKERY & CUTLERY,-,243,PCS..,0,312,-,75816,0,12,9097.92,-,-,-,-,9097.92,0,84913.92,
Warehouse NCR,Central Store,Ashutosh Kumar,Intella Sourcing Private Limited,15-08-2025,SE-48,2505-SUP-2501,-,-,PO-11,07-08-2025,CNC0000010,Dip Bowl,CROCKERY,CROCKERY & CUTLERY,-,105,PCS..,0,117,-,12285,0,12,1474.2,-,-,-,-,1474.2,0,13759.2,
Warehouse NCR,Central Store,Ashutosh Kumar,Intella Sourcing Private Limited,15-08-2025,SE-48,2505-SUP-2501,-,-,PO-11,07-08-2025,-,-,-,-,-,-,-,0,0,Fright Charges,10000,0,-,-,-,-,-,-,0,0,10000,
Warehouse NCR,Central Store,Ashutosh Kumar,Eezfoil Private Limited,12-08-2025,SE-47,EFL/2526/236,-,-,PO-49,12-08-2025,PKG0000011,Disposable - Sealing Foil,DISPOSABLE PACKAGING - BEVERAGES - CUP SEALING FOIL,DISPOSABLE TAKE AWAY PACKAGING,-,10000,PCS..,0,1.1,-,11000,0,18,1980,-,-,-,-,1980,0,12980,
Warehouse NCR,Central Store,Ashutosh Kumar,Eezfoil Private Limited,12-08-2025,SE-47,EFL/2526/236,-,-,PO-49,12-08-2025,-,-,-,-,-,-,-,0,0,Fright Charges,500,0,-,-,-,-,-,-,90,0,590,
Warehouse NCR,Central Store,Ashutosh Kumar,DIAMOND CRYSTAL PVT.LTD,07-08-2025,SE-46,DCPL/2025-26015,-,-,PO-44,07-08-2025,CNC0000032,CI Branded Hand Cut 16OZ Glass,GLASSWARE,CROCKERY & CUTLERY,-,144,PCS,0,248,-,35712,0,18,6428.16,-,-,-,-,6428.16,0,42140.16,
Warehouse NCR,Central Store,Ashutosh Kumar,DIAMOND CRYSTAL PVT.LTD,07-08-2025,SE-46,DCPL/2025-26015,-,-,PO-44,07-08-2025,CNC0000031,Ci Branded Hand Cut 12OZ Glass,GLASSWARE,CROCKERY & CUTLERY,-,180,PCS,0,234,-,42120,0,18,7581.6,-,-,-,-,7581.6,0,49701.6,
Warehouse NCR,Central Store,Ashutosh Kumar,VRB CONSUMER PRODUCTS PRIVATE LIMITED,07-08-2025,SE-45,U2-2526-03676,-,-,PO-39,07-08-2025,-,GM Spicy Mango Syrup 750ML,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,8,BTL(750ML,0,251,-,2008,0,12,240.96,-,-,-,-,240.96,0,2248.96,
Warehouse NCR,Central Store,Ashutosh Kumar,VRB CONSUMER PRODUCTS PRIVATE LIMITED,04-08-2025,SE-44,U2-2526-03455,-,-,PO-39,24-07-2025,RAW0000045,Sauce - Chocolate,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,-,24,BTL(1L/1300GM),0,170,-,4080,0,18,734.4,-,-,-,-,734.4,0,4814.4,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,04-08-2025,SE-43,INVGST116202526,-,-,PO-42,04-08-2025,PKG0000018,Disposable - Lid (Hot) 08Oz,DISPOSABLE PACKAGING - BEVERAGES - LIDS,DISPOSABLE TAKE AWAY PACKAGING,-,10000,PCS,0,2.3,-,23000,0,18,4140,-,-,-,-,4140,0,27140,
Warehouse NCR,Central Store,Ashutosh Kumar,Moon And Light Hyperlocal,04-08-2025,SE-43,INVGST116202526,-,-,PO-42,04-08-2025,-,-,-,-,-,-,-,0,0,Fright Charges,1600,0,-,-,-,-,-,-,288,0,1888,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,30-07-2025,SE-42,KA/25-26/005073,-,-,PO-48,30-07-2025,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,300,KG,0,768.33,-,230499,0,5,11524.95,-,-,-,-,11524.95,0,242023.95,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,30-07-2025,SE-42,KA/25-26/005073,-,-,PO-48,30-07-2025,RAW0000001,Beans - Master Blend,RM BEVERAGES - BEANS,RAW MATERIAL,-,70,KG,0,798.33,-,55883.1,0,5,2794.16,-,-,-,-,2794.16,0,58677.26,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,30-07-2025,SE-42,KA/25-26/005073,-,-,PO-48,30-07-2025,RAW0000006,Beans - Kenya Single Estate,RM BEVERAGES - BEANS,RAW MATERIAL,-,20,KG,0,3463.33,-,69266.6,0,5,3463.33,-,-,-,-,3463.33,0,72729.93,
Warehouse NCR,Central Store,Ashutosh Kumar,Cothas Coffee Co,30-07-2025,SE-42,KA/25-26/005073,-,-,PO-48,30-07-2025,RAW0000005,Beans - Ethiopian Single Estate,RM BEVERAGES - BEANS,RAW MATERIAL,-,10,KG,0,3013.33,-,30133.3,0,5,1506.67,-,-,-,-,1506.67,0,31639.97,
Warehouse NCR,Central Store,Ashutosh Kumar,Nutaste Food And Drink Labs Pvt Ltd,30-07-2025,SE-41,NUFDL/2526/4116,-,-,PO-41,30-07-2025,RAW0000025,Chocolate Powder - Hot,RM BEVERAGES - POWDERS,RAW MATERIAL,-,140,PKT(500GM),0,392.5,-,54950,0,18,9891,-,-,-,-,9891,0,64841,
Warehouse NCR,Central Store,Ashutosh Kumar,Printpack Innovations Private Limited,28-07-2025,SE-40,25-26/74,-,-,PO-34,26-07-2025,KIA0000010,Disposable - Dip Container,DISPENSING ACCESSORIES,KITCHEN ACCESSORIES,-,10000,PCS,0,1.96,-,19600,0,12,2352,-,-,-,-,2352,0,21952,
Warehouse NCR,Central Store,Ashutosh Kumar,Printpack Innovations Private Limited,28-07-2025,SE-40,25-26/74,-,-,PO-34,26-07-2025,PKG0000005,Disposable - Paper Sos Bag,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,DISPOSABLE TAKE AWAY PACKAGING,-,17600,PCS,0,3.62,-,63712,0,18,11468.16,-,-,-,-,11468.16,0,75180.16,
Warehouse NCR,Central Store,Ashutosh Kumar,Printpack Innovations Private Limited,28-07-2025,SE-40,25-26/74,-,-,PO-34,26-07-2025,PKG0000001,Disposable - Cutlery Sleeve,DISPOSABLE CUTLERY - CUTLERY POUCH,DISPOSABLE TAKE AWAY PACKAGING,-,27600,PCS,0,1.1,-,30360,0,18,5464.8,-,-,-,-,5464.8,0,35824.8,
