Deployment Name,Warehouse Mumbai
Start Date,01-02-2026
End Date,15-02-2026
Report Generation Date&Time,17/02/2026, 04:59:05 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,02-02-2026,05-02-2026,IN33,Suspicious,RAW0000145,,J1 Matcha Powder,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,PCS(20GM),126,-,126,20,126,2520,2646,-,11-02-2026,20,126,2520,2646,-,45,12-02-2026,20,126,2520,2646,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,02-02-2026,05-02-2026,IN33,Suspicious,RAW0000045,18061000,Sauce - Chocolate,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(1L/1300GM),170,-,170,1,8.5,170,178.5,-,11-02-2026,1,8.5,170,178.5,-,45,12-02-2026,1,8.5,170,178.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,02-02-2026,05-02-2026,IN33,Suspicious,RAW0000047,,Syrup- Roasted Hazelnut,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(1L/1300GM),640,-,640,2,64,1280,1344,-,11-02-2026,2,64,1280,1344,-,45,12-02-2026,2,64,1280,1344,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,02-02-2026,05-02-2026,IN33,Suspicious,PKG0000007,,Yellow Carry Bag Medium - Ci,CT_21,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,8.61,-,8.61,200,309.96,1722,2031.96,-,11-02-2026,200,309.96,1722,2031.96,-,45,12-02-2026,200,309.96,1722,2031.96,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,02-02-2026,05-02-2026,IN33,Suspicious,PKG0000006,,Yellow Carry Bag Small - Ci,CT_21,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,6.9,-,6.9,100,124.2,690,814.2,-,11-02-2026,100,124.2,690,814.2,-,45,12-02-2026,0,-,0,0,not recieved,No,100,690,0,0,0,0,Suspicious,
Warehouse Mumbai,Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Main Store,05-02-2026,06-02-2026,IN33,Received,RAW0000004,,Beans - Ethiopian Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,1063.33,-,1063.33,1,53.17,1063.33,1116.5,-,06-02-2026,1,53.17,1063.33,1116.5,-,41,07-02-2026,1,53.17,1063.33,1116.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Main Store,05-02-2026,06-02-2026,IN33,Received,RAW0000006,,Beans - Kenya Single Estate,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,3463.33,-,3463.33,1,173.17,3463.33,3636.5,-,06-02-2026,1,173.17,3463.33,3636.5,-,41,07-02-2026,1,173.17,3463.33,3636.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Main Store,05-02-2026,06-02-2026,IN33,Received,PKG0000011,,Disposable - Sealing Foil,CT_24,DISPOSABLE PACKAGING - BEVERAGES - CUP SEALING FOIL,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,1.1,-,1.1,1000,198,1100,1298,1 Bunndel - 500 pcs,06-02-2026,1000,198,1099.9959185339374,1298,-,41,07-02-2026,1000,198,1100,1298,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Main Store,05-02-2026,06-02-2026,IN33,Received,PKG0000020,39269099,Disposable - Straw - 08Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,1200,140.4,780,920.4,-,06-02-2026,1200,140.4,780,920.4,-,41,07-02-2026,1200,140.4,780,920.4,-,No,0,0.00,0,0,0,0,Received,
Warehouse Mumbai,Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Main Store,05-02-2026,06-02-2026,IN33,Received,PKG0000024,,Food Wrapping Paper - Ci,CT_28,DISPOSABLE PACKAGING - BUTTER WRAPPING SHEETS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,1000,198,1100,1298,1 PKt-100 Pcs,06-02-2026,1000,198,1100,1298,-,41,07-02-2026,1000,198,1100,1298,-,No,0,0.00,0,0,0,0,Received,
