Deployment Name,Warehouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-06-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,30-06-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,23-12-2025, 05:33:11 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
Warehouse NCR,Coffee Island Beyond GK II,-,01-06-2025,03-06-2025,IN2,Received,RET0000046,,Coffee Almond Shots - 40 Gms,CT_68,RTE - SNACKS,-,RETAIL,NOS,50.37,-,50.37,30,272,1511.1,1783.1,-,01-06-2025,30,272,1511.1,1783.1,-,27,10-06-2025,30,272,1511.1,1783.1,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-06-2025,03-06-2025,IN2,Received,RET0000021,,Cold Brew - Cinnamon,CT_63,RTD COLD BREW - BOTTLE/CAN,-,RETAIL,PCS,88.98,-,88.98,24,384.39,2135.52,2519.91,-,01-06-2025,24,384.39,2135.52,2519.91,-,27,10-06-2025,24,384.39,2135.52,2519.91,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-06-2025,03-06-2025,IN2,Received,RET0000020,,Cold Brew - French Vanilla,CT_63,RTD COLD BREW - BOTTLE/CAN,-,RETAIL,PCS,88.98,-,88.98,24,384.39,2135.52,2519.91,-,01-06-2025,24,384.39,2135.52,2519.91,-,27,10-06-2025,24,384.39,2135.52,2519.91,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-06-2025,03-06-2025,IN2,Received,RET0000024,,Cold Coffee Can - Irish,CT_64,RTD COLD COFFEE - BOTTLE/CAN,-,RETAIL,CAN,55,-,55,24,158.4,1320,1478.4,-,01-06-2025,24,158.4,1320,1478.4,-,27,10-06-2025,24,158.4,1320,1478.4,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-06-2025,03-06-2025,IN2,Received,RET0000023,,Cold Coffee Can - Vietnamese,CT_64,RTD COLD COFFEE - BOTTLE/CAN,-,RETAIL,CAN,55,-,55,24,158.4,1320,1478.4,-,01-06-2025,24,158.4,1320,1478.4,-,27,10-06-2025,24,158.4,1320,1478.4,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-06-2025,03-06-2025,IN2,Received,CNC0000020,,Crystal Tall Flow Geo Glass - Set Of 6,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,NOS,142.77,-,142.77,36,925.14,5139.66,6064.8,-,01-06-2025,36,925.14,5139.66,6064.8,-,27,10-06-2025,36,925.14,5139.66,6064.8,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-06-2025,03-06-2025,IN2,Received,CNC0000006,,Cup And Saucer Set - 04Oz,CT_15,CROCKERY,-,CROCKERY & CUTLERY,NOS,255,-,255,48,1468.8,12240,13708.8,-,01-06-2025,48,1468.8,12240,13708.8,-,27,10-06-2025,48,1468.8,12240,13708.8,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-06-2025,03-06-2025,IN2,Received,CNC0000008,,Cup And Saucer Set - 08Oz,CT_15,CROCKERY,-,CROCKERY & CUTLERY,NOS,298,-,298,48,1716.48,14304,16020.48,-,01-06-2025,48,1716.48,14304,16020.48,-,27,10-06-2025,48,1716.48,14304,16020.48,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-06-2025,03-06-2025,IN2,Received,CNC0000009,,Cup And Saucer Set - 12Oz,CT_15,CROCKERY,-,CROCKERY & CUTLERY,NOS,312,-,312,24,898.56,7488,8386.56,-,01-06-2025,24,898.56,7488,8386.56,-,27,10-06-2025,24,898.56,7488,8386.56,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island Beyond GK II,-,01-06-2025,03-06-2025,IN2,Received,CNC0000016,,Dinner Fork,CT_16,CUTLERY,-,CROCKERY & CUTLERY,NOS,38.75,-,38.75,48,334.8,1860,2194.8,-,01-06-2025,48,334.8,1860,2194.8,-,27,10-06-2025,48,334.8,1860,2194.8,-,No,0,0,0,0,0,0,Received
