Deployment Name,Warehouse NCR
Start Date,01-12-2025
End Date,31-12-2025
Report Generation Date&Time,05/01/2026, 01:09:59 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,
Warehouse NCR,MSFT Hyd,-,21-12-2025,24-12-2025,IN26,Received,RAW0000001,,Beans - Master Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,798.33,-,798.33,5,199.58,3991.65,4191.23,-,26-12-2025,5,199.58,3991.65,4191.23,-,265,30-12-2025,5,199.58,3991.65,4191.23,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,MSFT Hyd,-,21-12-2025,24-12-2025,IN26,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,812.4,-,812.4,15,609.3,12186,12795.3,-,26-12-2025,15,609.3,12185.999999999998,12795.3,-,265,30-12-2025,15,609.3,12186,12795.3,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,MSFT Hyd,-,21-12-2025,24-12-2025,IN26,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,15,588.75,11775,12363.75,-,26-12-2025,15,588.75,11775,12363.75,-,265,30-12-2025,15,588.75,11775,12363.75,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,MSFT Hyd,-,21-12-2025,24-12-2025,IN26,Received,PKG0000016,,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.09,-,3.09,1500,834.3,4635.01,5469.31,-,26-12-2025,1500,834.3,4635.005624648459,5469.31,-,265,30-12-2025,1500,834.3,4635.01,5469.31,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,MSFT Hyd,-,21-12-2025,24-12-2025,IN26,Received,PKG0000018,,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.23,-,2.23,700,280.35,1557.5,1837.85,-,26-12-2025,700,280.35,1557.5026248687566,1837.85,-,265,30-12-2025,700,280.35,1557.5,1837.85,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,MSFT Hyd,-,21-12-2025,24-12-2025,IN26,Received,PKG0000012,,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.7,-,4.7,700,592.2,3290,3882.2,-,26-12-2025,600,507.6,2820,3327.6,-,265,30-12-2025,600,507.6,2820,3327.6,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,MSFT Hyd,-,21-12-2025,24-12-2025,IN26,Received,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.65,-,4.65,1000,837,4650,5487,-,26-12-2025,1000,837,4650,5487,-,265,30-12-2025,1000,837,4650,5487,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,MSFT Hyd,-,21-12-2025,24-12-2025,IN26,Received,RAW0000146,,Peach Garden Syrup 750ML,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(750ML/983GM),407.55,-,407.55,2,40.75,815.1,855.85,-,26-12-2025,2,40.75,815.0999999999999,855.85,-,265,30-12-2025,2,40.75,815.1,855.85,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Gimme Mo ! NSP,-,22-12-2025,-,DD9,Supplied,,,GM Coke Can 300ML,-,RTD CARBONATED SOFT DRINK,07,RETAIL,PCS,22.6,-,22.6,0,-,0,0,-,22-12-2025,51,461.04,1152.6000000000001,1613.64,-,260,-,0,-,0.00,0,-,No,0,0.00,0,0,0,0,Supplied,
Warehouse NCR,Gimme Mo ! NSP,-,22-12-2025,-,DD9,Supplied,,,GM Diet Coke 300ML,-,RTD CARBONATED SOFT DRINK,07,RETAIL,PCS,22.6,-,22.6,0,-,0,0,-,22-12-2025,31,280.24,700.6,980.84,-,260,-,0,-,0.00,0,-,No,0,0.00,0,0,0,0,Supplied,
Warehouse NCR,Gimme Mo ! NSP,-,22-12-2025,-,DD9,Supplied,,,GM Sprite Can 300ML,CT_57,BOTTLED WATER,-,RETAIL,PCS,22.6,-,22.6,0,-,0,0,-,22-12-2025,73,659.92,1649.8000000000002,2309.72,-,260,-,0,-,0.00,0,-,No,0,0.00,0,0,0,0,Supplied,
Warehouse NCR,Coffee Island HQ-27,-,22-12-2025,23-12-2025,IN44,Received,UNI0000004,,Apron With Ci Logo,CT_80,UNIFORM - APRON,-,UNIFORM,PCS..,300,-,300,1,15,300,315,-,23-12-2025,1,15,300,315,-,262,23-12-2025,1,15,300,315,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,22-12-2025,23-12-2025,IN44,Received,RAW0000001,,Beans - Master Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,798.33,-,798.33,10,399.17,7983.3,8382.47,-,23-12-2025,10,399.17,7983.3,8382.47,-,262,23-12-2025,10,399.17,7983.3,8382.47,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,22-12-2025,23-12-2025,IN44,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,812.4,-,812.4,10,406.2,8124,8530.2,-,23-12-2025,10,406.2,8123.999999999999,8530.2,-,262,23-12-2025,10,406.2,8124,8530.2,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,22-12-2025,23-12-2025,IN44,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,5,196.25,3925,4121.25,-,23-12-2025,0,-,0,0,-,,23-12-2025,0,-,0,0,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,22-12-2025,23-12-2025,IN44,Received,CNC0000035,70131000,CI Boba Beverage Glassware 360ML,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,60,-,60,12,129.6,720,849.6,-,23-12-2025,0,-,0,0,-,,23-12-2025,0,-,0,0,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,22-12-2025,23-12-2025,IN44,Received,PKG0000016,,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.09,-,3.09,300,166.86,927,1093.86,-,23-12-2025,0,-,0,0,-,,23-12-2025,0,-,0,0,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,22-12-2025,23-12-2025,IN44,Received,PKG0000018,,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.23,-,2.23,400,160.2,890,1050.2,-,23-12-2025,400,160.2,890.0014999250038,1050.2,-,262,23-12-2025,400,160.2,890,1050.2,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,22-12-2025,23-12-2025,IN44,Received,PKG0000012,,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.7,-,4.7,1000,846,4700,5546,-,23-12-2025,400,338.4,1880,2218.4,-,262,23-12-2025,400,338.4,1880,2218.4,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,22-12-2025,23-12-2025,IN44,Received,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.65,-,4.65,500,418.5,2325,2743.5,-,23-12-2025,500,418.5,2325,2743.5,-,262,23-12-2025,500,418.5,2325,2743.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,22-12-2025,23-12-2025,IN44,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,1500,105.3,585,690.3,-,23-12-2025,1500,105.3,585,690.3,-,262,23-12-2025,1500,105.3,585,690.3,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,22-12-2025,23-12-2025,IN44,Received,PKG0000006,,Yellow Carry Bag Small - Ci,CT_21,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.5,-,7.5,100,135,750,885,-,23-12-2025,100,135,750,885,-,262,23-12-2025,100,135,750,885,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Warehouse Mumbai,-,22-12-2025,-,DD10,Received,RET0000024,,Cold Coffee Can - Irish,CT_64,RTD COLD COFFEE - BOTTLE/CAN,-,RETAIL,PCS,55,-,55,0,-,0,0,-,22-12-2025,0,-,0,0,-,261,23-12-2025,0,-,0,0,send through Indent,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Warehouse Mumbai,-,22-12-2025,-,DD10,Received,RET0000023,,Cold Coffee Can - Vietnamese,CT_64,RTD COLD COFFEE - BOTTLE/CAN,-,RETAIL,PCS,55,-,55,0,-,0,0,-,22-12-2025,0,-,0,0,-,261,23-12-2025,0,-,0,0,send through Indent,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,23-12-2025,24-12-2025,IN61,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,8,314,6280,6594,-,24-12-2025,0,-,0,0,-,,25-12-2025,0,-,0,0,-,No,0,0.00,0,0,0,0,Received,
