Deployment Name,Warehouse NCR
Start Date,01-02-2026
End Date,15-02-2026
Report Generation Date&Time,17/02/2026, 04:59:42 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,04-02-2026,06-02-2026,IN73,Received,RAW0000006,,Beans - Kenya Single Estate,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,3463.33,-,3463.33,1,173.17,3463.33,3636.5,-,06-02-2026,1,173.17,3463.33,3636.5,-,318,06-02-2026,1,173.17,3463.33,3636.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,04-02-2026,06-02-2026,IN73,Received,RAW0000025,21069050,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,10,392.5,7850,8242.5,-,06-02-2026,10,392.5,7850,8242.5,-,318,06-02-2026,10,392.5,7850,8242.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,04-02-2026,06-02-2026,IN73,Received,PKG0000016,39239020,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.5,-,1.5,1000,270,1500,1770,-,06-02-2026,1000,270,1500,1770,-,318,06-02-2026,1000,270,1500,1770,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,04-02-2026,06-02-2026,IN73,Received,PKG0000018,39239020,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.4,-,2.4,400,172.8,960,1132.8,-,06-02-2026,400,172.8,960,1132.8,-,318,06-02-2026,400,172.8,960,1132.8,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,04-02-2026,06-02-2026,IN73,Received,PKG0000020,39269099,Disposable - Straw - 08Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,600,70.2,390,460.2,-,06-02-2026,600,70.2,390,460.2,-,318,06-02-2026,600,70.2,390,460.2,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,04-02-2026,06-02-2026,IN73,Received,PKG0000024,,Food Wrapping Paper - Ci,CT_28,DISPOSABLE PACKAGING - BUTTER WRAPPING SHEETS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,500,99,550,649,-,06-02-2026,500,99,550,649,-,318,06-02-2026,500,99,550,649,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,04-02-2026,06-02-2026,IN73,Received,RAW0000145,,J1 Matcha Powder,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,PCS(20GM),126,-,126,10,63,1260,1323,-,06-02-2026,10,63,1260,1323,-,318,06-02-2026,10,63,1260,1323,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,04-02-2026,06-02-2026,IN73,Received,PKG0000031,,Kitchen Roll 1 Kg,CT_30,DISPOSABLE PACKAGING - KITCHEN ROLL,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,115,-,115,6,124.2,690,814.2,-,06-02-2026,6,124.2,690,814.2,-,318,06-02-2026,6,124.2,690,814.2,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,04-02-2026,06-02-2026,IN73,Received,PKG0000015,,Plastic Transparent Bowl,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.41,-,7.41,100,133.38,741,874.38,-,06-02-2026,100,133.38,741,874.38,-,318,06-02-2026,100,133.38,741,874.38,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,04-02-2026,06-02-2026,IN73,Received,RAW0000024,,Protein Powder - Cookie & Cream,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,1460,-,1460,1,262.8,1460,1722.8,-,06-02-2026,1,262.8,1460,1722.8,-,318,06-02-2026,1,262.8,1460,1722.8,-,No,0,0.00,0,0,0,0,Received,
