Super category,Category,Item name,Section,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Roasted Chicken Mac & Cheese with Cappuccino,COMBO,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Roasted Turkey Tomato & Cheese Croissant with Iced Latte Signature,COMBO,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Roasted Tomato Basil Bocconcini Pide with Cappuccino,COMBO,
Emp_Bev,Emp_Bev,Chamomile Sunset Classic(emp),EMP MEAL,
Merch,Unisex T-shirt,Unisex T-Shirt (Red) XXL,RETAIL,
Cold Beverages,Choice of Extra Shot - 50,Extra Shot - Volcano Blend,BEVERAGES,
Merch,Unisex T-shirt,Unisex T-Shirt (White) Large,RETAIL,
Merch,Unisex T-shirt,Unisex T-Shirt (Blue) Large,RETAIL,
Merch,Unisex T-shirt,Unisex T-Shirt  (Red) Large,RETAIL,
Desserts,Gelato,Dark Chocolate Double Scoop,FOOD,
ADDON,Choice of Beans,Kenya Single Estate 15g @0,BEVERAGES,
ADDON,Choice of Beans,Ethiopia Single Estate @75,BEVERAGES,
Cold Beverages,Cold Brews,Bobastic Apple Green Tea,BEVERAGES,
Cold Beverages,Milk Shake,Berry Burst Paradise Milkshake-Med,BEVERAGES,
ADDON,Choice of Crema,Salted Caramel Crema @50,BEVERAGES,
Cold Beverages,Iced Chocolate,Classic Iced Chocolate-Med,BEVERAGES,
Cold Beverages,Special Brews,Nitro Bubble Brew-Classic,BEVERAGES,
Hot Beverages,Hot Brews,Machiato (Single),BEVERAGES,
Cold Beverages,Iced Chocolate,Guilt-Free Iced Chocolate-Med,BEVERAGES,
ADDON,Choice of Beans,Volcano Blend@0,BEVERAGES,
Cold Beverages,Island Special-Cold,Freddo Espresso Ristretto-Med,BEVERAGES,
ADDON,Choice of Boba,Coffee Popping Boba - 50,BEVERAGES,
ADDON,Choice of Milk,Regular - Milk -110g Default,BEVERAGES,
ADDON,Choice of Beans,Volcano Blend 15g@0,BEVERAGES,
Breakfast Specials (Make your own),Breakfast Specials (Make your own),Herb Chicken Open Puff with Americano,COMBO,
Breakfast Specials (Make your own),Breakfast Specials (Make your own),Belgian Chocolate Fudge Brownie with Americano,COMBO,
Cold Beverages,Food Sampling for Microsoft/Compass,Regular Milk @160ML,BEVERAGES,
Merch,Sipper,Islander Flask (Brown),RETAIL,
Merch,Mug,Islander Mug (Pink),RETAIL,
Merch,Sipper,Islander Grey Glass Sipper Bottle,RETAIL,
Merch,Unisex T-shirt,Unisex T-Shirt (Blue) XXL,RETAIL,
Hot Beverages,Hot Brews,Pistachio Cappuccino,BEVERAGES,
ADDON,Choice of Milk,Regular - Milk -200g Default,BEVERAGES,
Hot Beverages,Hot Brews,Orange Hot Chocolate,BEVERAGES,
Cold Beverages,Cold Brews,Islander Pistachio Icebrew,BEVERAGES,
Cold Beverages,Cold Brews,Dubai Chocolate Cocoa,BEVERAGES,
Merch,Unisex T-shirt,Unisex T-Shirt  (Red) Med,RETAIL,
Merch,Mug,Islander Mug (Coffee),RETAIL,
Merch,Hoodie,Islander Vibes Hoodie (Med),RETAIL,
ADDON,Choice of Milk,Regular - Milk -220g Default,BEVERAGES,
ADDON,Choice of Crema,Espresso Crema @50,BEVERAGES,
Merch,Mug,Islander Mug (Green),RETAIL,
ADDON,Choice of Milk,Regular - Milk -170g Default,BEVERAGES,
ADDON,Choice of Milk,Regular - Milk -180g Default,BEVERAGES,
ADDON,Choice of Beans,Master Blend 15g@ Default,BEVERAGES,
ADDON,Choice of Milk,Soya Milk @50,BEVERAGES,
Cold Beverages,Cold Brews,Gelato Affagato,BEVERAGES,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Cottage Cheese Fajita With Broccomole with Hot Coffee (DI),COMBO,
Cold Beverages,Iced Chocolate,Dreamy Hazelnut Iced Chocolate-Med,BEVERAGES,
Cold Beverages,Choice of Extra Shot - 50,Extra Shot - Kenya Single Estate,BEVERAGES,
Desserts,Gelato,Mango Sorbet Double Scoop,FOOD,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Garlic Mushroom & Caramelized Onion Melt with Islander Cold Coffee,COMBO,
Merch,Water Bottle,Islander Grey Steel Bottle,BEVERAGES,
Ready To Drink,Cold Brew,Whiskey Barrel Cold Brew Coffee,BEVERAGES,
Emp_Bev,Emp_Bev,Flat White(emp),EMP MEAL,
Emp_Bev,Emp_Bev,Cappuccino(emp),EMP MEAL,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Roasted Turkey Tomato & Cheese Croissant with Islander Cold Coffee,COMBO,
Cold Beverages,Choice of Extra Shot - 50,Extra Shot - Kenya Blend,BEVERAGES,
ADDON,Choice of Milk,Regular Milk @25,BEVERAGES,
Merch,Cup,Islander Classic Cup (Pink),RETAIL,
ADDON,Choice of Boba,Peach Popping Boba - 50,BEVERAGES,
Ready To Drink,Iced Tea,Lavender Ice Tea,BEVERAGES,
Ready To Drink,Cold Brew,Cinnamon Cold Brew Coffee,BEVERAGES,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Roasted Turkey Tomato & Cheese Croissant with Hot Coffee (DI),COMBO,
Breakfast Specials (Make your own),Breakfast Specials (Make your own),Breakfast Specials 11To1,COMBO,
Ready To Drink,Cold Brew,Vanilla Cold Brew Coffee,BEVERAGES,
Merch,Mug,Islander Black Yellow Mug,RETAIL,
Quick Bites,Puff & Toastie,Avocado Toast,FOOD,
Emp_Bev,Emp_Bev,Iced Americano(emp),EMP MEAL,
Emp_Bev,Emp_Bev,Indian Masala(emp),EMP MEAL,
ADDON,Choice of Milk,Regular Milk @0,BEVERAGES,
ADDON,Choice of Crema,Rich Crema @50,BEVERAGES,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Roasted Turkey Tomato & Cheese Croissant with Cold Coffee (DI),COMBO,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Chipotle Chicken With Broccomole with Cold Coffee (DI),COMBO,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Sriracha Chicken & Avocado Wrap with Hot Coffee (DI),COMBO,
ADDON,Choice of Beans,Ethiopia Blend 15g @0,BEVERAGES,
Quick Bites,Puff & Toastie,Avocado Toast with Eggs,FOOD,
ADDON,Choice of Boba,Passionfruit Popping Boba - 50,BEVERAGES,
Desserts,Gelato,Belgian Chocolate Double Scoop,FOOD,
ADDON,Choice of Crema,Rich Crema @0,BEVERAGES,
Cold Beverages,Refresh,Iced Apple Green Tea-Med,BEVERAGES,
Merch,Sipper,Islander White Sipper Matt,RETAIL,
Combos,Breakfast special Combo,Breakfast Special AIPL,COMBO,
Merch,Unisex T-shirt,Unisex T-Shirt (Blue) Med,RETAIL,
Cold Beverages,Proffees (Protein + Coffee),Espresso Proffee (Protein + Coffee),BEVERAGES,
Merch,Unisex T-shirt,Unisex T-Shirt (White) Med,RETAIL,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Flaky Fried Chicken Burger  with Hot Coffee (DI),COMBO,
Cold Beverages,Special Brews,Nitro Bubble Brew-Vietnamese,BEVERAGES,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Cheesy Meatball Melt with Islander Cold Coffee,COMBO,
Emp_Bev,Emp_Bev,Iced Classic Lemon Tea(emp),EMP MEAL,
Combos,Veg Combo,French Butter Croissant with Hot Cappuccino,COMBO,
ADDON,Choice of Beans,Kenya Blend @25,BEVERAGES,
Main Course,Rice Bowl,Cottage Cheese Fajita With Broccomole,FOOD,
Cold Beverages,Overnight Brew,Overnite Espresso Gingerale Brew,BEVERAGES,
ADDON,Choice of Beans,Ethiopia Blend @25,BEVERAGES,
Main Course,Rice Bowl,Chipotle Chicken With Broccomole,FOOD,
ADDON,Choice of Beans,Ethiopia Single Estate @50,BEVERAGES,
ADDON,Choice of Beans,Ethiopia Single Estate 20g@Default,BEVERAGES,
Desserts,Gelato,Dark Chocolate SSC Single Scoop,FOOD,
ADDON,Choice of Beans,Kenya Single Estate @50,BEVERAGES,
Desserts,Desserts,Nolen Gur Banofee Jar,FOOD,
Desserts,Gelato,Belgian Chocolate Singal Scoop,FOOD,
Combos,Veg Combo,Veg Toastie & Island Cold Coffee,COMBO,
Merch,Unisex T-shirt,Unisex T-Shirt (Red) XL,RETAIL,
Desserts,Gelato,Mango Sorbet Singal Scoop,FOOD,
Main Course,Pasta,Pepperoncino Spaghetti Aglio Olio,FOOD,
Test Hot Beverages,Test Hot Brews,Cappuccino-reg.,BEVERAGES,
ADDON,Choice of Beans,Kenya Blend 15g@0,BEVERAGES,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Peperoncino Spaghetti Aglio Olio with Cold Coffee,COMBO,
Main Course,Hand Made Sandwiches,"Roasted Turkey, Tomato & Cheese Croissant",FOOD,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Garlic Mushroom & Caramelized Onion Melt with Cold Coffee,COMBO,
Halloween addon,Halloween addon,Halloween Chocolate sauce,BEVERAGES,
Value Combos (upto 40% off),Cold Value Combos (upto 40% off),Chipotle Chicken With Broccomole with Cold Coffee,COMBO,
Hot Beverages,Hot Chocolate,Guilt-Free Hot Chocolate-Med,BEVERAGES,
Merch,Unisex T-shirt,Unisex T-Shirt (Blue) XL,RETAIL,
Combos,Combo,Gelato Double Scoop Upgrade Cookie & Brownie,COMBO,
Merch,Water Bottle,Ebony Islander Bottle (Matt Green),BEVERAGES,
Merch,Unisex T-shirt,Unisex T-Shirt (White) XXL,RETAIL,
Merch,Unisex T-shirt,Unisex T-Shirt (White) XL,RETAIL,
Halloween addon,Halloween addon,Halloween sprinkle,BEVERAGES,
ADDON,Choice of Beans,Ethiopia Blend 20g @0,BEVERAGES,
Desserts,Gelato,Dark Chocolate SSC Double Scoop,FOOD,
