Customer,Date,Rating,Comments,Outlet Name
Sneha More,25-Jan-2026,5,Good service nice abance and good communication and suggestions gaury...,Coffee Island Eros Churchgate - Mumbai
User,28-Dec-2025,5,"such a beautiful cafe and the atmosphere was very peaceful, i loved there sea salt brookie it was very nice and tempting with the pretty presentation. staff is also very welcoming and polite had fun over there, must visit cafe highly satisfied ❤️",Coffee Island Phoenix Market City - Mumbai
Monika Dhingra,11-Jan-2026,5,Shivani was a great host . Good service,Coffee Island Beyond GK II
Paritosh Kr  Rakesh,19-Jan-2026,5,Great Service by Subhash,Coffee Island HQ-27
Yaswanth  Koganti,01-Feb-2026,1,coffe not hot delivery took 30+mins and it's not hot,Coffee Island HQ-27
Sanket,17-Jan-2026,5,"sham very Helpful ,,&amp; well knowledge products",Coffee Island Eros Churchgate - Mumbai
User,05-Feb-2026,5,greak coffee and multiple option in food as well. staff is good,"Coffee Island, NIBM Road"
Sagar,13-Jan-2026,5,woow experience,Coffee Island Eros Churchgate - Mumbai
Sudarsh Khare,23-Jan-2026,1,why did it take 2 hours to deliver a coffee,Coffee Island - Amanora Mall
Faiz,14-Jan-2026,5,staff was very polite &amp; service on time,Coffee Island Eros Churchgate - Mumbai
Shalu Malik,15-Jan-2026,5,aashiq ahmed  very nice and gud staff  food service everything is excellent,Coffee Island HQ-27
Ritwik Sukhija,08-Feb-2026,5,Good service by Aashiq.,Coffee Island HQ-27
P Singh,19-Jan-2026,5,"Excellent balanced coffee, meeting all expectations! I have shortlisted you as my favourite coffee shop! Your Strong Coffee Lover! ❤️",Coffee Island HQ-27
P Singh,05-Feb-2026,5,Excellent Speciality gourmet artisanal coffee shop &amp; Cafe in central Gurgaon! Must visit if you are a coffee lover in Gurugram!,Coffee Island HQ-27
Ruplekha  Chatterjee,26-Dec-2025,5,"Food and drinks quality is so good and budget friendly and staff are also good in behaviour, love the ambience.",Coffee Island AIPL
Samarth,15-Feb-2026,5,"SURUBHI WAS VERY COURTEOUS &amp; POLITE!! Amazing food ,service",Coffee Island Beyond GK II
Dr Ritwik Roy,27-Dec-2025,5,very nice hot chocolate &amp; Nolen gur Dessert 🍪,Coffee Island HQ-27
Sonam Saxena,18-Jan-2026,5,been here twice in this weekend...coffee and snacks were amazing and delicious. will definitely recommend it to my friends.,Coffee Island HQ-27
Shivaraman,10-Jan-2026,5,Excellent coffee,Coffee Island - Amanora Mall
Linda John,09-Feb-2026,1,Good quality was pathetic and chef and rest of the staff seemed clueless about half of the things on the menu!,Coffee Island AIPL
Yamin Patel,13-Jan-2026,5,I came first time get excellent service,Coffee Island Eros Churchgate - Mumbai
Shivani Thakur,21-Jan-2026,5,meet surbhi there she is very nice when it comes to hospitality always  ready to serve u best,Coffee Island Beyond GK II
Shail,13-Feb-2026,5,Awesome vibes greeeaaatt coffeeee. And affordable?,Coffee Island NSP - New Delhi
Swapnil Bhatade,17-Jan-2026,5,"Polite staff , great service !","Coffee Island, NIBM Road"
Smit Ubale,14-Jan-2026,5,"such a beautiful experience I have here. and also they hired an amazing dtaff. food tho bht awesome tha, we loved here",Coffee Island Phoenix Market City - Mumbai
Azhar Shaikh,05-Feb-2026,5,Extremely Enjoying the Environment at the cafe. lovely coffee and beautiful Food.,"Coffee Island, NIBM Road"
M,17-Jan-2026,5,Subhash was too good to explain us about the coffee and flavours nice to visit here,Coffee Island HQ-27
Doya,28-Dec-2025,5,"Nice food, friendly staff and a good atmosphere.",Coffee Island NSP - New Delhi
Kunal Singh,03-Feb-2026,5,"The food was good and the coffee is worth it!!!
Really liked the server Anu, she is very police and attentive.",Coffee Island Eros Churchgate - Mumbai
853078,06-Feb-2026,5,&quot;Best place for coffee! ☕🏝️,Coffee Island - Amanora Mall
Faiz,13-Jan-2026,5,staff was very polite &amp; service on time,Coffee Island Eros Churchgate - Mumbai
Kanika Mehta  (Mesmerizingmeals),01-Feb-2026,1,"It basically is like an island because most of the things were unavailable! Plus, an offer was there, which we weren&rsquo;t told about and on top of that, the person taking our order had messed up with our bill! Such a chaotic experience!",Coffee Island - Amanora Mall
Palak Miglani,15-Feb-2026,5,amazing view,Coffee Island Beyond GK II
P Singh,22-Jan-2026,5,Excellent! Great Service!,Coffee Island HQ-27
SANJIV KAPOOR,31-Jan-2026,5,service was great.,Coffee Island HQ-27
User,12-Jan-2026,5,Perfect coffee for after dinner for those times when you want something a little special will most definitely be ordering more thanks for a great service lots of 💕💕,Coffee Island AIPL
Shaikh Aslam,21-Jan-2026,5,very delicious food and coffee is very nice 🙂😍,Coffee Island Eros Churchgate - Mumbai
Suresh Malik,09-Jan-2026,5,Service is great I love there long pour,Coffee Island HQ-27
Tanisha  Khandelwal,13-Feb-2026,5,Anushaya was very sweet and also she served everything on time thank you,Coffee Island Eros Churchgate - Mumbai
Swapnil  Chincholikar,15-Jan-2026,5,The Islander cold coffee was really good.. Tanmay &amp; Azhar were really helpful .. Good ambiance &amp; friendly service.,Coffee Island - Amanora Mall
Neeraj Singh,11-Jan-2026,5,great beverage and great taste,Coffee Island Beyond GK II
User,10-Jan-2026,5,the place is wonderful and the cappuccino taste is living,Coffee Island - Amanora Mall
Shiv,03-Feb-2026,1,"Horrible quality, taste. Sent wrong order",Coffee Island AIPL
Gauri,25-Jan-2026,5,very good service by sehna,Coffee Island Eros Churchgate - Mumbai
Dia,16-Jan-2026,5,"A very cute silent cafe in the middle of LG floor. less crowded. Staff is very humble especially Ashish who served us.
overall great experience 🤩",Coffee Island Phoenix Market City - Mumbai
Kuldeep Jr,29-Jan-2026,5,The coffee was Amazing.Food was good specially the Nutella toast and three mac n cheese Pasta.Good place to hangout with family and friends,Coffee Island Eros Churchgate - Mumbai
Kuldeep Jr,29-Jan-2026,5,The coffee was Amazing.Food was good specially the Nutella toast and three mac n cheese Pasta.Good place to hangout with family and friends,Coffee Island Eros Churchgate - Mumbai
Mehul Singhvi,15-Feb-2026,5,The food was amazing and staff is to good you can meet anurag for food recommendations,Coffee Island Eros Churchgate - Mumbai
Rahul Sharma,07-Feb-2026,5,Great place.. Great ambience,Coffee Island HQ-27
Lipika Khanna,28-Dec-2025,5,very nice coffee,Coffee Island HQ-27
Prem Sagar,13-Jan-2026,5,"The product quality is consistently outstanding, exceeding my expectations every time.",Coffee Island Eros Churchgate - Mumbai
Karan Dev Chopra,25-Jan-2026,5,Udit was great - super service - super food,Coffee Island Beyond GK II
Ashutosh Saxena,31-Jan-2026,1,"Horrible overall experience. There was a republic day offer underway which the barista did not inform us about. When we asked her later, she said since you did not ask for the offer, we did not provide!
The croissant served was chilled at its core. Sandwich had a scant filling which they changed when we highlighted. Vinegar was not mixed properly with the salad that was served.
Overpriced, poor food quality, pathetic service. Better to avoid!",Coffee Island Phoenix Market City - Mumbai
Ashutosh Saxena,31-Jan-2026,1,"Horrible experience on overall experience. There was a republic day offer underway which the barista did not inform us about. When we asked her later, she said since you did not ask for the offer, we did not provide!
The croissant served was chilled at its core. Sandwich had a scant filling which they changed when we highlighted. Vinegar was not mixed properly with the salad that was served.
Overpriced, poor food quality, pathetic service. Better to avoid!",Coffee Island Phoenix Market City - Mumbai
Prashant,23-Jan-2026,5,it was a great experience at a coffee island .,Coffee Island - Amanora Mall
User,28-Dec-2025,5,loved being there. i buy there a mug and it's a very good in quality in a affordable price. gonna drink my morning coffee in that. such a beautiful cafe and the asthetic of the cafee is crazyy. staff is also very polite and respectful higly recommend,Coffee Island Phoenix Market City - Mumbai
User,28-Dec-2025,5,loved being there. i buy there a mug and it's a very good in quality in a affordable price. gonna drink my morning coffee in that. such a beautiful cafe and the asthetic of the cafee is crazyy. staff is also very polite and respectful higly recommend,Coffee Island Phoenix Market City - Mumbai
User,28-Dec-2025,5,loved being there. i buy there a mug and it's a very good in quality in a affordable price. gonna drink my morning coffee in that. such a beautiful cafe and the asthetic of the cafee is crazyy. staff is also very polite and respectful higly recommend,Coffee Island Phoenix Market City - Mumbai
User,28-Dec-2025,5,loved being there. i buy there a mug and it's a very good in quality in a affordable price. gonna drink my morning coffee in that. such a beautiful cafe and the asthetic of the cafee is crazyy. staff is also very polite and respectful higly recommend,Coffee Island Phoenix Market City - Mumbai
Akshay Nasarpuri,11-Feb-2026,5,Amazing food,Coffee Island AIPL
Ena Chakravorty,13-Feb-2026,5,"All os good - food, ambience + people",Coffee Island Beyond GK II
