All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2026-01-10,21,"DINE IN",895.00,89.50,805.50,40.28,42.29,888.07,1,
"Coffee Island Beyond GK II",2026-01-10,22,"DINE IN",930.00,0.00,930.00,46.50,48.83,1025.33,2,
"Coffee Island Beyond GK II",2026-01-10,22,"DELIVERY",310.00,72.00,238.00,20.00,12.90,270.90,1,
"Coffee Island Beyond GK II",2026-01-10,23,"DELIVERY",320.00,81.25,238.75,20.00,12.94,271.69,1,
"Coffee Island Beyond GK II",2026-01-10,23,"DINE IN",4768.02,66.25,4701.77,235.08,246.83,5183.68,3,
"Coffee Island Beyond GK II",2026-01-11,0,"DINE IN",2475.00,90.00,2385.00,123.75,125.44,2634.19,4,
"Coffee Island Beyond GK II",2026-01-11,1,"DINE IN",1675.24,0.00,1675.24,83.76,87.95,1846.95,2,
"Coffee Island Beyond GK II",2026-01-11,2,"DINE IN",650.00,0.00,650.00,32.50,34.13,716.63,5,
"Coffee Island Beyond GK II",2026-01-11,3,"DINE IN",515.24,0.00,515.24,25.76,27.05,568.05,1,
"Coffee Island Beyond GK II",2026-01-11,4,"DINE IN",1350.00,0.00,1350.00,67.50,70.89,1488.39,3,
"Coffee Island Beyond GK II",2026-01-11,6,"DINE IN",500.00,0.00,500.00,25.00,26.25,551.25,1,
"Coffee Island Beyond GK II",2026-01-11,7,"DELIVERY",500.00,250.00,250.00,40.00,14.50,304.50,2,
"Coffee Island Beyond GK II",2026-01-11,7,"DINE IN",270.00,158.00,112.00,5.60,5.88,123.48,1,
"Coffee Island Beyond GK II",2026-01-11,8,"TAKEAWAY",1190.00,0.00,1190.00,0.00,59.50,1249.50,1,
"Coffee Island Beyond GK II",2026-01-11,8,"DELIVERY",230.00,115.00,115.00,20.00,6.75,141.75,1,
"Coffee Island Beyond GK II",2026-01-11,8,"DINE IN",5455.26,0.00,5455.26,237.26,284.62,5977.14,2,
"Coffee Island Beyond GK II",2026-01-11,9,"DELIVERY",460.00,230.00,230.00,20.00,12.50,262.50,1,
"Coffee Island Beyond GK II",2026-01-11,9,"DINE IN",640.00,0.00,640.00,32.00,33.60,705.60,2,
"Coffee Island Beyond GK II",2026-01-11,10,"TAKEAWAY",1550.00,0.00,1550.00,0.00,77.50,1627.50,2,
"Coffee Island Beyond GK II",2026-01-11,10,"DINE IN",280.00,280.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2026-01-11,11,"DINE IN",5331.87,100.00,5231.87,261.60,274.68,5768.15,5,
"Coffee Island Beyond GK II",2026-01-11,11,"DELIVERY",710.00,355.00,355.00,40.00,19.75,414.75,2,
"Coffee Island Beyond GK II",2026-01-11,11,"TAKEAWAY",210.00,0.00,210.00,0.00,10.50,220.50,1,
"Coffee Island Beyond GK II",2026-01-11,12,"DELIVERY",910.00,380.00,530.00,40.00,28.50,598.50,2,
"Coffee Island Beyond GK II",2026-01-11,12,"TAKEAWAY",290.00,64.00,226.00,0.00,11.30,237.30,1,
"Coffee Island Beyond GK II",2026-01-11,12,"DINE IN",1260.00,0.00,1260.00,63.00,66.15,1389.15,1,
"Coffee Island Beyond GK II",2026-01-11,13,"DINE IN",2160.00,29.00,2131.00,106.55,111.88,2349.43,5,
"Coffee Island Beyond GK II",2026-01-11,13,"DELIVERY",285.00,142.50,142.50,20.00,8.13,170.63,1,
"Coffee Island Beyond GK II",2026-01-11,14,"DELIVERY",250.00,125.00,125.00,20.00,7.25,152.25,1,
"Coffee Island Beyond GK II",2026-01-11,14,"TAKEAWAY",620.00,0.00,620.00,0.00,31.00,651.00,1,
"Coffee Island Beyond GK II",2026-01-11,14,"DINE IN",1650.00,0.00,1650.00,82.50,86.63,1819.13,1,
"Coffee Island Beyond GK II",2026-01-11,15,"DINE IN",6300.00,202.00,6098.00,304.90,320.16,6723.06,4,
"Coffee Island Beyond GK II",2026-01-11,15,"DELIVERY",310.00,80.00,230.00,20.00,12.50,262.50,1,
"Coffee Island Beyond GK II",2026-01-11,15,"TAKEAWAY",340.00,0.00,340.00,0.00,17.00,357.00,1,
"Coffee Island Beyond GK II",2026-01-11,16,"DINE IN",2460.00,28.00,2432.00,121.60,127.68,2681.28,3,
"Coffee Island Beyond GK II",2026-01-11,16,"DELIVERY",620.00,135.00,485.00,20.00,25.25,530.25,1,
"Coffee Island Beyond GK II",2026-01-11,16,"TAKEAWAY",210.00,0.00,210.00,5.00,11.40,226.40,1,
"Coffee Island Beyond GK II",2026-01-11,17,"DELIVERY",1570.00,498.25,1071.75,60.00,56.58,1188.33,3,
"Coffee Island Beyond GK II",2026-01-11,17,"TAKEAWAY",210.00,0.00,210.00,5.00,11.40,226.40,1,
"Coffee Island Beyond GK II",2026-01-11,17,"DINE IN",925.00,195.00,730.00,36.50,38.33,804.83,4,
"Coffee Island Beyond GK II",2026-01-11,18,"DINE IN",3499.75,0.00,3499.75,174.99,183.74,3858.48,4,
"Coffee Island Beyond GK II",2026-01-11,19,"DINE IN",1770.00,153.00,1617.00,88.50,85.28,1790.78,2,
"Coffee Island Beyond GK II",2026-01-11,19,"DELIVERY",850.00,372.00,478.00,40.00,25.90,543.90,2,
"Coffee Island Beyond GK II",2026-01-11,19,"TAKEAWAY",260.00,0.00,260.00,0.00,13.00,273.00,1,
"Coffee Island Beyond GK II",2026-01-11,20,"DINE IN",1210.00,74.00,1136.00,73.00,60.46,1269.46,3,
"Coffee Island Beyond GK II",2026-01-11,21,"DINE IN",230.00,0.00,230.00,11.50,12.08,253.58,1,
"Coffee Island Beyond GK II",2026-01-11,22,"DINE IN",2500.00,0.00,2500.00,125.00,131.26,2756.26,2,
"Coffee Island Beyond GK II",2026-01-11,23,"DINE IN",3345.00,118.50,3226.50,161.33,169.40,3557.23,4,
"Coffee Island Beyond GK II",2026-01-11,23,"TAKEAWAY",230.00,0.00,230.00,0.00,11.50,241.50,1,
"Coffee Island Beyond GK II",2026-01-11,23,"DELIVERY",1015.00,300.00,715.00,20.00,36.76,771.76,1,
"Coffee Island Beyond GK II",2026-01-12,0,"DINE IN",6049.22,301.50,5747.72,287.39,408.43,6443.54,7,
"Coffee Island Beyond GK II",2026-01-12,1,"DINE IN",580.00,0.00,580.00,29.00,30.45,639.45,1,
"Coffee Island Beyond GK II",2026-01-12,1,"TAKEAWAY",280.00,0.00,280.00,0.00,14.00,294.00,1,
"Coffee Island Beyond GK II",2026-01-12,2,"DINE IN",710.00,0.00,710.00,35.50,37.28,782.78,3,
"Coffee Island Beyond GK II",2026-01-12,3,"DINE IN",250.00,0.00,250.00,12.50,13.13,275.63,1,
"Coffee Island Beyond GK II",2026-01-12,7,"DELIVERY",300.00,150.00,150.00,20.00,8.50,178.50,1,
"Coffee Island Beyond GK II",2026-01-12,7,"DINE IN",240.00,0.00,240.00,12.00,12.60,264.60,1,
"Coffee Island Beyond GK II",2026-01-12,8,"DELIVERY",250.00,125.00,125.00,20.00,7.25,152.25,1,
"Coffee Island Beyond GK II",2026-01-12,8,"TAKEAWAY",670.00,0.00,670.00,0.00,33.50,703.50,1,
"Coffee Island Beyond GK II",2026-01-12,9,"DELIVERY",250.00,125.00,125.00,20.00,7.25,152.25,1,
"Coffee Island Beyond GK II",2026-01-12,10,"DINE IN",630.00,157.50,472.50,23.63,24.81,520.94,1,
