All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2025-10-14,19,"DINE IN",1050.00,147.00,903.00,0.00,45.15,948.15,2,
"Coffee Island Beyond GK II",2025-10-14,21,"DINE IN",210.00,0.00,210.00,0.00,10.50,220.50,2,
"Coffee Island Beyond GK II",2025-10-14,22,"DINE IN",810.00,310.00,500.00,0.00,25.00,525.00,2,
"Coffee Island Beyond GK II",2025-10-14,23,"DINE IN",1530.00,0.00,1530.00,0.00,76.50,1606.50,4,
"Coffee Island Beyond GK II",2025-10-14,23,"TAKEAWAY",230.00,0.00,230.00,0.00,11.50,241.50,1,
"Coffee Island Beyond GK II",2025-10-15,0,"DINE IN",450.00,0.00,450.00,0.00,22.50,472.50,2,
"Coffee Island Beyond GK II",2025-10-15,0,"TAKEAWAY",520.00,0.00,520.00,0.00,26.00,546.00,1,
"Coffee Island Beyond GK II",2025-10-15,7,"DINE IN",290.00,0.00,290.00,0.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2025-10-15,7,"TAKEAWAY",230.00,0.00,230.00,0.00,11.50,241.50,1,
"Coffee Island Beyond GK II",2025-10-15,10,"DINE IN",1394.00,0.00,1394.00,0.00,69.70,1463.70,2,
"Coffee Island Beyond GK II",2025-10-15,10,"DELIVERY",474.00,75.00,399.00,60.00,22.96,481.96,2,
"Coffee Island Beyond GK II",2025-10-15,12,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II",2025-10-15,13,"DINE IN",560.00,5.00,555.00,0.00,27.75,582.75,3,
"Coffee Island Beyond GK II",2025-10-15,14,"DINE IN",1980.00,62.00,1918.00,0.00,95.90,2013.90,4,
"Coffee Island Beyond GK II",2025-10-15,15,"TAKEAWAY",1010.00,0.00,1010.00,0.00,50.50,1060.50,2,
"Coffee Island Beyond GK II",2025-10-15,15,"DINE IN",595.00,148.75,446.25,0.00,22.32,468.57,1,
"Coffee Island Beyond GK II",2025-10-15,16,"TAKEAWAY",620.00,0.00,620.00,0.00,31.00,651.00,1,
"Coffee Island Beyond GK II",2025-10-15,16,"DINE IN",1076.20,0.00,1076.20,0.00,53.81,1130.01,4,
"Coffee Island Beyond GK II",2025-10-15,17,"DINE IN",310.00,0.00,310.00,0.00,15.50,325.50,2,
"Coffee Island Beyond GK II",2025-10-15,18,"DINE IN",330.00,0.00,330.00,0.00,16.50,346.50,1,
"Coffee Island Beyond GK II",2025-10-15,18,"TAKEAWAY",76.20,0.00,76.20,0.00,3.81,80.01,1,
"Coffee Island Beyond GK II",2025-10-15,19,"TAKEAWAY",660.00,180.00,480.00,0.00,24.00,504.00,1,
