All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2025-11-08,15,"DELIVERY",670.00,335.00,335.00,20.00,17.76,372.76,1,
"Coffee Island Beyond GK II",2025-11-08,15,"DINE IN",3192.00,182.40,3009.60,0.00,150.49,3160.09,5,
"Coffee Island Beyond GK II",2025-11-08,16,"DINE IN",920.00,0.00,920.00,0.00,46.00,966.00,2,
"Coffee Island Beyond GK II",2025-11-08,16,"TAKEAWAY",890.00,0.00,890.00,0.00,44.50,934.50,2,
"Coffee Island Beyond GK II",2025-11-08,17,"TAKEAWAY",932.54,0.00,932.54,0.00,46.63,979.17,1,
"Coffee Island Beyond GK II",2025-11-08,17,"DINE IN",920.00,0.00,920.00,0.00,46.00,966.00,2,
"Coffee Island Beyond GK II",2025-11-08,18,"DINE IN",3416.85,42.00,3374.85,0.00,168.74,3543.59,7,
"Coffee Island Beyond GK II",2025-11-08,18,"TAKEAWAY",1100.00,0.00,1100.00,0.00,55.00,1155.00,1,
"Coffee Island Beyond GK II",2025-11-08,18,"DELIVERY",720.00,235.00,485.00,20.00,25.25,530.25,1,
"Coffee Island Beyond GK II",2025-11-08,19,"DINE IN",1830.00,0.00,1830.00,0.00,91.50,1921.50,2,
"Coffee Island Beyond GK II",2025-11-08,19,"TAKEAWAY",396.00,0.00,396.00,0.00,19.80,415.80,1,
"Coffee Island Beyond GK II",2025-11-08,20,"TAKEAWAY",2240.34,0.00,2240.34,0.00,112.02,2352.36,1,
"Coffee Island Beyond GK II",2025-11-08,20,"DINE IN",300.00,0.00,300.00,0.00,15.00,315.00,1,
"Coffee Island Beyond GK II",2025-11-08,21,"DINE IN",1077.47,293.54,783.93,0.00,39.20,823.13,2,
"Coffee Island Beyond GK II",2025-11-08,22,"DINE IN",420.00,0.00,420.00,0.00,21.00,441.00,1,
"Coffee Island Beyond GK II",2025-11-08,23,"TAKEAWAY",290.00,0.00,290.00,0.00,14.50,304.50,1,
"Coffee Island Beyond GK II",2025-11-08,23,"DINE IN",1258.10,0.00,1258.10,0.00,62.91,1321.01,3,
"Coffee Island Beyond GK II",2025-11-09,0,"DINE IN",580.00,0.00,580.00,0.00,29.00,609.00,2,
"Coffee Island Beyond GK II",2025-11-09,1,"DINE IN",310.00,0.00,310.00,0.00,15.50,325.50,1,
"Coffee Island Beyond GK II",2025-11-09,1,"DELIVERY",1000.00,305.00,695.00,20.00,35.75,750.75,1,
"Coffee Island Beyond GK II",2025-11-09,2,"TAKEAWAY",440.00,131.00,309.00,5.00,16.35,330.35,2,
"Coffee Island Beyond GK II",2025-11-09,3,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-11-09,4,"DELIVERY",1070.00,199.98,870.02,30.00,45.01,945.03,1,
"Coffee Island Beyond GK II",2025-11-09,5,"TAKEAWAY",580.00,0.00,580.00,0.00,29.00,609.00,1,
"Coffee Island Beyond GK II",2025-11-09,7,"TAKEAWAY",760.00,0.00,760.00,0.00,38.00,798.00,2,
"Coffee Island Beyond GK II",2025-11-09,7,"DELIVERY",1480.00,321.00,1159.00,50.00,60.46,1269.46,2,
"Coffee Island Beyond GK II",2025-11-09,7,"DINE IN",280.00,0.00,280.00,0.00,14.00,294.00,1,
"Coffee Island Beyond GK II",2025-11-09,8,"DINE IN",760.00,0.00,760.00,0.00,38.00,798.00,2,
"Coffee Island Beyond GK II",2025-11-09,8,"DELIVERY",310.00,80.00,230.00,20.00,12.50,262.50,1,
"Coffee Island Beyond GK II",2025-11-09,9,"DINE IN",149.00,0.00,149.00,0.00,7.45,156.45,1,
"Coffee Island Beyond GK II",2025-11-09,10,"DINE IN",999.00,0.00,999.00,0.00,49.95,1048.95,3,
"Coffee Island Beyond GK II",2025-11-09,10,"DELIVERY",560.00,193.00,367.00,20.00,19.35,406.35,1,
"Coffee Island Beyond GK II",2025-11-09,11,"DINE IN",5523.80,111.00,5412.80,0.00,270.64,5683.44,6,
"Coffee Island Beyond GK II",2025-11-09,11,"DELIVERY",390.00,100.00,290.00,30.00,16.00,336.00,1,
"Coffee Island Beyond GK II",2025-11-09,13,"DINE IN",5210.00,152.00,5058.00,0.00,252.90,5310.90,3,
"Coffee Island Beyond GK II",2025-11-09,13,"TAKEAWAY",1400.00,100.00,1300.00,5.00,65.90,1370.90,2,
"Coffee Island Beyond GK II",2025-11-09,13,"DELIVERY",430.00,215.00,215.00,30.00,12.25,257.25,1,
"Coffee Island Beyond GK II",2025-11-09,14,"DINE IN",1539.00,0.00,1539.00,0.00,76.95,1615.95,3,
"Coffee Island Beyond GK II",2025-11-09,14,"DELIVERY",280.00,100.00,180.00,20.00,10.00,210.00,1,
"Coffee Island Beyond GK II",2025-11-09,15,"DINE IN",530.00,45.00,485.00,0.00,24.25,509.25,2,
"Coffee Island Beyond GK II",2025-11-09,16,"DELIVERY",670.00,280.00,390.00,20.00,20.50,430.50,1,
"Coffee Island Beyond GK II",2025-11-09,16,"DINE IN",1643.10,105.00,1538.10,0.00,76.91,1615.01,4,
"Coffee Island Beyond GK II",2025-11-09,17,"DINE IN",3160.00,2341.00,819.00,0.00,40.95,859.95,3,
"Coffee Island Beyond GK II",2025-11-09,18,"DINE IN",2665.00,804.50,1860.50,0.00,93.03,1953.53,4,
"Coffee Island Beyond GK II",2025-11-09,18,"TAKEAWAY",700.00,0.00,700.00,0.00,35.00,735.00,1,
"Coffee Island Beyond GK II",2025-11-09,19,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II",2025-11-09,20,"DINE IN",2380.00,510.00,1870.00,0.00,93.50,1963.50,4,
"Coffee Island Beyond GK II",2025-11-09,20,"TAKEAWAY",230.00,131.00,99.00,5.00,5.85,109.85,1,
"Coffee Island Beyond GK II",2025-11-09,21,"DINE IN",560.00,28.00,532.00,0.00,26.60,558.60,2,
"Coffee Island Beyond GK II",2025-11-09,22,"DINE IN",3800.86,1895.86,1905.00,0.00,95.25,2000.25,4,
"Coffee Island Beyond GK II",2025-11-09,22,"TAKEAWAY",230.00,131.00,99.00,5.00,5.85,109.85,1,
"Coffee Island Beyond GK II",2025-11-09,23,"DELIVERY",337.29,90.00,247.29,20.00,13.36,280.65,1,
"Coffee Island Beyond GK II",2025-11-09,23,"TAKEAWAY",570.00,0.00,570.00,0.00,28.50,598.50,1,
"Coffee Island Beyond GK II",2025-11-09,23,"DINE IN",1620.00,62.00,1558.00,0.00,77.90,1635.90,3,
"Coffee Island Beyond GK II",2025-11-10,0,"DINE IN",350.00,0.00,350.00,0.00,17.50,367.50,1,
"Coffee Island Beyond GK II",2025-11-10,0,"DELIVERY",1190.00,199.98,990.02,50.00,52.00,1092.02,2,
"Coffee Island Beyond GK II",2025-11-10,1,"TAKEAWAY",785.00,0.00,785.00,0.00,39.25,824.25,1,
"Coffee Island Beyond GK II",2025-11-10,1,"DINE IN",690.00,0.00,690.00,0.00,34.50,724.50,2,
"Coffee Island Beyond GK II",2025-11-10,2,"DINE IN",950.00,0.00,950.00,0.00,47.50,997.50,2,
"Coffee Island Beyond GK II",2025-11-10,3,"DELIVERY",750.00,199.99,550.01,30.00,29.00,609.01,1,
"Coffee Island Beyond GK II",2025-11-10,3,"DINE IN",620.00,0.00,620.00,0.00,31.00,651.00,1,
"Coffee Island Beyond GK II",2025-11-10,4,"DINE IN",4378.10,0.00,4378.10,0.00,218.91,4597.01,1,
"Coffee Island Beyond GK II",2025-11-10,6,"DELIVERY",1470.00,735.00,735.00,20.00,37.75,792.75,1,
