Generated On: 2026-02-06 10:37:34 am
*All the values shown here are in INR,

Outlet Name,Cluster,Format,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,17,DELIVERY,1441.00,530.58,910.42,40.00,47.51,997.93,2,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,18,DINE IN,2177.14,182.00,1995.14,0.00,99.76,2094.90,3,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,19,DINE IN,2095.00,0.00,2095.00,0.00,104.75,2199.75,3,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,19,DELIVERY,610.00,305.00,305.00,20.00,16.25,341.25,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,20,DINE IN,530.00,0.00,530.00,0.00,26.50,556.50,2,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,20,DELIVERY,660.00,0.00,660.00,20.00,34.00,714.00,1,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,21,DINE IN,759.00,0.00,759.00,0.00,37.95,796.95,3,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,22,DINE IN,290.00,0.00,290.00,0.00,14.50,304.50,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,0,DINE IN,1220.00,0.00,1220.00,0.00,61.00,1281.00,2,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,0,TAKEAWAY,440.00,0.00,440.00,0.00,22.00,462.00,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,1,DINE IN,1470.00,0.00,1470.00,0.00,73.50,1543.50,4,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,1,DELIVERY,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,2,DELIVERY,610.00,72.00,538.00,0.00,26.90,564.90,2,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,2,DINE IN,420.00,0.00,420.00,0.00,21.00,441.00,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,3,DINE IN,328.10,0.00,328.10,0.00,16.41,344.51,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,3,TAKEAWAY,620.00,0.00,620.00,0.00,31.00,651.00,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,4,TAKEAWAY,76.20,0.00,76.20,0.00,3.81,80.01,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,6,DELIVERY,957.00,208.19,748.81,20.00,38.44,807.25,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,7,TAKEAWAY,480.00,0.00,480.00,0.00,24.00,504.00,2,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,7,DELIVERY,1345.00,672.49,672.51,60.00,36.63,769.14,3,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,8,DELIVERY,810.00,125.00,685.00,0.00,34.25,719.25,2,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,9,DINE IN,230.00,0.00,230.00,0.00,11.50,241.50,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,9,DELIVERY,870.00,435.00,435.00,20.00,22.75,477.75,2,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,9,TAKEAWAY,590.00,0.00,590.00,0.00,29.50,619.50,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,10,DELIVERY,2255.00,651.47,1603.53,60.00,83.18,1746.71,3,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,10,TAKEAWAY,280.00,0.00,280.00,0.00,14.00,294.00,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,10,DINE IN,420.00,0.00,420.00,0.00,21.00,441.00,2,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,11,DELIVERY,2818.57,1345.00,1473.57,40.00,75.68,1589.25,5,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,11,DINE IN,4410.00,159.00,4251.00,0.00,212.55,4463.55,6,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,12,DINE IN,2850.00,200.00,2650.00,0.00,132.50,2782.50,5,
