Generated On: 2026-02-05 01:50:00 pm
*All the values shown here are in INR,

Outlet Name,Cluster,Format,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,6,DINE IN,450.00,0.00,450.00,0.00,22.50,472.50,2,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,7,TAKEAWAY,2348.10,0.00,2348.10,0.00,117.41,2465.51,5,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,8,DINE IN,859.00,0.00,859.00,0.00,42.95,901.95,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,8,DELIVERY,550.00,275.00,275.00,0.00,13.75,288.75,2,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,9,DELIVERY,2251.00,718.00,1533.00,60.00,79.65,1672.65,4,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,10,DINE IN,2270.00,63.00,2207.00,0.00,110.35,2317.35,4,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,10,TAKEAWAY,326.20,0.00,326.20,0.00,16.31,342.51,2,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,10,DELIVERY,940.00,470.00,470.00,20.00,24.50,514.50,3,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,11,DINE IN,2370.00,0.00,2370.00,0.00,118.50,2488.50,4,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,11,DELIVERY,1290.00,645.00,645.00,0.00,32.25,677.25,2,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,11,TAKEAWAY,310.00,0.00,310.00,0.00,15.50,325.50,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,12,DINE IN,5170.00,0.00,5170.00,0.00,258.50,5428.50,8,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,12,DELIVERY,850.00,367.00,483.00,0.00,24.14,507.14,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,13,DINE IN,2270.00,0.00,2270.00,0.00,113.50,2383.50,5,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,13,DELIVERY,560.00,280.00,280.00,0.00,14.00,294.00,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,14,DINE IN,3828.10,0.00,3828.10,0.00,191.41,4019.51,8,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,14,TAKEAWAY,455.00,0.00,455.00,0.00,22.75,477.75,2,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,14,DELIVERY,600.00,300.00,300.00,20.00,16.00,336.00,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,15,DINE IN,1500.00,0.00,1500.00,0.00,75.00,1575.00,5,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,15,DELIVERY,230.00,115.00,115.00,20.00,6.75,141.75,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,15,TAKEAWAY,210.00,31.00,179.00,0.00,8.95,187.95,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,16,DINE IN,4730.00,78.00,4652.00,0.00,232.60,4884.60,9,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,16,TAKEAWAY,560.00,0.00,560.00,0.00,28.00,588.00,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,16,DELIVERY,1240.00,545.00,695.00,0.00,34.75,729.75,3,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,17,DINE IN,4640.00,11.00,4629.00,0.00,231.45,4860.45,7,
