Customer Name,Created Date,Rating,Comment,Outlet Name,Restaurant ID
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,2,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,3,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island - Tribeca Pune,1208685
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,3,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,3,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,4,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,2,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,4,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,5,,Coffee Island AIPL,1123859
,03-Dec-25,4,,Coffee Island Beyond GK II,1119631
,03-Dec-25,3,,Coffee Island Beyond GK II,1119631
,03-Dec-25,5,,Coffee Island Beyond GK II,1119631
,03-Dec-25,5,,Coffee Island Beyond GK II,1119631
,03-Dec-25,5,,Coffee Island Beyond GK II,1119631
,03-Dec-25,5,,Coffee Island Beyond GK II,1119631
,03-Dec-25,5,,Coffee Island Beyond GK II,1119631
,03-Dec-25,5,,Coffee Island Beyond GK II,1119631
,03-Dec-25,5,,Coffee Island Beyond GK II,1119631
,03-Dec-25,5,,Coffee Island Beyond GK II,1119631
,03-Dec-25,5,,Coffee Island Beyond GK II,1119631
,03-Dec-25,5,,Coffee Island Beyond GK II,1119631
,03-Dec-25,3,,Coffee Island Beyond GK II,1119631
,03-Dec-25,5,,Coffee Island Beyond GK II,1119631
,03-Dec-25,5,,Coffee Island Beyond GK II,1119631
,03-Dec-25,5,,Coffee Island Beyond GK II,1119631
