All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Delivery Charge,Platform Fee Charge,Restaurant Packaging Charges,Packaging Charge,Smile Amount Charge,Charges,Net Sale,GST @5%,GST @18%,GST @12%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island HQ-27",2025-06-09,"POS",107.00,34,0,15216.68,767.62,0,0,0,0,0,0,0,0.00,14449.06,722.47,0,0,0,722.47,15171.53,0.47,15172.00,
"-","-","North","Coffee Island HQ-27",2025-06-10,"Swiggy",12.00,5,0,2010.00,400.99,0,0,0,0,0,0,0,0.00,1609.01,0,0,0,80.45,80.45,1689.46,-0.46,1689.00,
"-","-","North","Coffee Island HQ-27",2025-06-10,"POS",136.00,38,0,18660.74,1435.54,0,0,0,0,0,0,0,0.00,17225.20,826.89,56.05,45.00,0,927.94,18153.14,1.86,18155.00,
"-","-","North","Coffee Island HQ-27",2025-06-10,"Mobile App",5.00,3,0,941.00,646.00,0,10.00,0,0,0,0,0,10.00,295.00,16.55,0.00,0,0,16.55,321.55,-0.55,321.00,
"-","-","North","Coffee Island HQ-27",2025-06-10,"Zomato",10.00,3,0,1410.00,445.00,0,0,0,0,60.00,0,0,60.00,965.00,0,0,0,51.25,51.25,1076.25,0.75,1077.00,
"-","-","North","Coffee Island HQ-27",2025-06-10,"Swiggy-Bolt Urgent",2.00,1,0,300.00,75.00,0,0,0,0,0,0,0,0.00,225.00,0,0,0,11.26,11.26,236.26,-0.26,236.00,
"-","-","North","Coffee Island HQ-27",2025-06-11,"Mobile App",5.00,2,0,607.00,224.00,0,10.00,0,0,0,0,0,10.00,383.00,14.58,22.95,0,0,37.53,430.53,0.47,431.00,
"-","-","North","Coffee Island HQ-27",2025-06-11,"Zomato",7.00,3,0,880.00,305.00,0,0,0,0,60.00,0,0,60.00,575.00,0,0,0,31.75,31.75,666.75,0.25,667.00,
"-","-","North","Coffee Island HQ-27",2025-06-11,"POS",117.00,34,0,14488.02,1221.25,0,0,0,0,0,0,0,0.00,13266.77,635.97,64.07,22.90,0,722.94,13989.71,1.29,13991.00,
"-","-","North","Coffee Island HQ-27",2025-06-11,"Swiggy-Bolt Urgent",6.00,2,0,855.00,149.99,0,0,0,0,0,0,0,0.00,705.01,0,0,0,35.25,35.25,740.26,0.74,741.00,
"-","-","North","Coffee Island HQ-27",2025-06-11,"Swiggy",6.00,3,0,980.00,200.00,0,0,0,0,0,0,0,0.00,780.00,0,0,0,39.00,39.00,819.00,0.00,819.00,
