All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Restaurant Packaging Charges,Packaging Charge [CART - SWIGGY],Restaurant Charge,Staff Welfare charge at 5%,Staff Welfare,Delivery Charge,Platform Fee Charge,Smile Amount Charge,Charges,Net Sale,ECom_GST@5%,GST @5%,GST @18%,GST @40%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island HQ-27",2025-12-20,"Swiggy",16.00,11,0,5025.00,2127.49,0,220.00,0,0,0,0,0,0,220.00,2897.51,155.87,0,0,0,155.87,3273.38,0.62,3274.00,
"-","-","North","Coffee Island HQ-27",2025-12-20,"Zomato",22.00,8,0,6750.00,2512.00,160.00,0,0,0,0,0,0,0,160.00,4238.00,219.90,0,0,0,219.90,4617.90,1.10,4619.00,
"-","-","North","Coffee Island HQ-27",2025-12-20,"Swiggy-Bolt Urgent",4.00,4,0,1180.00,565.00,0,80.00,0,0,0,0,0,0,80.00,615.00,34.75,0,0,0,34.75,729.75,0.25,730.00,
"-","-","North","Coffee Island HQ-27",2025-12-20,"POS",104.00,48,0,25211.93,3516.55,0,0,0,0,0,0,0,0,0.00,21695.38,0,1084.78,0,0,1084.78,22780.16,5.84,22786.00,
"-","-","North","Coffee Island HQ-27",2025-12-20,"Mobile App",5.00,4,0,944.00,243.00,0,0,20.00,0,0,0,0,0,20.00,701.00,0,38.65,0,0,38.65,759.65,0.35,760.00,
"-","-","North","Coffee Island HQ-27",2025-12-21,"Zomato",16.00,12,0,5005.42,1985.00,240.00,0,0,0,0,0,0,0,240.00,3020.42,163.03,0,0,0,163.03,3423.45,0.55,3424.00,
"-","-","North","Coffee Island HQ-27",2025-12-21,"Swiggy",13.00,9,0,3865.00,1695.00,0,180.00,0,0,0,0,0,0,180.00,2170.00,117.50,0,0,0,117.50,2467.50,0.50,2468.00,
"-","-","North","Coffee Island HQ-27",2025-12-21,"Mobile App",5.00,3,0,485.00,21.00,0,0,15.00,0,0,0,0,0,15.00,464.00,0,25.90,0,0,25.90,504.90,0.10,505.00,
"-","-","North","Coffee Island HQ-27",2025-12-21,"POS",108.00,37,0,26126.84,6456.31,0,0,0,0,0,0,0,0,0.00,19670.53,0,983.56,0,0,983.56,20654.09,6.91,20661.00,
"-","-","North","Coffee Island HQ-27",2025-12-21,"Swiggy-Bolt Urgent",3.00,1,0,680.00,157.49,0,20.00,0,0,0,0,0,0,20.00,522.51,27.13,0,0,0,27.13,569.64,0.36,570.00,
"-","-","North","Coffee Island HQ-27",2025-12-22,"POS",74.00,37,0,16862.31,758.21,0,0,0,0,0,0,0,0,0.00,16104.10,0,805.23,0,0,805.23,16909.33,4.67,16914.00,
"-","-","North","Coffee Island HQ-27",2025-12-22,"Mobile App",4.00,4,0,758.00,47.00,0,0,20.00,0,0,0,0,0,20.00,711.00,0,39.15,0,0,39.15,770.15,-1.15,769.00,
"-","-","North","Coffee Island HQ-27",2025-12-22,"Zomato",26.00,15,0,7582.00,3442.00,300.00,0,0,0,0,0,0,0,300.00,4140.00,218.74,0,11.77,0,230.51,4670.51,1.49,4672.00,
"-","-","North","Coffee Island HQ-27",2025-12-22,"Swiggy",15.00,10,0,4109.75,2033.90,0,200.00,0,0,0,0,0,0,200.00,2075.85,113.79,0,0,0,113.79,2389.64,2.36,2392.00,
"-","-","North","Coffee Island HQ-27",2025-12-22,"Swiggy-Bolt Urgent",5.00,4,0,1370.00,685.00,0,80.00,0,0,0,0,0,0,80.00,685.00,38.25,0,0,0,38.25,803.25,-0.25,803.00,
"-","-","North","Coffee Island HQ-27",2025-12-23,"Swiggy",24.00,14,0,7050.00,3426.50,0,280.00,0,0,0,0,0,0,280.00,3623.50,195.16,0,0,0,195.16,4098.66,1.34,4100.00,
"-","-","North","Coffee Island HQ-27",2025-12-23,"POS",75.00,34,0,17196.05,1628.75,0,0,0,0,0,0,0,0,0.00,15567.30,0,778.42,0,0,778.42,16345.72,2.28,16348.00,
"-","-","North","Coffee Island HQ-27",2025-12-23,"Zomato",28.00,13,0,8365.00,3570.00,260.00,0,0,0,0,0,0,0,260.00,4795.00,252.75,0,0,0,252.75,5307.75,4.25,5312.00,
"-","-","North","Coffee Island HQ-27",2025-12-23,"Mobile App",6.00,5,0,1380.00,688.00,0,0,25.00,0,0,0,0,0,25.00,692.00,0,39.10,0,0,39.10,756.10,0.90,757.00,
"-","-","North","Coffee Island HQ-27",2025-12-23,"Swiggy-Bolt Urgent",6.00,3,0,1750.00,925.00,0,60.00,0,0,0,0,0,0,60.00,825.00,44.25,0,0,0,44.25,929.25,0.75,930.00,
"-","-","North","Coffee Island HQ-27",2025-12-24,"Mobile App",16.00,8,0,3272.00,456.00,0,0,120.00,0,0,30.00,20.00,0,170.00,2816.00,0,171.40,0,0,171.40,3157.40,-0.40,3157.00,
"-","-","North","Coffee Island HQ-27",2025-12-24,"POS",64.00,30,0,16411.19,915.50,0,0,0,0,0,0,0,0,0.00,15495.69,0,774.82,0,0,774.82,16270.51,4.49,16275.00,
"-","-","North","Coffee Island HQ-27",2025-12-24,"Swiggy",25.00,13,0,7084.41,3226.17,0,260.00,0,0,0,0,0,0,260.00,3858.24,205.91,0,0,0,205.91,4324.15,2.85,4327.00,
"-","-","North","Coffee Island HQ-27",2025-12-24,"Zomato",32.00,19,0,9750.00,4227.00,380.00,0,0,0,0,0,0,0,380.00,5523.00,295.16,0,0,0,295.16,6198.16,1.84,6200.00,
"-","-","North","Coffee Island HQ-27",2025-12-24,"Swiggy-Bolt Urgent",4.00,3,0,1200.00,664.00,0,60.00,0,0,0,0,0,0,60.00,536.00,29.80,0,0,0,29.80,625.80,0.20,626.00,
"-","-","North","Coffee Island HQ-27",2025-12-25,"POS",132.00,50,0,33205.56,2859.09,0,0,0,0,0,0,0,0,0.00,30346.47,0,1456.66,218.63,0,1675.29,32021.76,5.24,32027.00,
"-","-","North","Coffee Island HQ-27",2025-12-25,"Mobile App",8.00,3,0,1004.00,27.00,0,0,15.00,0,0,0,0,0,15.00,977.00,0,21.25,109.08,0,130.33,1122.33,0.67,1123.00,
"-","-","North","Coffee Island HQ-27",2025-12-25,"Swiggy",13.00,5,0,3780.00,2097.40,0,100.00,0,0,0,0,0,0,100.00,1682.60,89.13,0,0,0,89.13,1871.73,0.27,1872.00,
"-","-","North","Coffee Island HQ-27",2025-12-26,"POS",82.00,40,0,20115.23,1469.00,0,0,0,0,0,0,0,0,0.00,18646.23,0,932.35,0,0,932.35,19578.58,8.42,19587.00,
"-","-","North","Coffee Island HQ-27",2025-12-26,"Mobile App",3.00,3,0,659.00,181.00,0,0,15.00,0,0,0,0,0,15.00,478.00,0,26.60,0,0,26.60,519.60,-0.60,519.00,
"-","-","North","Coffee Island HQ-27",2025-12-26,"Swiggy",22.00,13,0,6506.02,2842.98,0,260.00,0,0,0,0,0,0,260.00,3663.04,189.76,0,23.04,0,212.80,4135.84,0.16,4136.00,
"-","-","North","Coffee Island HQ-27",2025-12-26,"Zomato",7.00,4,0,1985.00,887.50,80.00,0,0,0,0,0,0,0,80.00,1097.50,58.88,0,0,0,58.88,1236.38,-0.38,1236.00,
"-","-","North","Coffee Island HQ-27",2025-12-26,"Swiggy-Bolt Urgent",4.00,3,0,1180.00,590.00,0,60.00,0,0,0,0,0,0,60.00,590.00,32.50,0,0,0,32.50,682.50,0.50,683.00,
"-","-","North","Coffee Island HQ-27",2025-12-27,"Swiggy",16.00,8,0,4860.00,2321.50,0,160.00,0,0,0,0,0,0,160.00,2538.50,134.94,0,0,0,134.94,2833.44,1.56,2835.00,
