Super Category ,Category Name,Item Name ,Has Expiry,Tax Rate,Purchase UOM,Base UOM,Conversion Factor
RAW MATERIAL,RM BEVERAGES - VEG INGREDIENTS,Truffle Oil (CIB),no,5,PKT(250ML/228GM),GM,228
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Truffle Oil 250 ml,no,5,BTL(250 ML),ML,250
CAPEX,BOH FOOD EQUIPMENT,Trufrost Induction Cook Top Cih 3.5,no,18,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,Trufrost Premia Food Display Unit Showcase Chiller 3 Plus 2,no,18,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,Trufrost Under Counter Freezer  - GF 201 SS (200 L),no,18,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Tumeric Powder (CIB),no,5,KG,GM,1000
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Turmeric Powder,yes,5,PKT(1KG),GM,1000
CAPEX,BOH DEAD FABRICATION EQUIPMENT,Two Bowl Sink Ss,no,18,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,UNDER COUNTER FREEZER ( CGN-2100F),no,18,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,UPRIGHT FREEZER (CGN-600F2),no,18,PCS,PCS,1
CAPEX,POS HARDWARE,USB Printer Cable,no,18,PCS,PCS,1
CAPEX,OUTLET EQUIPMENT,Umbrella (With Logo Print),no,18,PCS,PCS,1
CAPEX,BOH BEVERAGE EQUIPMENT,Under Counter Beverage Chiller,no,18,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,Under Counter Chiller (2 Door) - RTWH156MS4  / LS4,no,18,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,Under Counter Chiller (3 Door) - RTWH180MS4 / LS4,no,18,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,Under Counter Chiller 2 Door with Back Splash RTWH120MS4-S1,no,18,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,Under Counter Chiller 3 Door with Back Splash RTWH180MS4-S1,no,18,PCS,PCS,1
CAPEX,BOH OTHER EQUIPMENT,Under Counter Refrigerator 1350*700*860+150,no,18,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,Unox Speed Heat Oven,no,18,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,Upright Chiller (2 Door) - HRWH77MS4,no,18,PCS,PCS,1
CAPEX,BOH OTHER EQUIPMENT,Vertical Two Door Freezer 700*700*2100,no,18,PCS,PCS,1
CAPEX,OTHER ELECTRONIC & ELECTRICAL ITEMS,Vfd Panel - 2.2Kw,no,18,PCS,PCS,1
PACKAGING FOR PRODUCT DEVELOPMENT,POUCHES/SACHETS,Vfr Bags (Nitro Flushed),no,18,PCS,PCS,1
CAPEX,BOH BEVERAGE EQUIPMENT,Victoria Coffee Machine Arduino Eagle Tempo - Black: Mvaweravn3020 024,no,18,PCS,PCS,1
PACKAGING FOR PRODUCT DEVELOPMENT,POUCHES/SACHETS,Vietnamese Coffee 250Ml Packaging - Sleeve,no,18,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Vinegar (CIB),no,5,KG,GM,1000
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Vinegar Synthetic,yes,18,BTL(700ML),ML,700
CAPEX,BOH BEVERAGE EQUIPMENT,Vitamix Jar 48 Oz/1.4L Adv Tr/Bld/Lid/Plug,no,18,PCS,PCS,1
PACKAGING FOR PRODUCT DEVELOPMENT,POUCHES/SACHETS,Volcano Blend 75 Gm Pack,no,18,PCS,PCS,1
CAPEX,BOH BEVERAGE EQUIPMENT,Vst Precision Filter Baskets In 18 Ridge-Less Versions,no,18,PCS,PCS,1
CAPEX,BOH DEAD FABRICATION EQUIPMENT,WALL SHELF (BARISTA TABLE),no,18,PCS,PCS,1
CAPEX,BOH DEAD FABRICATION EQUIPMENT,WALL SHELF (PREP TABLE),no,18,PCS,PCS,1
CAPEX,SMALLWARE,WIRE MESH CUP HOLDER,no,18,PCS,PCS,1
CAPEX,SMALLWARE,WIRE MESH SYRUP BOTTLE HOLDER,no,18,PCS,PCS,1
CAPEX,BOH DEAD FABRICATION EQUIPMENT,WORK TABLE WITH CABINET,no,18,PCS,PCS,1
CAPEX,CCTV CAMERA & NETWORKING,Wall Mount Rack With Accessories - 12 Inch,no,18,PCS,PCS,1
CAPEX,BOH DEAD FABRICATION EQUIPMENT,Wall Mounted Ss Double Over Head Shelf (For Makeline),no,18,PCS,PCS,1
CAPEX,BOH DEAD FABRICATION EQUIPMENT,Wall Mounted Ss Over Head Shelf (For Table),no,18,PCS,PCS,1
CAPEX,BOH DEAD FABRICATION EQUIPMENT,Wall Mounted Ss Table With 2 U/S (For Merry Chef),no,18,PCS,PCS,1
CAPEX,BOH DEAD FABRICATION EQUIPMENT,Wall Sofa,no,18,PCS,PCS,1
CAPEX,BOH OTHER EQUIPMENT,Water Boiler- 2 Gallon - 111202,no,18,PCS,PCS,1
RETAIL,BOTTLED WATER,Water Bottle - 500 Ml,no,18,CASE(20PC),PCS,20
RETAIL,SIPPERS/BOTTLES,Water Bottle - Bamboo,no,18,PCS,PCS,1
RETAIL,SIPPERS/BOTTLES,Water Bottle - Ebony - Black,no,18,PCS,PCS,1
RETAIL,SIPPERS/BOTTLES,Water Bottle - Ebony - Olive Green,no,18,PCS,PCS,1
CAPEX,SMALLWARE,Water Jug,no,18,PCS,PCS,1
RETAIL,RTD JUICES - BOTTLE/CAN,Water Melon Zing Prebiotic 200 ML,yes,28,BTL,PCS,1
CAPEX,BOH OTHER EQUIPMENT,Weighing Machine Up To 2Kg,no,18,PCS,PCS,1
CAPEX,SMALLWARE,Weighing Machine Up To 3 Kg,no,18,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,Western 2 Door Undercounter Chiller ( 1200X750X850)- Rtwh 120 Ms4,no,18,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,Western 2 Half Door Upright Chiller With 4 Shelves - Hrwh 77 Ms4,no,18,PCS,PCS,1
CAPEX,BOH OTHER EQUIPMENT,Western Assembly Station - 3 Door Prep Counter- Rtsw 137 Ms4 Gnte,no,18,PCS,PCS,1
CAPEX,BOH OTHER EQUIPMENT,Western Deep Freezer D 70,no,18,PCS,PCS,1
CAPEX,BOH OTHER EQUIPMENT,Western Ice Cube Machine Im 130 A,no,18,PCS,PCS,1
CAPEX,BOH OTHER EQUIPMENT,Western Undercounter Dishwasher-Wby-50T-Pdt,no,28,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Whipped Cream (CIB),no,5,KG,GM,1000
CAPEX,SMALLWARE,Whipped Cream Dispenser 1000 Ml,no,18,PCS,PCS,1
CAPEX,SMALLWARE,Whipped Cream Dispenser 500 Ml,no,18,PCS,PCS,1
STORE CONSUMABLES,STATIONARY,White Board,no,18,PCS,PCS,1
STORE CONSUMABLES,STATIONARY,White Board Marker,no,18,PCS,PCS,1
STORE CONSUMABLES,STATIONARY,White Envelope (10X4.5),no,18,PCS,PCS,1
STORE CONSUMABLES,STATIONARY,White Envelope (A4),no,18,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,White Sauce (Mac & Cheese Sauce) (CIB),no,5,KG,GM,1000
CAPEX,POS HARDWARE,Windows 10 License 2019,no,18,PCS,PCS,1
CAPEX,CCTV CAMERA & NETWORKING,Wireless Keyboard And Mouse - Combo Set,no,18,PCS,PCS,1
CAPEX,BOH DEAD FABRICATION EQUIPMENT,Wooden Counter With Granite Top And Wooden Louver Finish,no,18,PCS,PCS,1
CAPEX,SMALLWARE,Wooden Cutlery Caddy,no,5,PCS,PCS,1
DISPOSABLE TAKE AWAY PACKAGING,DISPOSABLE CUTLERY - WOODEN SPOON,Wooden Dessert Spoon 110 Mm,no,18,PKT(100PC),PCS,100
CAPEX,OUTLET EQUIPMENT,Wooden Easel Stand,no,18,PCS,PCS,1
DISPOSABLE TAKE AWAY PACKAGING,DISPOSABLE CUTLERY - WOODEN TOOTHPICK,Wooden Toothpick,no,5,Pack(10),PCS,10
