Outlet Name,Category Name,Item Code,Item Name,Unit,Qty,Primary Shelf Life(In Months),Manufacture Date,Purchase Date,Opening date (when packet is opened),After Opening Shelf Life(days),Expiry Date
,RTE - SNACKS,RET0000041,The Ultimate Trail Mix - 70 Gms,,,06 Months,,,,,
,RM BEVERAGES - POWDERS,RAW0000034,Chocolate Powder - 0% Sugar,,,06 Months,,,,15 Days,
,RM BEVERAGES - POWDERS,RAW0000025,Chocolate Powder - Hot,,,06 Months,,,,15 Days,
,RM BEVERAGES - POWDERS,RAW0000043,Coffee Powder - Coffeeccino,,,06 Months,,,,15 Days,
,RM BEVERAGES - POWDERS,RAW0000036,Iced Tea Powder - Classic Lemon,,,06 Months,,,,15 Days,
,RM BEVERAGES - POWDERS,RAW0000035,Iced Tea Powder - Green Apple,,,06 Months,,,,15 Days,
,RM BEVERAGES - POWDERS,RAW0000145,J1 Matcha Powder,,,,,,,,
,RM BEVERAGES - POWDERS,RAW0000028,Milkshake Powder - Chocolate,,,06 Months,,,,15 Days,
,RM BEVERAGES - POWDERS,RAW0000029,Milkshake Powder - Strawberry,,,06 Months,,,,15 Days,
,RM BEVERAGES - POWDERS,RAW0000022,Protein Powder - Caramel,,,As per Packet,,,,30 Days,
,RM BEVERAGES - POWDERS,RAW0000024,Protein Powder - Cookie & Cream,,,As per Packet,,,,30 Days,
,RM BEVERAGES - POWDERS,RAW0000023,Protein Powder - Espresso,,,As per Packet,,,,30 Days,
,RM BEVERAGES - POWDERS,RAW0000039,Refresh Tea - Mango,,,06 Months,,,,15 Days,
,RM BEVERAGES - POWDERS,RAW0000040,Refresh Tea - Peach,,,06 Months,,,,15 Days,
,RTD JUICES - BOTTLE/CAN,RET0000071,Coconut Water,,,09 Months,,,,01 Days,
,RTD JUICES - BOTTLE/CAN,RET0000070,Juice - Guava,,,,,,,,
,RTD JUICES - BOTTLE/CAN,RET0000027,Juice - Valencia Orange,,,01 Months,,,,02 Days,
,RTD JUICES - BOTTLE/CAN,RET0000064,Water Melon Zing Prebiotic 200 ML,,,,,,,,
,RTD COLD BREW - BOTTLE/CAN,RET0000021,Cold Brew - Cinnamon,,,,,,,,
,RTD COLD BREW - BOTTLE/CAN,RET0000020,Cold Brew - French Vanilla,,,,,,,,
,RTD COLD BREW - BOTTLE/CAN,RET0000022,Cold Brew - Whiskey Barrel,,,,,,,,
,RTD COLD COFFEE - BOTTLE/CAN,RET0000024,Cold Coffee Can - Irish,,,09 Months,,,,,
,RTD COLD COFFEE - BOTTLE/CAN,RET0000023,Cold Coffee Can - Vietnamese,,,,,,,,
,RM BEVERAGES - GARNISHING,RAW0000010,Crema - Base - Rich Cream (Whip Topping),,,,,,,,
,RM BEVERAGES - GARNISHING,RAW0000011,Juice Topping - Ginger,,,,,,,,
,RM BEVERAGES - GARNISHING,RAW00000101,Juice Topping - Mint,,,,,,,,
,RM BEVERAGES - VEG INGREDIENTS,RAW0000059,Crema - Topping - Food Colour Gel - Brown,,,01 Months,,,,03 Days,
,RM BEVERAGES - VEG INGREDIENTS,RAW0000060,Crema - Topping - Food Colour Gel - Saffron,,,01 Months,,,,03 Days,
,RM BEVERAGES - VEG INGREDIENTS,RAW0000062,Fizzy - Gingerale,,,As per on packet,,,,,
,RM BEVERAGES - VEG INGREDIENTS,RAW0000061,Fizzy - Tonic Water,,,As per on packet,,,,,
,RM BEVERAGES - VEG INGREDIENTS,RAW0000057,Sugar - Sachet - Brown (5Gm),,,,,,,,
,RM BEVERAGES - VEG INGREDIENTS,RAW0000058,Sugar - Sachet - Sugar Free (7.5Gm),,,,,,,,
,RM BEVERAGES - VEG INGREDIENTS,RAW0000056,Sugar Sachets (White),,,As per on packet,,,,,
,FESTIVE IN & OUT ITEM,RET0000080,Diwali Deepak,,,,,,,,
,RM FOOD - ICE CREAMS,RAW0000067,Gelato - Belgian Chocolate,,,,,,,,
,RM FOOD - ICE CREAMS,RAW0000068,Gelato - Dark Chocolate Sea Salt Caramel,,,,,,,,
,RM FOOD - ICE CREAMS,RAW0000071,Gelato - Mango Sorbet,,,,,,,,
,RM FOOD - ICE CREAMS,RAW0000066,Gelato - Vanilla,,,As per Label/Manufecturer,,,,30 Days,
,CONFECTIONARY,RET0000066,Hazelnut Hour Chocolate 55g,,,,,,,,
,CONFECTIONARY,RET0000067,Mango Menace Chocolate 55g,,,,,,,,
,CONFECTIONARY,RET0000065,Orange Haze Chocolate 55g,,,,,,,,
,CONFECTIONARY,RET0000068,Roasted Almond Chocolate 55g,,,,,,,,
,CONFECTIONARY,RET0000069,Rose Pistachio Chocolate 55g,,,,,,,,
,RM BEVERAGES - ICE CREAMS,RAW0000013,Ice Cream Vanilla - Amul,,,,,,,,
,RTD ICE TEAS - BOTTLE/CAN,RET0000026,Ice Tea - Lavender,,,,,,,,
,RTD ICE TEAS - BOTTLE/CAN,RET0000025,Ice Tea - Peach,,,,,,,,
,INSTANT COFFEE - DRY,RET0000006,Instant Classic Coffee Jar - 100Gm,,,,,,,,
,INSTANT COFFEE - DRY,RET0000007,Instant Classic Coffee Jar - 50Gm,,,,,,,,
,INSTANT COFFEE - DRY,RET0000009,Pack Of 30 Sachets Flavoured Instant Coffee,,,,,,,,
,INSTANT COFFEE - DRY,RET0000010,Pack Of 30 Sachets Instant Coffee Classic,,,,,,,,
,INSTANT COFFEE - DRY,RET0000008,Pourover Assorted Box Of 5 Sachets,,,,,,,,
,RM BEVERAGES - MILK PRODUCTS,RAW0000017,Milk - Almond,,,06 Months,,,,02 Days,
,RM BEVERAGES - MILK PRODUCTS,RAW0000019,Milk - Milk Maid,,,09 Months,,,,03 Days,
,RM BEVERAGES - MILK PRODUCTS,RAW0000015,Milk - Oat,,,06 Months,,,,02 Days,
,RM BEVERAGES - MILK PRODUCTS,RAW0000014,Milk - Regular,,,06 Months,,,,02 Days,
,RM BEVERAGES - MILK PRODUCTS,RAW0000018,Milk - Skimmed,,,06 Months,,,,02 Days,
,RM BEVERAGES - MILK PRODUCTS,RAW0000016,Milk - Soya,,,06 Months,,,,02 Days,
,RM BEVERAGES - BOBA,RAW0000007,Popping Boba - Cafe,,,,,,,,
,RM BEVERAGES - BOBA,RAW0000008,Popping Boba - Passionfruit,,,12 Months,,,,60 Days,
,RM BEVERAGES - BOBA,RAW0000009,Popping Boba - Peach,,,12 Months,,,,60 Days,
,POUCHES/SACHETS,PPD0000029,Standup Global Blend Ethiopia - Empty Pouch 75 Gms,,,,,,,,
,POUCHES/SACHETS,PPD0000030,Standup Global Blend Kenya - Empty Pouch 75 Gms,,,,,,,,
,POUCHES/SACHETS,PPD0000028,Standup Single Estate Ethiopia - Empty Pouch 75 Gms,,,,,,,,
,POUCHES/SACHETS,PPD0000026,Standup Single Estate Kenya - Empty Pouch 75 Gms,,,,,,,,
,POUCHES/SACHETS,PPD0000027,Standup Volcano Blend - Empty Pouch 75 Gms,,,,,,,,
,RM BEVERAGES - TEA BAGS,RAW0000149,Taj Mahal Black Tea Bags,,,,,,,,
,RM BEVERAGES - TEA BAGS,RAW0000053,Tea Bag - Chamomile And Lemon Grass,,,19 Months,,,,,
,RM BEVERAGES - TEA BAGS,RAW0000055,Tea Bag - English Breakfast,,,20 Months,,,,,
,RM BEVERAGES - TEA BAGS,RAW0000054,Tea Bag - Indian Masala,,,21 Months,,,,,
,BOTTLED WATER,RET0000001,Water Bottle - 500 Ml,,,24 Months,,,,,
