Deployment Name,Date,Source,Tab Name,Item Code,Section,Super Category Name,Category Name,Item Name,Item Qty,Total Qty,Rate,SubTotal,Discount,Net Amount,Total Tax,Gross Amount,Bills,
"MSFT Hyd","2025-12-26","POS","TAKEAWAY","177","NA","Main Course","Pizza","Chipotle Chicken Mozzarella Pide",1.00,1.00,240.950,240.95,0.00,240.95,12.05,253.00,1,
"MSFT Hyd","2025-12-26","POS","TAKEAWAY","99","NA","Hot Beverages","Hot Brews","Americano-reg",2.00,2.00,133.335,266.67,0.00,266.67,13.33,280.00,1,
"MSFT Hyd","2025-12-26","POS","TAKEAWAY","186","NA","Desserts","Desserts","Belgian Chocolate Fudge Brownie",12.00,12.00,99.480,1193.76,0.00,1193.76,59.64,1253.40,12,
"MSFT Hyd","2025-12-26","POS","TAKEAWAY","219","NA","Quick Bites","Puff & Toastie","Peri Peri Cheese Toastie",1.00,1.00,190.480,190.48,0.00,190.48,9.52,200.00,1,
"MSFT Hyd","2025-12-26","POS","TAKEAWAY","38","NA","Cold Beverages","Iced Chocolate","Dreamy Hazelnut Iced Chocolate-Lrg",5.00,5.00,180.950,904.75,0.00,904.75,45.25,950.00,5,
"MSFT Hyd","2025-12-26","POS","TAKEAWAY","125","NA","Hot Beverages","Hot Chocolate","Hazelnut Indulgent Hot Chocolate-Med",3.00,3.00,180.950,542.85,0.00,542.85,27.15,570.00,3,
"MSFT Hyd","2025-12-26","POS","TAKEAWAY","205","NA","Desserts","Gelato","French Vanilla Single Scoop",4.00,4.00,94.290,377.16,0.00,377.16,18.84,396.00,4,
"MSFT Hyd","2025-12-26","POS","TAKEAWAY","342","NA","ADDON","Choice of Milk","Regular - Milk -200g Default",15.00,15.00,0.000,0.00,0.00,0.00,0.00,0.00,15,
"MSFT Hyd","2025-12-26","POS","TAKEAWAY","415","NA","ADDON","Choice of Milk","Regular - Milk -60g Default",12.00,12.00,0.000,0.00,0.00,0.00,0.00,0.00,11,
"MSFT Hyd","2025-12-26","POS","TAKEAWAY","167","NA","ADDON","Choice of Syrup","Salted Caramel Syrup @50",1.00,1.00,23.810,23.81,0.00,23.81,1.19,25.00,1,
