EXPIRY REPORT EXPORT,,,,,,,,,,,,
Warehouse,Entry No.,Transaction Date,Item Code,Item Name,Category,Unit,Price,Qty,Amount,Manufacture Date,Duration,Expiry Date
Warehouse NCR,PO 91,04-12-2025,RAW0000025,Chocolate Powder - Hot,RM BEVERAGES - POWDERS,PKT(500GM),392.5,100,39250,-,12 Months,25-05-2026
Warehouse NCR,PO 88,08-12-2025,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,KG,812.4,55,44682,-,12 Months,03-11-2026
Warehouse NCR,PO 98,17-12-2025,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,KG,812.4,120,97488,-,12 Months,03-11-2026
Warehouse NCR,PO 1,09-10-2025,RAW0000149,Taj Mahal Black Tea Bags,RM BEVERAGES - TEA BAGS,PKT(100PC),200,1,200,08-10-2025,12 Months,08-10-2026
Warehouse NCR,CIWM-PO 3,19-11-2025,RAW0000169,Bird Eye Chilli Syrup,RM BEVERAGES - SYRUP/SAUCE,BTL(500ML/560GM),360,4,1440,-,12 Months,30-04-2026
Warehouse NCR,CIWM-PO 3,19-11-2025,RAW0000168,Orange syrup,RM BEVERAGES - SYRUP/SAUCE,BTL(500ML/560GM),360,16,5760,-,12 Months,14-05-2026
Warehouse NCR,CIWM-PO 8,03-12-2025,RET0000048,Masala Cashew - 40 Gms,RTE - SNACKS,PCS..,53.04,10,530.4,30-10-2025,6 Months,30-04-2026
Warehouse NCR,CIWM-PO 8,03-12-2025,RET0000047,Masala Almond - 40 Gms,RTE - SNACKS,PCS..,53.04,20,1060.8,-,6 Months,30-04-2026
Warehouse NCR,CIWM-PO 8,03-12-2025,RET0000046,Coffee Almond Shots - 40 Gms,RTE - SNACKS,PCS..,40.17,5,200.85,-,6 Months,30-04-2026
Warehouse NCR,CIWM-PO 8,03-12-2025,RET0000045,Hazelnut Chocolate Shots - 40 Gms,RTE - SNACKS,PCS..,45.25,14,633.5,-,6 Months,30-04-2026
Warehouse NCR,CIWM-PO 8,03-12-2025,RET0000044,Chocolate Cashew - 40 Gms,RTE - SNACKS,PCS..,50.34,20,1006.8,-,6 Months,30-04-2026
Warehouse NCR,CIWM-PO 8,03-12-2025,RET0000043,Chocolate Almond - 40 Gms,RTE - SNACKS,PCS..,50.34,20,1006.8,-,6 Months,30-04-2026
Warehouse NCR,CIWM-PO 8,03-12-2025,RET0000042,The Ultimate Sweet Crunchy Nut Mix - 70 Gms,RTE - SNACKS,PCS..,58.39,18,1051.02,-,6 Months,30-04-2026
Warehouse NCR,CIWM-PO 8,03-12-2025,RET0000041,The Ultimate Trail Mix - 70 Gms,RTE - SNACKS,PCS..,69.11,4,276.44,-,6 Months,30-04-2026
Warehouse NCR,CIWM-PO 9,05-12-2025,RAW0000025,Chocolate Powder - Hot,RM BEVERAGES - POWDERS,PKT(500GM),392.5,100,39250,-,6 Months,25-05-2026
Warehouse NCR,CIWM-PO 8,03-12-2025,RET0000023,Cold Coffee Can - Vietnamese,RTD COLD COFFEE - BOTTLE/CAN,CAN,56,24,1344,-,6 Months,09-06-2026
Warehouse NCR,CIWM-PO 8,03-12-2025,RET0000024,Cold Coffee Can - Irish,RTD COLD COFFEE - BOTTLE/CAN,CAN,55,24,1320,-,6 Months,09-06-2026
Warehouse NCR,CIWM-PO 8,03-12-2025,RET0000009,Pack Of 30 Sachets Flavoured Instant Coffee,INSTANT COFFEE - DRY,PCS..,145.34,100,14534,-,6 Months,15-06-2026
Warehouse NCR,CIWM-PO 8,03-12-2025,RET0000010,Pack Of 30 Sachets Instant Coffee Classic,INSTANT COFFEE - DRY,PCS..,160.47,300,48141,-,6 Months,15-07-2026
Warehouse NCR,CIWM-PO 5,09-12-2025,RAW0000002,Beans - Volcano Blend,RM BEVERAGES - BEANS,KG,812.4,144,116985.6,-,6 Months,26-10-2026
