Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island - Tribeca Pune","10005","2025-10-18","2025-10-18","T1-2237","14","POS","DELIVERY","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-10-18","02:04:03 PM","2025-10-18","11:06:39 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","0","0","DOUBLE PUNCHED  (T1-2238)","Bill Void","-",
"Coffee Island - Tribeca Pune","10005","2025-10-18","2025-10-18","T1-2237","14","POS","DELIVERY","ADDON","Choice of Milk","336","Regular - Milk -130g Default","2025-10-18","02:04:03 PM","2025-10-18","11:06:39 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","0","0","DOUBLE PUNCHED  (T1-2238)","Bill Void","-",
"Coffee Island - Tribeca Pune","10005","2025-10-19","2025-10-19","T1-2338","37","POS","DINE IN","Main Course","Rice Bowl","-","Cottage Cheese Fajita With Broccomole","2025-10-19","06:32:36 PM","2025-10-19","06:46:58 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","350","350","GUEST WANT TO CANCEL HENCE DID","Item Delete","-",
"Coffee Island - Tribeca Pune","10005","2025-10-23","2025-10-23","T1-2581","23","POS","TAKEAWAY","Cold Beverages","Cold Brews","-","Vietnamese Matcha","2025-10-23","05:39:37 PM","2025-10-23","05:46:51 PM","vitaxnova_citp_rahul","vitaxnova_citp_rahul","1","310","310","customer want to cancel hence did","Item Delete","-",
"Coffee Island - Tribeca Pune","10005","2025-10-23","2025-10-23","T1-2595","37","POS","DINE IN","Quick Bites","Puff & Toastie","-","Peri Peri Cheese Toastie","2025-10-23","07:12:59 PM","2025-10-23","07:53:04 PM","vitaxnova_citp_rahul","vitaxnova_citp_rahul","1","290","290","guest want k chicken bun hence cancel this","Item Delete","-",
"Coffee Island AIPL","10003","2025-10-01","2025-10-01","T1-2121","3","Zomato","DELIVERY","Cold Beverages","Cold Brews","11","Islander Cold Coffee-Med","2025-10-01","10:11:34 AM","2025-10-01","10:24:40 AM","vitaxnova_ciaipl_saloni","vitaxnova_ciaipl_saloni","1","320","320","-","Bill Void","-",
"Coffee Island AIPL","10003","2025-10-01","2025-10-01","T1-2121","3","Zomato","DELIVERY","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-10-01","10:11:34 AM","2025-10-01","10:24:40 AM","vitaxnova_ciaipl_saloni","vitaxnova_ciaipl_saloni","1","0","0","-","Bill Void","-",
"Coffee Island AIPL","10003","2025-10-01","2025-10-01","T1-2121","3","Zomato","DELIVERY","Main Course","Hand Made Sandwiches","172","Cheesy Meatball Melt","2025-10-01","10:11:34 AM","2025-10-01","10:24:40 AM","vitaxnova_ciaipl_saloni","vitaxnova_ciaipl_saloni","1","390","390","-","Bill Void","-",
"Coffee Island AIPL","10003","2025-10-04","2025-10-03","T1-2241","51","POS","DINE IN","Emp Meal","Emp Meal","353","Emp Meal","2025-10-04","12:16:05 AM","2025-10-04","12:34:08 AM","vitaxnova_ciaipl_sashi","vitaxnova_ciaipl_sashi","1","0","0","wrong punch","KOT Void","-",
"Coffee Island AIPL","10003","2025-10-11","2025-10-11","T1-2491","5","Swiggy","DELIVERY","Quick Bites","Puff & Toastie","426","Avocado Toast","2025-10-11","12:24:09 PM","2025-10-11","08:46:14 PM","vitaxnova_ciaipl_durgesh","vitaxnova_ciaipl_saloni","1","420","420","OUT OF STOCK","Bill Void","-",
"Coffee Island AIPL","10003","2025-10-11","2025-10-11","T1-2531","45","Zomato","DELIVERY","Desserts","Desserts","187","Nolen Gur Banoffee Jar","2025-10-11","10:09:47 PM","2025-10-11","10:28:12 PM","vitaxnova_ciaipl_durgesh","vitaxnova_ciaipl_saloni","1","340","340","-","Bill Void","-",
"Coffee Island AIPL","10003","2025-10-26","2025-10-26","T1-3005","16","Zomato","DELIVERY","Hot Beverages","Hot Chocolate","115","Signature Belgian Dark Hot Chocolate-reg","2025-10-26","02:38:36 PM","2025-10-26","02:46:05 PM","vitaxnova_ciaipl_saloni","vitaxnova_ciaipl_saloni","1","310","310","-","Bill Void","-",
"Coffee Island AIPL","10003","2025-10-26","2025-10-26","T1-3005","16","Zomato","DELIVERY","ADDON","Choice of Syrup","166","Hazelnut Syrup @50","2025-10-26","02:38:36 PM","2025-10-26","02:46:05 PM","vitaxnova_ciaipl_saloni","vitaxnova_ciaipl_saloni","1","50","50","-","Bill Void","-",
"Coffee Island AIPL","10003","2025-10-26","2025-10-26","T1-3005","16","Zomato","DELIVERY","ADDON","Choice of Milk","150","Almond Milk @50","2025-10-26","02:38:36 PM","2025-10-26","02:46:05 PM","vitaxnova_ciaipl_saloni","vitaxnova_ciaipl_saloni","1","50","50","-","Bill Void","-",
"Coffee Island AIPL","10003","2025-10-27","2025-10-27","T1-3049","17","Zomato","DELIVERY","Quick Bites","Puff & Toastie","426","Avocado Toast","2025-10-27","03:50:11 PM","2025-10-27","05:04:00 PM","vitaxnova_ciaipl_durgesh","vitaxnova_ciaipl_saloni","1","420","420","-","Bill Void","-",
