Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island HQ-27","10001","2025-08-14","2025-08-14","T1-6668","73","POS","DINE IN","Cold Beverages","Cold Brews","10","Islander Cold Coffee-Lrg","2025-08-14","11:25:58 PM","2025-08-14","11:28:02 PM","vitaxnova_igm_aashiq","vitaxnova_cihq_sourav","1","257.143","257.14","coustomerr mind change","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-14","2025-08-14","T1-6668","73","POS","DINE IN","ADDON","Choice of Beans","235","Volcano Blend - (Default)","2025-08-14","11:25:58 PM","2025-08-14","11:28:02 PM","vitaxnova_igm_aashiq","vitaxnova_cihq_sourav","1","0","0","coustomerr mind change","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-17","2025-08-17","T1-6799","11","POS","TAKEAWAY","Hot Beverages","Hot Brews","99","Americano-reg","2025-08-17","12:17:47 PM","2025-08-17","11:50:06 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","1","200","200","Wrong Punch","Bill Void","Other | Cash",
"Coffee Island HQ-27","10001","2025-08-17","2025-08-17","T1-6799","11","POS","TAKEAWAY","ADDON","Choice of Beans","234","Master Blend - (Default)","2025-08-17","12:17:47 PM","2025-08-17","11:50:06 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","1","0","0","Wrong Punch","Bill Void","Other | Cash",
"Coffee Island HQ-27","10001","2025-08-17","2025-08-17","T1-6811","23","POS","TAKEAWAY","Cold Beverages","Cold Brews","11","Islander Cold Coffee-Med","2025-08-17","03:28:06 PM","2025-08-17","11:48:03 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","1","238.095","238.1","fg","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-17","2025-08-17","T1-6811","23","POS","TAKEAWAY","ADDON","Choice of Beans","235","Volcano Blend - (Default)","2025-08-17","03:28:06 PM","2025-08-17","11:48:03 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","1","0","0","fg","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-17","2025-08-17","T1-6811","23","POS","TAKEAWAY","Cold Beverages","Cold Brews","2","Iced Latte Signature-Med","2025-08-17","03:28:06 PM","2025-08-17","11:48:03 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","1","257.143","257.14","fg","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-17","2025-08-17","T1-6811","23","POS","TAKEAWAY","ADDON","Choice of Beans","235","Volcano Blend - (Default)","2025-08-17","03:28:06 PM","2025-08-17","11:48:03 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","1","0","0","fg","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-17","2025-08-17","T1-6811","23","POS","TAKEAWAY","ADDON","Choice of Milk","335","Regular - Milk -120g Default","2025-08-17","03:28:06 PM","2025-08-17","11:48:03 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","1","0","0","fg","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-17","2025-08-17","T1-6817","29","POS","DELIVERY","Cold Beverages","Cold Brews","389","Bobastic Coconut Matcha","2025-08-17","04:57:59 PM","2025-08-17","05:10:09 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","2","276.19","552.38","Wrong Punch","Bill Void","-",
"Coffee Island HQ-27","10001","2025-08-17","2025-08-17","T1-6817","29","POS","DELIVERY","Quick Bites","Puff & Toastie","221","Chipotle Paneer Bhurji & Broccomole Toastie","2025-08-17","04:57:59 PM","2025-08-17","05:10:09 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","1","330.0003","330","Wrong Punch","Bill Void","-",
"Coffee Island HQ-27","10001","2025-08-18","2025-08-18","T1-6921","81","POS","DELIVERY","Cold Beverages","Cold Brews","10","Islander Cold Coffee-Lrg","2025-08-18","10:41:24 PM","2025-08-18","11:32:19 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","2","270.00015","540","Punch in Wrong Section","Bill Void","-",
"Coffee Island HQ-27","10001","2025-08-18","2025-08-18","T1-6921","81","POS","DELIVERY","ADDON","Choice of Beans","235","Volcano Blend - (Default)","2025-08-18","10:41:24 PM","2025-08-18","11:32:19 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","2","0","0","Punch in Wrong Section","Bill Void","-",
"Coffee Island HQ-27","10001","2025-08-21","2025-08-20","T1-7015","6","Mobile App","ONLINE","Cold Beverages","Cold Brews","389","Bobastic Coconut Matcha","2025-08-20","10:40:30 AM","2025-08-21","06:40:43 AM","vitaxnova_cihq_sourav","vitaxnova_ic_payel","2","276","552","-","Bill Void","-",
"Coffee Island HQ-27","10001","2025-08-21","2025-08-20","T1-7015","6","Mobile App","ONLINE","Cold Beverages","Cold Brews","10","Islander Cold Coffee-Lrg","2025-08-20","10:40:30 AM","2025-08-21","06:40:43 AM","vitaxnova_cihq_sourav","vitaxnova_ic_payel","1","257","257","-","Bill Void","-",
"Coffee Island HQ-27","10001","2025-08-21","2025-08-20","T1-7015","6","Mobile App","ONLINE","ADDON","Choice of Beans","138","Master Blend @0","2025-08-20","10:40:30 AM","2025-08-21","06:40:43 AM","vitaxnova_cihq_sourav","vitaxnova_ic_payel","1","0","0","-","Bill Void","-",
"Coffee Island HQ-27","10001","2025-08-20","2025-08-20","T1-7045","36","Swiggy","DELIVERY","Hot Beverages","Hot Brews","105","Cappuccino-Med","2025-08-20","02:13:21 PM","2025-08-20","02:31:58 PM","vitaxnova_manager","vitaxnova_cihq_sourav","1","238.095","238.1","test","Bill Void","-",
"Coffee Island HQ-27","10001","2025-08-20","2025-08-20","T1-7045","36","Swiggy","DELIVERY","Hot Beverages","Hot Brews","105","Cappuccino-Med","2025-08-20","02:13:21 PM","2025-08-20","02:31:58 PM","vitaxnova_manager","vitaxnova_cihq_sourav","1","238.095","238.1","test","Bill Void","-",
"Coffee Island HQ-27","10001","2025-08-20","2025-08-20","T1-7045","36","Swiggy","DELIVERY","Hot Beverages","Hot Brews","105","Cappuccino-Med","2025-08-20","02:13:21 PM","2025-08-20","02:31:58 PM","vitaxnova_manager","vitaxnova_cihq_sourav","1","238.095","238.1","test","Bill Void","-",
"Coffee Island HQ-27","10001","2025-08-24","2025-08-24","T1-7358","16","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-08-24","01:03:32 PM","2025-08-24","03:52:25 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","3","38.1","114.3","RONG","Bill Void","Other | Cash",
"Coffee Island HQ-27","10001","2025-08-24","2025-08-24","T1-7358","16","POS","DINE IN","Quick Bites","Puff & Toastie","219","Peri Peri Cheese Toastie","2025-08-24","01:03:32 PM","2025-08-24","03:52:25 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","238.095","238.1","RONG","Bill Void","Other | Cash",
"Coffee Island HQ-27","10001","2025-08-24","2025-08-24","T1-7358","16","POS","DINE IN","Cold Beverages","Cold Brews","15","Iced Americano-Med","2025-08-24","01:03:32 PM","2025-08-24","03:52:25 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","219.048","219.05","RONG","Bill Void","Other | Cash",
"Coffee Island HQ-27","10001","2025-08-24","2025-08-24","T1-7358","16","POS","DINE IN","ADDON","Choice of Beans","234","Master Blend - (Default)","2025-08-24","01:03:32 PM","2025-08-24","03:52:25 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","0","0","RONG","Bill Void","Other | Cash",
"Coffee Island HQ-27","10001","2025-08-24","2025-08-24","T1-7358","16","POS","DINE IN","Hot Beverages","Hot Brews","105","Cappuccino-Med","2025-08-24","01:03:32 PM","2025-08-24","03:52:25 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","238.095","238.1","RONG","Bill Void","Other | Cash",
"Coffee Island HQ-27","10001","2025-08-24","2025-08-24","T1-7358","16","POS","DINE IN","ADDON","Choice of Beans","235","Volcano Blend - (Default)","2025-08-24","01:03:32 PM","2025-08-24","03:52:25 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","0","0","RONG","Bill Void","Other | Cash",
"Coffee Island HQ-27","10001","2025-08-24","2025-08-24","T1-7358","16","POS","DINE IN","Cold Beverages","Choice of Extra Shot - 50","240","Extra Shot - Volcano Blend","2025-08-24","01:03:32 PM","2025-08-24","03:52:25 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","50","50","RONG","Bill Void","Other | Cash",
"Coffee Island HQ-27","10001","2025-08-24","2025-08-24","T1-7358","16","POS","DINE IN","Hot Beverages","Hot Brews","100","Americano-Med","2025-08-24","01:03:32 PM","2025-08-24","03:52:25 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","219.048","219.05","RONG","Bill Void","Other | Cash",
"Coffee Island HQ-27","10001","2025-08-24","2025-08-24","T1-7358","16","POS","DINE IN","ADDON","Choice of Beans","234","Master Blend - (Default)","2025-08-24","01:03:32 PM","2025-08-24","03:52:25 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","0","0","RONG","Bill Void","Other | Cash",
"Coffee Island HQ-27","10001","2025-08-24","2025-08-24","T1-7358","16","POS","DINE IN","Cold Beverages","Choice of Extra Shot - 50","239","Extra Shot - Master Blend","2025-08-24","01:03:32 PM","2025-08-24","03:52:25 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","50","50","RONG","Bill Void","Other | Cash",
"Coffee Island HQ-27","10001","2025-08-24","2025-08-24","T1-7358","16","POS","DINE IN","Main Course","Wholesome Wrap","183","Sriracha Chicken & Avocado Wrap","2025-08-24","01:03:32 PM","2025-08-24","03:52:25 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","333.333","333.33","RONG","Bill Void","Other | Cash",
"Coffee Island HQ-27","10001","2025-08-27","2025-08-27","T1-7627","60","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-08-27","05:28:49 PM","2025-08-27","05:30:23 PM","vitaxnova_igm_aashiq","vitaxnova_cihq_sourav","1","38.1","38.1","tasting","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-29","2025-08-29","T1-7816","63","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-08-29","07:11:35 PM","2025-08-29","07:18:13 PM","vitaxnova_igm_aashiq","vitaxnova_igm_aashiq","1","38.1","38.1","Till Testing","Bill Void","Other",
"Coffee Island HQ-27","10001","2025-08-29","2025-08-29","T1-7817","64","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-08-29","07:13:48 PM","2025-08-29","07:19:09 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","1","38.1","38.1","Till Testing","Bill Void","Other",
