Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island AIPL","10003","2025-06-27","2025-06-27","T1-69","1","Mobile App","TAKEAWAY","Combos","Non-Veg Combo","222","Non Veg Pasta & Dessert Combo","2025-06-27","08:31:26 AM","2025-06-27","09:49:32 AM","vitaxnova_aipl_manager","vitaxnova_ciaipl_neeraj","6","550","3300","out of stock","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-27","2025-06-27","T1-69","1","Mobile App","TAKEAWAY","Combos","Non-Veg Combo","224","Non Veg Melt & Iced Latte Combo","2025-06-27","08:31:26 AM","2025-06-27","09:49:32 AM","vitaxnova_aipl_manager","vitaxnova_ciaipl_neeraj","5","565","2825","out of stock","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-27","2025-06-27","T1-69","1","Mobile App","TAKEAWAY","Combos","Veg Combo","232","Melt Veg & Iced Latte Combo","2025-06-27","08:31:26 AM","2025-06-27","09:49:32 AM","vitaxnova_aipl_manager","vitaxnova_ciaipl_neeraj","6","550","3300","out of stock","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-27","2025-06-27","T1-69","1","Mobile App","TAKEAWAY","Combos","Veg Combo","227","Veg Pasta & Dessert Combo","2025-06-27","08:31:26 AM","2025-06-27","09:49:32 AM","vitaxnova_aipl_manager","vitaxnova_ciaipl_neeraj","3","520","1560","out of stock","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-27","2025-06-27","T1-73","7","Mobile App","TAKEAWAY","Beans & Powder","Beans","297","Single Estate Ethiopia (Beans)","2025-06-27","08:46:00 AM","2025-06-27","08:47:40 AM","vitaxnova_aipl_manager","vitaxnova_aipl_manager","1","375","375","out of stock","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-27","2025-06-27","T1-70","2","Mobile App","TAKEAWAY","Beans & Powder","Beans","296","Single Estate Kenya (Beans)","2025-06-27","09:07:26 AM","2025-06-27","09:49:49 AM","vitaxnova_aipl_manager","vitaxnova_ciaipl_neeraj","1","375","375","out of stock","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-27","2025-06-27","T1-70","2","Mobile App","TAKEAWAY","Beans & Powder","Beans","298","Volcano Blend (Beans)","2025-06-27","09:07:26 AM","2025-06-27","09:49:49 AM","vitaxnova_aipl_manager","vitaxnova_ciaipl_neeraj","1","153","153","out of stock","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-27","2025-06-27","T1-70","2","Mobile App","TAKEAWAY","Hot Beverages","Hot Brews","105","Cappuccino-Med","2025-06-27","09:07:26 AM","2025-06-27","09:49:49 AM","vitaxnova_aipl_manager","vitaxnova_ciaipl_neeraj","1","250","250","out of stock","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-27","2025-06-27","T1-70","2","Mobile App","TAKEAWAY","ADDON","Choice of Beans","138","Master Blend @0","2025-06-27","09:07:26 AM","2025-06-27","09:49:49 AM","vitaxnova_aipl_manager","vitaxnova_ciaipl_neeraj","1","0","0","out of stock","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-27","2025-06-27","T1-71","3","Mobile App","TAKEAWAY","Beans & Powder","Beans","297","Single Estate Ethiopia (Beans)","2025-06-27","09:10:26 AM","2025-06-27","09:12:50 AM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_neeraj","1","375","375","-","Bill Void","-",
