Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island Eros Churchgate - Mumbai","10006","2025-12-13","2025-12-13","T1-6711","86","POS","DINE IN","Hot Beverages","Hot Chocolate","122","Guilt-Free Hot Chocolate","2025-12-13","06:16:31 PM","2025-12-14","04:29:03 AM","vitaxnova_ciec_ahtsham","vitaxnova_ciec_ahtsham","1","280","280","refund of single esspresso deu to machin not working","Bill Void","Cash",
"Coffee Island GK II","10002","2025-12-01","2025-12-01","T1-14570","30","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-12-01","12:23:14 PM","2025-12-01","12:25:24 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_yasmin","1","38.1","38.1","Ref dheeraj testing","Bill Void","Cash",
"Coffee Island GK II","10002","2025-12-05","2025-12-05","T1-14902","37","Zomato","DELIVERY","Cold Beverages","Cold Brews","11","Islander Cold Coffee","2025-12-05","03:06:21 PM","2025-12-05","03:44:37 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_yasmin","2","320","640","-","Bill Void","-",
"Coffee Island GK II","10002","2025-12-11","2025-12-11","T1-15315","42","Mobile App","ONLINE","Merch","Mug","439","Islander Black Yellow Mug","2025-12-11","05:12:09 PM","2025-12-11","05:23:58 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_udit","1","285","285","item not avilabale","Bill Void","-",
"Coffee Island GK II","10002","2025-12-11","2025-12-11","T1-15315","42","Mobile App","ONLINE","Merch","Mug","435","Islander Ivory Mug","2025-12-11","05:12:09 PM","2025-12-11","05:23:58 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_udit","1","374","374","item not avilabale","Bill Void","-",
"Coffee Island GK II","10002","2025-12-11","2025-12-11","T1-15315","42","Mobile App","ONLINE","Main Course","Hand Made Sandwiches","174","Garlic Mushroom & Caramelized Onion Melt","2025-12-11","05:12:09 PM","2025-12-11","05:23:58 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_udit","1","350","350","item not avilabale","Bill Void","-",
"Coffee Island GK II","10002","2025-12-12","2025-12-12","T1-15346","1","QR","TAKEAWAY","Cold Beverages","Cold Brews","11","Islander Cold Coffee","2025-12-12","11:03:58 AM","2025-12-12","11:18:22 AM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","290","290","IT TASTING","Bill Void","Cash",
"Coffee Island GK II","10002","2025-12-12","2025-12-12","T1-15347","2","POS","DINE IN","Hot Beverages","Hot Brews","106","Cappuccino","2025-12-12","11:17:49 AM","2025-12-12","11:21:34 AM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","230","230","IT Tsating","Bill Void","Cash",
"Coffee Island GK II","10002","2025-12-12","2025-12-12","T1-15347","2","POS","DINE IN","Quick Bites","Croissant Cookie & Muffin","212","French Butter Croissant","2025-12-12","11:17:49 AM","2025-12-12","11:21:34 AM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","190","190","IT Tsating","Bill Void","Cash",
"Coffee Island GK II","10002","2025-12-13","2025-12-13","T1-15368","15","POS","DINE IN","ADDON","Choice of Milk","-","Regular Milk @25","2025-12-13","12:18:15 PM","2025-12-13","12:19:50 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","25","25","test","Item Delete","-",
"Coffee Island GK II","10002","2025-12-13","2025-12-13","T1-15369","16","POS","DINE IN","ADDON","Choice of Milk","148","Regular Milk @25","2025-12-13","12:20:08 PM","2025-12-13","12:32:00 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","25","25","test","Bill Void","-",
"Coffee Island GK II","10002","2025-12-13","2025-12-13","T1-15387","36","POS","DINE IN","Snacks","Trail Mix","-","Coffee Almond Shots","2025-12-13","03:57:05 PM","2025-12-13","04:28:59 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","100.85","100.85","guest cancled","Item Delete","-",
"Coffee Island GK II","10002","2025-12-13","2025-12-13","T1-15393","43","POS","DINE IN","Hot Beverages","Hot Brews","-","Cappuccino","2025-12-13","04:52:26 PM","2025-12-13","04:55:23 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","230","230","GUEST WANT SPLIT BILL","Item Delete","-",
"Coffee Island GK II","10002","2025-12-13","2025-12-13","T1-15399","49","POS","DINE IN","Hot Beverages","Hot Brews","-","Cappuccino","2025-12-13","05:21:04 PM","2025-12-13","05:31:06 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","230","230","SPLIT MBILL","Item Delete","-",
"Coffee Island GK II","10002","2025-12-13","2025-12-13","T1-15399","49","POS","DINE IN","Hot Beverages","Hot Brews","-","Hot Latte Signature","2025-12-13","05:21:04 PM","2025-12-13","06:29:42 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","240","240","CHANED","Item Delete","-",
"Coffee Island GK II","10002","2025-12-13","2025-12-13","T1-15399","49","POS","DINE IN","Cold Beverages","Refresh","-","Bobastic Peach Paradise Refresh Tea","2025-12-13","05:21:04 PM","2025-12-13","06:29:54 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","270","270","CHANGE","Item Delete","-",
