Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"MSFT Hyd","10007","2025-09-19","2025-09-19","T1-7858","3","POS","TAKEAWAY","ADDON","Choice of Beans","234","Master Blend - (Default)","2025-09-19","08:22:21 AM","2025-09-19","08:30:14 AM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","WRONG PUNCHING","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-22","2025-09-22","T1-8117","45","POS","DINE IN","Hot Beverages","Hot Brews","106","Cappuccino-reg","2025-09-22","02:50:23 PM","2025-09-22","02:52:20 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","219.048","219.05","wrong punched in dine in","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-22","2025-09-22","T1-8117","45","POS","DINE IN","ADDON","Choice of Milk","336","Regular - Milk -130g Default","2025-09-22","02:50:23 PM","2025-09-22","02:52:20 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","wrong punched in dine in","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-22","2025-09-22","T1-8117","45","POS","DINE IN","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-09-22","02:50:23 PM","2025-09-22","02:52:20 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","wrong punched in dine in","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-24","2025-09-24","T1-8396","32","POS","DELIVERY","Cold Beverages","Overnight Brew","62","Overnite Espresso Classic Brew","2025-09-24","11:44:20 AM","2025-09-24","12:00:23 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","295.238","295.24","We have to punch in take away","Bill Void","-",
"MSFT Hyd","10007","2025-09-26","2025-09-26","T1-8756","34","POS","TAKEAWAY","Hot Beverages","Hot Brews","97","Hot Latte Signature-reg","2025-09-26","01:06:44 PM","2025-09-26","01:09:10 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","152.381","152.38","WRONG PUNCHING","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-26","2025-09-26","T1-8756","34","POS","TAKEAWAY","ADDON","Choice of Milk","338","Regular - Milk -150g Default","2025-09-26","01:06:44 PM","2025-09-26","01:09:10 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","WRONG PUNCHING","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-26","2025-09-26","T1-8756","34","POS","TAKEAWAY","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-09-26","01:06:44 PM","2025-09-26","01:09:10 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","WRONG PUNCHING","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-26","2025-09-26","T1-8794","72","POS","TAKEAWAY","Hot Beverages","Hot Brews","106","Cappuccino-reg","2025-09-26","02:04:05 PM","2025-09-26","02:22:39 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","152.381","152.38","CUSTOMER CANCELLED ORDER IN HUNGER BOX","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-26","2025-09-26","T1-8794","72","POS","TAKEAWAY","ADDON","Choice of Milk","336","Regular - Milk -130g Default","2025-09-26","02:04:05 PM","2025-09-26","02:22:39 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","CUSTOMER CANCELLED ORDER IN HUNGER BOX","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-26","2025-09-26","T1-8794","72","POS","TAKEAWAY","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-09-26","02:04:05 PM","2025-09-26","02:22:39 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","CUSTOMER CANCELLED ORDER IN HUNGER BOX","Bill Void","Cash",
