  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Delivery Charge,Platform Fee Charge,Restaurant Packaging Charges,Packaging Charge,Smile Amount Charge,Total Charges,Net Sale,GST @5%,GST @18%,GST @12%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island HQ-27",2025-06-26,"TAKEAWAY",77.00,31,11859.10,796.96,0,5.00,0,0,0,0,0,5.00,11062.14,516.79,51.86,54.64,0,623.29,11690.43,0.57,11691.00,40.00,
"-","-","North","Coffee Island HQ-27",2025-06-26,"ONLINE",5.00,1,1195.00,68.00,0,5.00,0,5.00,0,0,0,10.00,1127.00,1.80,202.86,0,0,204.66,1341.66,0.34,1342.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-26,"DINE IN",141.00,38,20131.61,725.58,0,0,0,0,0,0,0,0.00,19406.03,956.63,49.15,0,0,1005.78,20411.81,1.19,20413.00,61.00,
"-","-","North","Coffee Island HQ-27",2025-06-27,"TAKEAWAY",65.00,22,10065.65,304.20,0,10.00,0,0,0,0,0,10.00,9761.45,482.83,0,16.87,0,499.70,10271.15,-0.15,10271.00,31.00,
"-","-","North","Coffee Island HQ-27",2025-06-27,"DELIVERY",56.00,20,8774.11,1891.24,0,0,0,0,240.00,0,0,240.00,6882.87,0,0,0,356.15,356.15,7479.02,2.98,7482.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-27,"DINE IN",147.00,41,21435.46,951.71,0,0,0,0,0,0,0,0.00,20483.75,1004.63,70.27,0,0,1074.90,21558.65,1.35,21560.00,36.00,
"-","-","North","Coffee Island HQ-27",2025-06-28,"DELIVERY",35.00,12,5299.78,1204.61,0,0,0,0,140.00,0,0,140.00,4095.17,0,23.88,0,205.12,229.00,4464.17,0.83,4465.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-28,"DINE IN",126.00,41,16277.17,479.36,0,0,0,0,0,0,0,0.00,15797.81,747.79,131.34,13.39,0,892.52,16690.33,1.67,16692.00,42.00,
"-","-","North","Coffee Island HQ-27",2025-06-28,"TAKEAWAY",6.00,4,1078.53,0.00,0,0,0,0,0,0,0,0.00,1078.53,43.33,38.14,0,0,81.47,1160.00,-0.00,1160.00,4.00,
"-","-","North","Coffee Island HQ-27",2025-06-28,"ONLINE",1.00,1,579.00,127.00,0,5.00,30.00,5.00,0,0,0,40.00,452.00,7.20,0,54.24,0,61.44,553.44,-0.44,553.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-29,"DELIVERY",38.00,13,6044.50,1926.99,0,0,0,0,140.00,0,0,140.00,4117.51,0,58.93,0,196.50,255.43,4512.94,2.06,4515.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-06-29,"DINE IN",59.00,15,7789.05,575.09,0,0,0,0,0,0,0,0.00,7213.96,342.21,66.51,0,0,408.72,7622.68,1.32,7624.00,16.00,
"-","-","North","Coffee Island HQ-27",2025-06-29,"TAKEAWAY",8.00,3,1120.26,54.62,0,0,0,0,0,0,0,0.00,1065.64,21.43,114.67,0,0,136.10,1201.74,0.26,1202.00,4.00,
"-","-","North","Coffee Island HQ-27",2025-06-30,"DELIVERY",25.00,10,3735.00,1019.99,0,0,0,0,60.00,0,0,60.00,2715.01,0,0,0,138.75,138.75,2913.76,1.24,2915.00,0.00,
